# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
4.000000e-01,7.000000e-02,4.501804e+00,2.093314e+01,5.870055e+02,1.562676e+00,2.886727e+02,2.161601e+02,7.097457e+06,3.548567e+04
4.200000e-01,7.000000e-02,4.467208e+00,2.081585e+01,6.228753e+02,1.558877e+00,2.652069e+02,2.156323e+02,6.828483e+06,3.535441e+04
4.400000e-01,7.000000e-02,4.438706e+00,2.073124e+01,6.585719e+02,1.556186e+00,2.435020e+02,2.147038e+02,6.559575e+06,3.521150e+04
4.600000e-01,7.000000e-02,4.415562e+00,2.067655e+01,6.940921e+02,1.554505e+00,2.233978e+02,2.133967e+02,6.290746e+06,3.505533e+04
4.800000e-01,7.000000e-02,4.397226e+00,2.065007e+01,7.294322e+02,1.553774e+00,2.047487e+02,2.117241e+02,6.022006e+06,3.488402e+04
5.000000e-01,7.000000e-02,4.383307e+00,2.065099e+01,7.645860e+02,1.553965e+00,1.874229e+02,2.096907e+02,5.753374e+06,3.469530e+04
5.200000e-01,7.000000e-02,4.373554e+00,2.067943e+01,7.995439e+02,1.555085e+00,1.713013e+02,2.072921e+02,5.484869e+06,3.448645e+04
5.400000e-01,7.000000e-02,4.367850e+00,2.073646e+01,8.342899e+02,1.557174e+00,1.562764e+02,2.045147e+02,5.216521e+06,3.425414e+04
5.600000e-01,7.000000e-02,4.366209e+00,2.082421e+01,8.687994e+02,1.560310e+00,1.422513e+02,2.013344e+02,4.948365e+06,3.399434e+04
5.800000e-01,7.000000e-02,4.368793e+00,2.094612e+01,9.030348e+02,1.564619e+00,1.291390e+02,1.977153e+02,4.680451e+06,3.370203e+04
6.000000e-01,7.000000e-02,4.375932e+00,2.110722e+01,9.369394e+02,1.570287e+00,1.168609e+02,1.936071e+02,4.412847e+06,3.337095e+04
6.200000e-01,7.000000e-02,4.388168e+00,2.131475e+01,9.704275e+02,1.577584e+00,1.053466e+02,1.889420e+02,4.145648e+06,3.299320e+04
6.400000e-01,7.000000e-02,4.406324e+00,2.157891e+01,1.003370e+03,1.586892e+00,9.453327e+01,1.836303e+02,3.878985e+06,3.255870e+04
6.600000e-01,7.000000e-02,4.431609e+00,2.191425e+01,1.035569e+03,1.598767e+00,8.436517e+01,1.775539e+02,3.613049e+06,3.205435e+04
6.800000e-01,7.000000e-02,4.465796e+00,2.234166e+01,1.066716e+03,1.614023e+00,7.479414e+01,1.705578e+02,3.348119e+06,3.146298e+04
7.000000e-01,7.000000e-02,4.511507e+00,2.289186e+01,1.096322e+03,1.633886e+00,6.578036e+01,1.624390e+02,3.084613e+06,3.076163e+04
