# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
4.000000e-01,7.000000e-02,4.490036e+00,2.106117e+01,5.809663e+02,1.567184e+00,2.811486e+02,2.123089e+02,6.471373e+06,3.557968e+04
4.200000e-01,7.000000e-02,4.456621e+00,2.093158e+01,6.169028e+02,1.562935e+00,2.580359e+02,2.128567e+02,6.208290e+06,3.544490e+04
4.400000e-01,7.000000e-02,4.429223e+00,2.083637e+01,6.526700e+02,1.559858e+00,2.366492e+02,2.129711e+02,5.945743e+06,3.529847e+04
4.600000e-01,7.000000e-02,4.407123e+00,2.077261e+01,6.882583e+02,1.557847e+00,2.168410e+02,2.126869e+02,5.683818e+06,3.513889e+04
4.800000e-01,7.000000e-02,4.389780e+00,2.073835e+01,7.236587e+02,1.556832e+00,1.984760e+02,2.120327e+02,5.422624e+06,3.496441e+04
5.000000e-01,7.000000e-02,4.376806e+00,2.073255e+01,7.588604e+02,1.556777e+00,1.814310e+02,2.110307e+02,5.162300e+06,3.477298e+04
5.200000e-01,7.000000e-02,4.367950e+00,2.075502e+01,7.938493e+02,1.557677e+00,1.655943e+02,2.096978e+02,4.903021e+06,3.456216e+04
5.400000e-01,7.000000e-02,4.363081e+00,2.080649e+01,8.286060e+02,1.559559e+00,1.508648e+02,2.080457e+02,4.645014e+06,3.432904e+04
5.600000e-01,7.000000e-02,4.362193e+00,2.088861e+01,8.631027e+02,1.562485e+00,1.371519e+02,2.060818e+02,4.388577e+06,3.407013e+04
5.800000e-01,7.000000e-02,4.365406e+00,2.100415e+01,8.972997e+02,1.566556e+00,1.243739e+02,2.038102e+02,4.134106e+06,3.378121e+04
6.000000e-01,7.000000e-02,4.372986e+00,2.115722e+01,9.311401e+02,1.571926e+00,1.124582e+02,2.012320e+02,3.882131e+06,3.345717e+04
6.200000e-01,7.000000e-02,4.385373e+00,2.135364e+01,9.645425e+02,1.578809e+00,1.013398e+02,1.983472e+02,3.633380e+06,3.309170e+04
6.400000e-01,7.000000e-02,4.403221e+00,2.160145e+01,9.973896e+02,1.587511e+00,9.096106e+01,1.951566e+02,3.388864e+06,3.267700e+04
6.600000e-01,7.000000e-02,4.427474e+00,2.191178e+01,1.029511e+03,1.598455e+00,8.127096e+01,1.916656e+02,3.150013e+06,3.220334e+04
6.800000e-01,7.000000e-02,4.459468e+00,2.230005e+01,1.060657e+03,1.612241e+00,7.222407e+01,1.878894e+02,2.918889e+06,3.165843e+04
7.000000e-01,7.000000e-02,4.501098e+00,2.278787e+01,1.090457e+03,1.629727e+00,6.377969e+01,1.838637e+02,2.698532e+06,3.102660e+04
