# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
4.000000e-01,7.000000e-02,3.956731e+00,1.588929e+01,4.711790e+02,1.399017e+00,4.845401e+02,3.930116e+02,8.093221e+06,6.364778e+04
4.200000e-01,7.000000e-02,3.892358e+00,1.554066e+01,5.036656e+02,1.388722e+00,4.562181e+02,4.013778e+02,7.823445e+06,6.355028e+04
4.400000e-01,7.000000e-02,3.835502e+00,1.523044e+01,5.363495e+02,1.379630e+00,4.291144e+02,4.091216e+02,7.553668e+06,6.344516e+04
4.600000e-01,7.000000e-02,3.785108e+00,1.495359e+01,5.692095e+02,1.371572e+00,4.031741e+02,4.162731e+02,7.283892e+06,6.333148e+04
4.800000e-01,7.000000e-02,3.740315e+00,1.470596e+01,6.022297e+02,1.364409e+00,3.783433e+02,4.228586e+02,7.014115e+06,6.320816e+04
5.000000e-01,7.000000e-02,3.700414e+00,1.448414e+01,6.353988e+02,1.358026e+00,3.545690e+02,4.289000e+02,6.744339e+06,6.307392e+04
5.200000e-01,7.000000e-02,3.664820e+00,1.428530e+01,6.687104e+02,1.352333e+00,3.317999e+02,4.344148e+02,6.474562e+06,6.292724e+04
5.400000e-01,7.000000e-02,3.633052e+00,1.410711e+01,7.021625e+02,1.347254e+00,3.099863e+02,4.394157e+02,6.204786e+06,6.276630e+04
5.600000e-01,7.000000e-02,3.604713e+00,1.394766e+01,7.357581e+02,1.342727e+00,2.890800e+02,4.439095e+02,5.935009e+06,6.258892e+04
5.800000e-01,7.000000e-02,3.579482e+00,1.380543e+01,7.695053e+02,1.338704e+00,2.690346e+02,4.478970e+02,5.665232e+06,6.239245e+04
6.000000e-01,7.000000e-02,3.557103e+00,1.367922e+01,8.034180e+02,1.335145e+00,2.498054e+02,4.513715e+02,5.395455e+06,6.217362e+04
6.200000e-01,7.000000e-02,3.537379e+00,1.356820e+01,8.375172e+02,1.332024e+00,2.313496e+02,4.543169e+02,5.125679e+06,6.192840e+04
6.400000e-01,7.000000e-02,3.520175e+00,1.347183e+01,8.718325e+02,1.329323e+00,2.136254e+02,4.567059e+02,4.855902e+06,6.165169e+04
6.600000e-01,7.000000e-02,3.505413e+00,1.338998e+01,9.064045e+02,1.327034e+00,1.965929e+02,4.584962e+02,4.586125e+06,6.133703e+04
6.800000e-01,7.000000e-02,3.493085e+00,1.332291e+01,9.412883e+02,1.325163e+00,1.802128e+02,4.596259e+02,4.316348e+06,6.097601e+04
7.000000e-01,7.000000e-02,3.483266e+00,1.327147e+01,9.765594e+02,1.323732e+00,1.644467e+02,4.600058e+02,4.046571e+06,6.055760e+04
