# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,9.258708e-01,6.078516e+00,7.065864e+01,5.295801e+06
3.100000e-01,9.074819e-01,5.954469e+00,7.183640e+01,5.359408e+06
3.200000e-01,8.903218e-01,5.838997e+00,7.299512e+01,5.423764e+06
3.300000e-01,8.742923e-01,5.731419e+00,7.413527e+01,5.488962e+06
3.400000e-01,8.593072e-01,5.631134e+00,7.525723e+01,5.555096e+06
3.500000e-01,8.452905e-01,5.537616e+00,7.636131e+01,5.622263e+06
3.600000e-01,8.321751e-01,5.450401e+00,7.744780e+01,5.690566e+06
3.700000e-01,8.199017e-01,5.369079e+00,7.851690e+01,5.760111e+06
3.800000e-01,8.084178e-01,5.293288e+00,7.956880e+01,5.831011e+06
3.900000e-01,7.976769e-01,5.222709e+00,8.060362e+01,5.903384e+06
4.000000e-01,7.876382e-01,5.157062e+00,8.162150e+01,5.977356e+06
4.100000e-01,7.782655e-01,5.096099e+00,8.262252e+01,6.053058e+06
4.200000e-01,7.695269e-01,5.039603e+00,8.360677e+01,6.130632e+06
4.300000e-01,7.613946e-01,4.987385e+00,8.457433e+01,6.210228e+06
4.400000e-01,7.538443e-01,4.939282e+00,8.552531e+01,6.292007e+06
4.500000e-01,7.468553e-01,4.895153e+00,8.645985e+01,6.376140e+06
4.600000e-01,7.404098e-01,4.854879e+00,8.737813e+01,6.462811e+06
4.700000e-01,7.344930e-01,4.818363e+00,8.828038e+01,6.552218e+06
4.800000e-01,7.290927e-01,4.785523e+00,8.916698e+01,6.644574e+06
4.900000e-01,7.241998e-01,4.756301e+00,9.003837e+01,6.740107e+06
5.000000e-01,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
5.100000e-01,7.159113e-01,4.708547e+00,9.173829e+01,6.941713e+06
5.200000e-01,7.125098e-01,4.689980e+00,9.256873e+01,7.048341e+06
5.300000e-01,7.096037e-01,4.674956e+00,9.338792e+01,7.159261e+06
5.400000e-01,7.071964e-01,4.663498e+00,9.419763e+01,7.274813e+06
5.500000e-01,7.052939e-01,4.655648e+00,9.500008e+01,7.395364e+06
5.600000e-01,7.039051e-01,4.651462e+00,9.579808e+01,7.521315e+06
5.700000e-01,7.030416e-01,4.651017e+00,9.659508e+01,7.653101e+06
5.800000e-01,7.027182e-01,4.654406e+00,9.739534e+01,7.791198e+06
5.900000e-01,7.029528e-01,4.661742e+00,9.820407e+01,7.936125e+06
6.000000e-01,7.046325e-01,4.621354e+00,1.082976e+02,8.000000e+06
6.100000e-01,nan,nan,nan,nan
6.200000e-01,nan,nan,nan,nan
6.300000e-01,nan,nan,nan,nan
6.400000e-01,nan,nan,nan,nan
6.500000e-01,nan,nan,nan,nan
6.600000e-01,nan,nan,nan,nan
6.700000e-01,nan,nan,nan,nan
6.800000e-01,nan,nan,nan,nan
6.900000e-01,nan,nan,nan,nan
7.000000e-01,nan,nan,nan,nan
