# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,3.000000e-01,8.761172e-01,5.719824e+00,7.192281e+01,4.989303e+06
3.500000e-02,4.000000e-01,7.457110e-01,4.852957e+00,8.332424e+01,5.630887e+06
3.500000e-02,5.000000e-01,6.809725e-01,4.446473e+00,9.307938e+01,6.434355e+06
3.500000e-02,6.000000e-01,6.649127e-01,4.386988e+00,1.015894e+02,7.599378e+06
3.500000e-02,7.000000e-01,7.109479e-01,4.810725e+00,1.036729e+02,9.694158e+06
5.000000e-02,3.000000e-01,1.155837e+00,7.948523e+00,6.174513e+01,6.858757e+06
5.000000e-02,4.000000e-01,9.899795e-01,6.786079e+00,7.291377e+01,7.793566e+06
5.000000e-02,5.000000e-01,9.215028e-01,6.363857e+00,7.836469e+01,9.118374e+06
5.000000e-02,6.000000e-01,9.327231e-01,6.549460e+00,7.737794e+01,1.123736e+07
5.000000e-02,7.000000e-01,1.061570e+00,7.628704e+00,6.921826e+01,1.523425e+07
7.000000e-02,3.000000e-01,1.645480e+00,1.187106e+01,4.217551e+01,1.011925e+07
7.000000e-02,4.000000e-01,1.422297e+00,1.025076e+01,4.972528e+01,1.163541e+07
7.000000e-02,5.000000e-01,1.355264e+00,9.811055e+00,5.326796e+01,1.390049e+07
7.000000e-02,6.000000e-01,1.426648e+00,1.041860e+01,5.233872e+01,1.768573e+07
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.670637e+00,1.976524e+01,2.741742e+01,1.658191e+07
1.000000e-01,4.000000e-01,2.353813e+00,1.742060e+01,3.220287e+01,1.946877e+07
1.000000e-01,5.000000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
