# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.500000e-01,4.343058e+00,1.982570e+01,6.427559e+02,1.525539e+00,2.471976e+02,2.280405e+02,6.324881e+06,3.717434e+04
3.500000e-02,5.000000e-01,4.278548e+00,1.956553e+01,7.280141e+02,1.517314e+00,2.018690e+02,2.280477e+02,5.680393e+06,3.700173e+04
3.500000e-02,5.500000e-01,4.234848e+00,1.941775e+01,8.125704e+02,1.512784e+00,1.637680e+02,2.266301e+02,5.036975e+06,3.678357e+04
3.500000e-02,6.000000e-01,4.207611e+00,1.936802e+01,8.964876e+02,1.511454e+00,1.314449e+02,2.239002e+02,4.394992e+06,3.649998e+04
3.500000e-02,6.500000e-01,4.195305e+00,1.942001e+01,9.798006e+02,1.513445e+00,1.037667e+02,2.197480e+02,3.755053e+06,3.611807e+04
3.500000e-02,7.000000e-01,4.199363e+00,1.960135e+01,1.062441e+03,1.519696e+00,7.985112e+01,2.137514e+02,3.118330e+06,3.557968e+04
3.500000e-02,7.500000e-01,4.226065e+00,1.998633e+01,1.144007e+03,1.532756e+00,5.902266e+01,2.049441e+02,2.487533e+06,3.477298e+04
5.000000e-02,4.500000e-01,4.368494e+00,2.018146e+01,6.549182e+02,1.537584e+00,2.375298e+02,2.213644e+02,6.098738e+06,3.639773e+04
5.000000e-02,5.000000e-01,4.313027e+00,1.999080e+01,7.416139e+02,1.531592e+00,1.923802e+02,2.205149e+02,5.449061e+06,3.611807e+04
5.000000e-02,5.500000e-01,4.279963e+00,1.993382e+01,8.274788e+02,1.530028e+00,1.545371e+02,2.178947e+02,4.801632e+06,3.576276e+04
5.000000e-02,6.000000e-01,4.266224e+00,2.000815e+01,9.124788e+02,1.532814e+00,1.225410e+02,2.135353e+02,4.157549e+06,3.529847e+04
5.000000e-02,6.500000e-01,4.272407e+00,2.023935e+01,9.964171e+02,1.540846e+00,9.526749e+01,2.072060e+02,3.518978e+06,3.467017e+04
5.000000e-02,7.000000e-01,4.304014e+00,2.069890e+01,1.078641e+03,1.556659e+00,7.186693e+01,1.983386e+02,2.890766e+06,3.378121e+04
5.000000e-02,7.500000e-01,4.376212e+00,2.156010e+01,1.157116e+03,1.586553e+00,5.172362e+01,1.858888e+02,2.285576e+06,3.244824e+04
7.000000e-02,4.500000e-01,4.417549e+00,2.080071e+01,6.704871e+02,1.558725e+00,2.265565e+02,2.128769e+02,5.814696e+06,3.522042e+04
7.000000e-02,5.000000e-01,4.376806e+00,2.073255e+01,7.588604e+02,1.556777e+00,1.814310e+02,2.110307e+02,5.162300e+06,3.477298e+04
7.000000e-02,5.500000e-01,4.362135e+00,2.084357e+01,8.458890e+02,1.560886e+00,1.438866e+02,2.071024e+02,4.516578e+06,3.420305e+04
7.000000e-02,6.000000e-01,4.372986e+00,2.115722e+01,9.311401e+02,1.571926e+00,1.124582e+02,2.012320e+02,3.882131e+06,3.345717e+04
7.000000e-02,6.500000e-01,4.414474e+00,2.174795e+01,1.013554e+03,1.592670e+00,8.603289e+01,1.934480e+02,3.268619e+06,3.244824e+04
7.000000e-02,7.000000e-01,4.501098e+00,2.278787e+01,1.090457e+03,1.629727e+00,6.377969e+01,1.838637e+02,2.698532e+06,3.102660e+04
7.000000e-02,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,4.500000e-01,4.534951e+00,2.216496e+01,6.883274e+02,1.606253e+00,2.186322e+02,2.066159e+02,5.454843e+06,3.318735e+04
1.000000e-01,5.000000e-01,4.524840e+00,2.237568e+01,7.771286e+02,1.614021e+00,1.739338e+02,2.062367e+02,4.825105e+06,3.244824e+04
1.000000e-01,5.500000e-01,4.550926e+00,2.288503e+01,8.623628e+02,1.632457e+00,1.375347e+02,2.049941e+02,4.225807e+06,3.150932e+04
1.000000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,4.500000e-01,4.701268e+00,2.405862e+01,6.847384e+02,1.674733e+00,2.334034e+02,2.209401e+02,5.286068e+06,3.129093e+04
1.250000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,4.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
