# boron_feed,boron_limit,RO1_Boron_rej,LCOW,RO2_Boron_rej
1.000000e-03,5.000000e-04,4.000000e-01,9.025292e-01,7.776214e-01
1.000000e-03,5.000000e-04,4.500000e-01,9.025292e-01,7.773927e-01
1.000000e-03,5.000000e-04,5.000000e-01,9.025292e-01,7.771745e-01
1.000000e-03,5.000000e-04,5.500000e-01,9.025292e-01,7.776474e-01
1.000000e-03,5.000000e-04,6.000000e-01,9.025292e-01,7.775025e-01
1.000000e-03,5.000000e-04,6.500000e-01,9.025292e-01,7.770415e-01
1.000000e-03,5.000000e-04,7.000000e-01,9.025292e-01,7.781690e-01
1.000000e-03,1.000000e-03,4.000000e-01,9.025292e-01,7.776214e-01
1.000000e-03,1.000000e-03,4.500000e-01,9.025292e-01,7.773927e-01
1.000000e-03,1.000000e-03,5.000000e-01,9.025292e-01,7.771745e-01
1.000000e-03,1.000000e-03,5.500000e-01,9.025292e-01,7.776474e-01
1.000000e-03,1.000000e-03,6.000000e-01,9.025292e-01,7.775025e-01
1.000000e-03,1.000000e-03,6.500000e-01,9.025292e-01,7.770415e-01
1.000000e-03,1.000000e-03,7.000000e-01,9.025292e-01,7.781690e-01
1.000000e-03,2.400000e-03,4.000000e-01,9.025292e-01,7.776214e-01
1.000000e-03,2.400000e-03,4.500000e-01,9.025292e-01,7.773927e-01
1.000000e-03,2.400000e-03,5.000000e-01,9.025292e-01,7.771745e-01
1.000000e-03,2.400000e-03,5.500000e-01,9.025292e-01,7.776474e-01
1.000000e-03,2.400000e-03,6.000000e-01,9.025292e-01,7.775025e-01
1.000000e-03,2.400000e-03,6.500000e-01,9.025292e-01,7.770415e-01
1.000000e-03,2.400000e-03,7.000000e-01,9.025292e-01,7.781690e-01
1.250000e-03,5.000000e-04,4.000000e-01,9.025292e-01,7.776177e-01
1.250000e-03,5.000000e-04,4.500000e-01,9.025292e-01,7.774825e-01
1.250000e-03,5.000000e-04,5.000000e-01,9.025292e-01,7.767078e-01
1.250000e-03,5.000000e-04,5.500000e-01,9.025292e-01,7.777241e-01
1.250000e-03,5.000000e-04,6.000000e-01,9.025292e-01,7.771685e-01
1.250000e-03,5.000000e-04,6.500000e-01,9.025292e-01,7.777590e-01
1.250000e-03,5.000000e-04,7.000000e-01,9.025292e-01,7.769173e-01
1.250000e-03,1.000000e-03,4.000000e-01,9.025292e-01,7.776177e-01
1.250000e-03,1.000000e-03,4.500000e-01,9.025292e-01,7.774825e-01
1.250000e-03,1.000000e-03,5.000000e-01,9.025292e-01,7.767078e-01
1.250000e-03,1.000000e-03,5.500000e-01,9.025292e-01,7.777241e-01
1.250000e-03,1.000000e-03,6.000000e-01,9.025292e-01,7.771685e-01
1.250000e-03,1.000000e-03,6.500000e-01,9.025292e-01,7.777590e-01
1.250000e-03,1.000000e-03,7.000000e-01,9.025292e-01,7.769173e-01
1.250000e-03,2.400000e-03,4.000000e-01,9.025292e-01,7.776177e-01
1.250000e-03,2.400000e-03,4.500000e-01,9.025292e-01,7.774825e-01
1.250000e-03,2.400000e-03,5.000000e-01,9.025292e-01,7.767078e-01
1.250000e-03,2.400000e-03,5.500000e-01,9.025292e-01,7.777241e-01
