# boron_feed,boron_limit,LCOW,SEC,RO1_Boron_rej,RO1_Feed_pH,CO2 dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.000000e-03,5.000000e-04,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.000000e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.000000e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407050e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.510638e-03,3.000000e-04,9.187112e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.771612e-01,8.673473e+00,5.401365e+00,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.510638e-03,5.000000e-04,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.510638e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
1.510638e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407050e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.021277e-03,3.000000e-04,9.237581e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,7.729354e-01,9.403971e+00,1.321276e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
2.021277e-03,5.000000e-04,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.021277e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.021277e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.531915e-03,3.000000e-04,9.259915e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,8.248853e-01,9.655416e+00,1.666941e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
2.531915e-03,5.000000e-04,9.188671e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.794149e-01,8.705226e+00,5.642691e+00,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.531915e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
2.531915e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
3.042553e-03,3.000000e-04,9.273723e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,8.574901e-01,9.803359e+00,1.880656e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
3.042553e-03,5.000000e-04,9.223949e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,7.438002e-01,9.242108e+00,1.110276e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
