# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,HCl dose,RO2_Boron_rej,NaOH dose,RO1_Feed_pH,RO2_Feed_pH,pH recycle,pH mix,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,8.961805e-01,5.101044e+00,5.921193e-01,5.000000e-01,5.990064e+01,5.714287e-01,3.418618e+00,5.500000e+00,8.337471e+00,8.383228e+00,7.601454e+00,1.075753e+02,7.047819e+01,6.881558e+06,1.231307e+06
1.000000e-03,5.000000e-04,8.945873e-01,5.100762e+00,5.920408e-01,5.000000e-01,5.981153e+01,5.066056e-01,1.000002e+00,5.500000e+00,7.794959e+00,7.840717e+00,7.584050e+00,1.075945e+02,7.047005e+01,6.880237e+06,1.231287e+06
1.000000e-03,1.000000e-03,8.945873e-01,5.100762e+00,5.920408e-01,5.000000e-01,5.981153e+01,5.066056e-01,1.000002e+00,5.500000e+00,7.794959e+00,7.840717e+00,7.584050e+00,1.075945e+02,7.047005e+01,6.880237e+06,1.231287e+06
1.000000e-03,2.400000e-03,8.945873e-01,5.100761e+00,5.920408e-01,5.000000e-01,5.981153e+01,5.066056e-01,1.000001e+00,5.500000e+00,7.794959e+00,7.840717e+00,7.584050e+00,1.075945e+02,7.047006e+01,6.880237e+06,1.231287e+06
5.000000e-03,3.000000e-04,9.364006e-01,5.109898e+00,5.945390e-01,5.000000e-01,6.514221e+01,9.361702e-01,5.987803e+01,5.500000e+00,1.092916e+01,1.097492e+01,8.023880e+00,1.069812e+02,7.072901e+01,6.922532e+06,1.231928e+06
5.000000e-03,5.000000e-04,9.186538e-01,5.106078e+00,5.935054e-01,5.000000e-01,6.300387e+01,8.888889e-01,3.468587e+01,5.500000e+00,1.051445e+01,1.056021e+01,7.869632e+00,1.072351e+02,7.062189e+01,6.904961e+06,1.231663e+06
5.000000e-03,1.000000e-03,9.050873e-01,5.103113e+00,5.926923e-01,5.000000e-01,6.126815e+01,7.500000e-01,1.559434e+01,5.500000e+00,9.541513e+00,9.587271e+00,7.724536e+00,1.074347e+02,7.053760e+01,6.891211e+06,1.231454e+06
5.000000e-03,2.400000e-03,8.945873e-01,5.100762e+00,5.920408e-01,5.000000e-01,5.981153e+01,5.066056e-01,1.000002e+00,5.500000e+00,7.794959e+00,7.840717e+00,7.584050e+00,1.075945e+02,7.047005e+01,6.880237e+06,1.231287e+06
1.000000e-02,3.000000e-04,9.749388e-01,5.118230e+00,5.967426e-01,5.000000e-01,6.975322e+01,9.690722e-01,1.146834e+02,5.500000e+00,1.130333e+01,1.134909e+01,8.276104e+00,1.064389e+02,7.095733e+01,6.960337e+06,1.232493e+06
1.000000e-02,5.000000e-04,9.449707e-01,5.111744e+00,5.950333e-01,5.000000e-01,6.616819e+01,9.473684e-01,7.205885e+01,5.500000e+00,1.104405e+01,1.108981e+01,8.088412e+00,1.068596e+02,7.078024e+01,6.930972e+06,1.232055e+06
