# boron_feed,boron_limit,Product water,LCOW,M1 Capital Cost,HCl cost,P1 Capital Cost,RO1 Capital Cost,RO1 Fixed Operating Cost,M2 Capital Cost,NaOH cost,P2 Capital Cost,RO2 Capital Cost,RO2 Fixed Operating Cost,Electric cost,total fixed operating cost,total var operating cost,Total Capital Cost,Total Operating Cost,Chem and Main
1.000000e-03,3.000000e-04,1.663159e+04,8.961805e-01,4.139755e+02,1.069656e+03,1.854387e+04,3.227259e+03,6.454518e+02,2.643883e+02,3.936405e+01,1.973763e+03,2.114346e+03,4.228692e+02,6.598549e+03,2.660577e+03,6.936813e+03,5.307521e+04,9.597390e+03,1.592256e+03
1.000000e-03,5.000000e-04,1.662939e+04,8.945873e-01,4.139755e+02,1.068065e+03,1.854026e+04,3.227836e+03,6.455673e+02,2.643603e+02,1.151342e+01,1.973518e+03,2.114102e+03,4.228203e+02,6.597309e+03,2.660431e+03,6.909199e+03,5.306811e+04,9.569630e+03,1.592043e+03
1.000000e-03,1.000000e-03,1.662939e+04,8.945873e-01,4.139755e+02,1.068065e+03,1.854026e+04,3.227836e+03,6.455673e+02,2.643603e+02,1.151342e+01,1.973518e+03,2.114102e+03,4.228203e+02,6.597309e+03,2.660431e+03,6.909199e+03,5.306811e+04,9.569630e+03,1.592043e+03
1.000000e-03,2.400000e-03,1.662939e+04,8.945873e-01,4.139755e+02,1.068065e+03,1.854026e+04,3.227836e+03,6.455673e+02,2.643603e+02,1.151340e+01,1.973518e+03,2.114102e+03,4.228203e+02,6.597309e+03,2.660431e+03,6.909199e+03,5.306811e+04,9.569630e+03,1.592043e+03
5.000000e-03,3.000000e-04,1.669956e+04,9.364006e-01,4.139756e+02,1.163256e+03,1.865594e+04,3.209435e+03,6.418871e+02,2.652522e+02,6.917254e+02,1.981301e+03,2.121870e+03,4.243741e+02,6.637014e+03,2.665128e+03,7.642796e+03,5.329555e+04,1.030792e+04,1.598866e+03
5.000000e-03,5.000000e-04,1.667053e+04,9.186538e-01,4.139755e+02,1.125072e+03,1.860788e+04,3.217054e+03,6.434108e+02,2.648832e+02,4.001419e+02,1.978080e+03,2.118657e+03,4.237313e+02,6.620523e+03,2.663174e+03,7.331163e+03,5.320106e+04,9.994337e+03,1.596032e+03
5.000000e-03,1.000000e-03,1.664769e+04,9.050873e-01,4.139755e+02,1.094076e+03,1.857027e+04,3.223042e+03,6.446083e+02,2.645929e+02,1.797017e+02,1.975547e+03,2.116128e+03,4.232256e+02,6.607614e+03,2.661648e+03,7.093253e+03,5.312712e+04,9.754900e+03,1.593814e+03
5.000000e-03,2.400000e-03,1.662939e+04,8.945873e-01,4.139755e+02,1.068065e+03,1.854026e+04,3.227836e+03,6.455673e+02,2.643603e+02,1.151342e+01,1.973518e+03,2.114102e+03,4.228203e+02,6.597309e+03,2.660431e+03,6.909199e+03,5.306811e+04,9.569630e+03,1.592043e+03
1.000000e-02,3.000000e-04,1.676145e+04,9.749388e-01,4.139756e+02,1.245596e+03,1.875934e+04,3.193167e+03,6.386335e+02,2.660390e+02,1.328780e+03,1.988170e+03,2.128720e+03,4.257440e+02,6.672476e+03,2.669342e+03,8.322167e+03,5.349882e+04,1.099151e+04,1.604964e+03
1.000000e-02,5.000000e-04,1.671344e+04,9.449707e-01,4.139756e+02,1.181577e+03,1.867902e+04,3.205789e+03,6.411578e+02,2.654287e+02,8.329950e+02,1.982842e+03,2.123407e+03,4.246814e+02,6.644933e+03,2.666067e+03,7.793555e+03,5.334093e+04,1.045962e+04,1.600228e+03
1.000000e-02,1.000000e-03,1.667053e+04,9.186538e-01,4.139755e+02,1.125072e+03,1.860788e+04,3.217054e+03,6.434108e+02,2.648832e+02,4.001419e+02,1.978080e+03,2.118657e+03,4.237313e+02,6.620523e+03,2.663174e+03,7.331163e+03,5.320106e+04,9.994337e+03,1.596032e+03
