# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,8.966066e-01,5.101354e+00,5.922055e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.714287e-01,8.337471e+00,3.418618e+00,1.075542e+02,7.048713e+01,6.883007e+06,1.231329e+06
1.000000e-03,5.000000e-04,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
1.000000e-03,1.000000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
1.000000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
1.960000e-03,3.000000e-04,9.082931e-01,5.103059e+00,5.926775e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.192771e-01,1.000329e+01,2.217611e+01,1.074384e+02,7.053606e+01,6.890960e+06,1.231450e+06
1.960000e-03,5.000000e-04,8.994925e-01,5.101774e+00,5.923222e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.575343e-01,8.938792e+00,8.050393e+00,1.075255e+02,7.049923e+01,6.884972e+06,1.231359e+06
1.960000e-03,1.000000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
1.960000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
2.920000e-03,3.000000e-04,9.154724e-01,5.104108e+00,5.929664e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.854962e-01,1.048754e+01,3.370074e+01,1.073675e+02,7.056600e+01,6.895838e+06,1.231525e+06
2.920000e-03,5.000000e-04,9.066208e-01,5.102815e+00,5.926101e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.933885e-01,9.827570e+00,1.949175e+01,1.074549e+02,7.052907e+01,6.889823e+06,1.231433e+06
2.920000e-03,1.000000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
2.920000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
3.880000e-03,3.000000e-04,9.229558e-01,5.105203e+00,5.932666e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.162011e-01,1.074314e+01,4.571471e+01,1.072938e+02,7.059712e+01,6.900916e+06,1.231602e+06
3.880000e-03,5.000000e-04,9.110296e-01,5.103459e+00,5.927877e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.520710e-01,1.023502e+01,2.656880e+01,1.074113e+02,7.054748e+01,6.892820e+06,1.231479e+06
3.880000e-03,1.000000e-03,8.992831e-01,5.101744e+00,5.923138e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.527778e-01,8.907201e+00,7.714308e+00,1.075276e+02,7.049835e+01,6.884830e+06,1.231357e+06
3.880000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
4.840000e-03,3.000000e-04,9.305362e-01,5.106314e+00,5.935698e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.339207e-01,1.090713e+01,5.788580e+01,1.072193e+02,7.062855e+01,6.906053e+06,1.231680e+06
4.840000e-03,5.000000e-04,9.153498e-01,5.104090e+00,5.929615e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.847926e-01,1.048199e+01,3.350393e+01,1.073687e+02,7.056549e+01,6.895755e+06,1.231523e+06
4.840000e-03,1.000000e-03,9.036353e-01,5.102379e+00,5.924896e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.395834e-01,9.473738e+00,1.469973e+01,1.074845e+02,7.051658e+01,6.887792e+06,1.231402e+06
4.840000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
5.800000e-03,3.000000e-04,9.378742e-01,5.107391e+00,5.938625e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.454545e-01,1.102373e+01,6.966871e+01,1.071474e+02,7.065888e+01,6.911020e+06,1.231755e+06
5.800000e-03,5.000000e-04,9.198047e-01,5.104742e+00,5.931403e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.056604e-01,1.065202e+01,4.065576e+01,1.073248e+02,7.058403e+01,6.898779e+06,1.231569e+06
5.800000e-03,1.000000e-03,9.065181e-01,5.102800e+00,5.926059e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.916667e-01,9.816050e+00,1.932703e+01,1.074559e+02,7.052864e+01,6.889753e+06,1.231432e+06
5.800000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
6.760000e-03,3.000000e-04,9.448858e-01,5.108421e+00,5.941413e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.535604e-01,1.111211e+01,8.092866e+01,1.070789e+02,7.068778e+01,6.915759e+06,1.231827e+06
6.760000e-03,5.000000e-04,9.243640e-01,5.105410e+00,5.933230e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.201278e-01,1.077819e+01,4.797563e+01,1.072799e+02,7.060297e+01,6.901871e+06,1.231616e+06
6.760000e-03,1.000000e-03,9.088081e-01,5.103134e+00,5.926982e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.263889e-01,1.005253e+01,2.300283e+01,1.074333e+02,7.053821e+01,6.891310e+06,1.231456e+06
6.760000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
7.720000e-03,3.000000e-04,9.515329e-01,5.109399e+00,5.944050e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.595687e-01,1.118210e+01,9.160414e+01,1.070141e+02,7.071510e+01,6.920247e+06,1.231894e+06
7.720000e-03,5.000000e-04,9.289130e-01,5.106076e+00,5.935050e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.307479e-01,1.087658e+01,5.527940e+01,1.072352e+02,7.062183e+01,6.904954e+06,1.231663e+06
7.720000e-03,1.000000e-03,9.109410e-01,5.103446e+00,5.927841e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.511905e-01,1.022862e+01,2.642653e+01,1.074122e+02,7.054711e+01,6.892760e+06,1.231478e+06
