# Feed Mass NaCl,Water Recovery,RO membrane area,Pump 1 pressure,Levelized Cost of Water
5.000000e-03,3.000000e-01,4.575937e+01,2.263934e+06,2.361083e-01
5.000000e-03,4.333333e-01,6.574457e+01,2.368835e+06,2.153153e-01
5.000000e-03,5.666667e-01,8.676593e+01,2.495440e+06,2.077534e-01
5.000000e-03,7.000000e-01,1.098164e+02,2.697285e+06,2.097539e-01
5.500000e-02,3.000000e-01,5.565440e+01,7.725010e+06,5.379521e-01
5.500000e-02,4.333333e-01,nan,nan,nan
5.500000e-02,5.666667e-01,nan,nan,nan
5.500000e-02,7.000000e-01,nan,nan,nan
1.050000e-01,3.000000e-01,nan,nan,nan
1.050000e-01,4.333333e-01,nan,nan,nan
1.050000e-01,5.666667e-01,nan,nan,nan
1.050000e-01,7.000000e-01,nan,nan,nan
1.550000e-01,3.000000e-01,nan,nan,nan
1.550000e-01,4.333333e-01,nan,nan,nan
1.550000e-01,5.666667e-01,nan,nan,nan
1.550000e-01,7.000000e-01,nan,nan,nan
