# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,9.393260e-01,5.287202e+00,5.927006e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.714288e-01,8.160226e+00,2.644841e+00,1.074331e+02,9.813383e+01,6.891310e+06,6.891310e+06
1.000000e-03,5.000000e-04,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
1.000000e-03,1.000000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
1.000000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
1.500000e-03,3.000000e-04,9.426346e-01,5.287684e+00,5.928337e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.500001e-01,8.930003e+00,7.955967e+00,1.074005e+02,9.815307e+01,6.893556e+06,6.893556e+06
1.500000e-03,5.000000e-04,9.386260e-01,5.287100e+00,5.926724e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.000002e-01,7.901268e+00,1.521270e+00,1.074401e+02,9.812975e+01,6.890835e+06,6.890835e+06
1.500000e-03,1.000000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
1.500000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
2.000000e-03,3.000000e-04,9.456970e-01,5.288130e+00,5.929567e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.235294e-01,9.334154e+00,1.287202e+01,1.073703e+02,9.817085e+01,6.895634e+06,6.895634e+06
2.000000e-03,5.000000e-04,9.405371e-01,5.287379e+00,5.927493e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.666668e-01,8.543552e+00,4.588950e+00,1.074212e+02,9.814087e+01,6.892133e+06,6.892133e+06
2.000000e-03,1.000000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
2.000000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
2.500000e-03,3.000000e-04,9.478376e-01,5.288442e+00,5.930426e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.636364e-01,9.595310e+00,1.630844e+01,1.073492e+02,9.818327e+01,6.897086e+06,6.897086e+06
2.500000e-03,5.000000e-04,9.426346e-01,5.287684e+00,5.928337e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.500001e-01,8.930003e+00,7.955967e+00,1.074005e+02,9.815307e+01,6.893556e+06,6.893556e+06
2.500000e-03,1.000000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
