# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,5.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,3.000000e-04,8.976399e-01,5.101504e+00,5.922472e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.041645e-01,9.244007e+00,1.171027e+01,1.075439e+02,7.049146e+01,6.883710e+06,6.883710e+06
1.500000e-03,5.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.000000e-03,3.000000e-04,9.023564e-01,5.102192e+00,5.924379e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.911749e-01,9.812762e+00,1.928021e+01,1.074972e+02,7.051122e+01,6.886921e+06,6.886921e+06
2.000000e-03,5.000000e-04,8.933773e-01,5.100883e+00,5.920746e-01,5.419866e-01,5.500000e+00,6.034157e+01,6.055527e-01,8.585067e+00,4.869200e+00,1.075863e+02,7.047356e+01,6.880805e+06,6.880805e+06
2.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.500000e-03,3.000000e-04,9.056508e-01,5.102673e+00,5.925709e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.386352e-01,1.013856e+01,2.456802e+01,1.074645e+02,7.052501e+01,6.889162e+06,6.889162e+06
2.500000e-03,5.000000e-04,8.976399e-01,5.101504e+00,5.922472e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.041645e-01,9.244007e+00,1.171027e+01,1.075439e+02,7.049146e+01,6.883710e+06,6.883710e+06
2.500000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
3.000000e-03,3.000000e-04,9.087800e-01,5.103130e+00,5.926970e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.685176e-01,1.035670e+01,2.959096e+01,1.074336e+02,7.053809e+01,6.891290e+06,6.891290e+06
3.000000e-03,5.000000e-04,9.007812e-01,5.101962e+00,5.923743e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.633316e-01,9.628632e+00,1.675196e+01,1.075128e+02,7.050463e+01,6.885849e+06,6.885849e+06
3.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
3.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
3.500000e-03,3.000000e-04,9.119863e-01,5.103598e+00,5.928261e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.890617e-01,1.051583e+01,3.473774e+01,1.074019e+02,7.055147e+01,6.893469e+06,6.893469e+06
3.500000e-03,5.000000e-04,9.030632e-01,5.102295e+00,5.924664e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.027763e-01,9.890717e+00,2.041477e+01,1.074901e+02,7.051418e+01,6.887402e+06,6.887402e+06
3.500000e-03,1.000000e-03,8.915159e-01,5.100612e+00,5.919991e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.266632e-01,7.977942e+00,1.881952e+00,1.076048e+02,7.046573e+01,6.879536e+06,6.879536e+06
3.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
4.000000e-03,3.000000e-04,9.152593e-01,5.104077e+00,5.929577e-01,5.419866e-01,5.500000e+00,6.034157e+01,9.040533e-01,1.063848e+01,3.999186e+01,1.073696e+02,7.056511e+01,6.895692e+06,6.895692e+06
4.000000e-03,5.000000e-04,9.050235e-01,5.102581e+00,5.925456e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.309511e-01,1.008439e+01,2.356113e+01,1.074707e+02,7.052239e+01,6.888735e+06,6.888735e+06
4.000000e-03,1.000000e-03,8.933773e-01,5.100883e+00,5.920746e-01,5.419866e-01,5.500000e+00,6.034157e+01,6.055527e-01,8.585067e+00,4.869200e+00,1.075863e+02,7.047356e+01,6.880805e+06,6.880805e+06
4.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
4.500000e-03,3.000000e-04,9.185791e-01,5.104562e+00,5.930911e-01,5.419866e-01,5.500000e+00,6.034157e+01,9.154756e-01,1.073673e+01,4.532145e+01,1.073369e+02,7.057893e+01,6.897946e+06,6.897946e+06
4.500000e-03,5.000000e-04,9.068984e-01,5.102855e+00,5.926212e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.520822e-01,1.023510e+01,2.657063e+01,1.074522e+02,7.053022e+01,6.890011e+06,6.890011e+06
4.500000e-03,1.000000e-03,8.955564e-01,5.101200e+00,5.921628e-01,5.419866e-01,5.500000e+00,6.034157e+01,6.619023e-01,8.967704e+00,8.366342e+00,1.075646e+02,7.048271e+01,6.882290e+06,6.882290e+06
4.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
5.000000e-03,3.000000e-04,9.219492e-01,5.105056e+00,5.932262e-01,5.419866e-01,5.500000e+00,6.034157e+01,9.244675e-01,1.081772e+01,5.073190e+01,1.073037e+02,7.059294e+01,6.900232e+06,6.900232e+06
5.000000e-03,5.000000e-04,9.087800e-01,5.103130e+00,5.926970e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.685176e-01,1.035670e+01,2.959096e+01,1.074336e+02,7.053809e+01,6.891290e+06,6.891290e+06
5.000000e-03,1.000000e-03,8.976399e-01,5.101504e+00,5.922472e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.041645e-01,9.244007e+00,1.171027e+01,1.075439e+02,7.049146e+01,6.883710e+06,6.883710e+06
5.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
5.500000e-03,3.000000e-04,9.252694e-01,5.105542e+00,5.933592e-01,5.419866e-01,5.500000e+00,6.034157e+01,9.317303e-01,1.088597e+01,5.606255e+01,1.072710e+02,7.060672e+01,6.902483e+06,6.902483e+06
5.500000e-03,5.000000e-04,9.106920e-01,5.103409e+00,5.927740e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.816658e-01,1.045749e+01,3.266013e+01,1.074147e+02,7.054607e+01,6.892590e+06,6.892590e+06
5.500000e-03,1.000000e-03,8.993667e-01,5.101756e+00,5.923171e-01,5.419866e-01,5.500000e+00,6.034157e+01,7.370351e-01,9.457187e+00,1.448165e+01,1.075268e+02,7.049870e+01,6.884886e+06,6.884886e+06
5.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.419866e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
6.000000e-03,3.000000e-04,9.285485e-01,5.106023e+00,5.934903e-01,5.419866e-01,5.500000e+00,6.034157e+01,9.377188e-01,1.094451e+01,6.132740e+01,1.072388e+02,7.062031e+01,6.904706e+06,6.904706e+06
6.000000e-03,5.000000e-04,9.126377e-01,5.103693e+00,5.928523e-01,5.419866e-01,5.500000e+00,6.034157e+01,8.924234e-01,1.054279e+01,3.578349e+01,1.073955e+02,7.055418e+01,6.893912e+06,6.893912e+06
