# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-03,3.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,5.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,3.000000e-04,8.973842e-01,5.101467e+00,5.922369e-01,5.109595e-01,5.500000e+00,6.034157e+01,7.387949e-01,9.211697e+00,1.129992e+01,1.075465e+02,7.049038e+01,6.883535e+06,6.883535e+06
1.500000e-03,5.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
1.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.000000e-03,3.000000e-04,9.006481e-01,5.101943e+00,5.923689e-01,5.109595e-01,5.500000e+00,6.034157e+01,8.156200e-01,9.612598e+00,1.653833e+01,1.075141e+02,7.050407e+01,6.885758e+06,6.885758e+06
2.000000e-03,5.000000e-04,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.000000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.500000e-03,3.000000e-04,9.022746e-01,5.102180e+00,5.924346e-01,5.109595e-01,5.500000e+00,6.034157e+01,8.575245e-01,9.803515e+00,1.914888e+01,1.074980e+02,7.051088e+01,6.886865e+06,6.886865e+06
2.500000e-03,5.000000e-04,8.973842e-01,5.101467e+00,5.922369e-01,5.109595e-01,5.500000e+00,6.034157e+01,7.387949e-01,9.211697e+00,1.129992e+01,1.075465e+02,7.049038e+01,6.883535e+06,6.883535e+06
2.500000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
2.500000e-03,2.400000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
3.000000e-03,3.000000e-04,9.033768e-01,5.102341e+00,5.924791e-01,5.109595e-01,5.500000e+00,6.034157e+01,8.839089e-01,9.923942e+00,2.091811e+01,1.074870e+02,7.051550e+01,6.887615e+06,6.887615e+06
3.000000e-03,5.000000e-04,8.996802e-01,5.101801e+00,5.923297e-01,5.109595e-01,5.500000e+00,6.034157e+01,7.910360e-01,9.495355e+00,1.498496e+01,1.075237e+02,7.050001e+01,6.885099e+06,6.885099e+06
3.000000e-03,1.000000e-03,8.909663e-01,5.100532e+00,5.919768e-01,5.109595e-01,5.500000e+00,6.034157e+01,6.555404e-01,7.794960e+00,1.000004e+00,1.076102e+02,7.046342e+01,6.879161e+06,6.879161e+06
