# Recovery,Inlet Salinity,LCOW,Specific energy consumption,Evaporator area
3.000000e-01,1.000000e-02,4.402850e+00,1.956025e+01,5.167863e+02
3.000000e-01,2.000000e-02,4.416126e+00,1.966778e+01,5.211807e+02
3.000000e-01,3.000000e-02,4.430114e+00,1.978380e+01,5.257221e+02
3.000000e-01,4.000000e-02,4.444983e+00,1.990989e+01,5.304106e+02
3.000000e-01,5.000000e-02,4.460924e+00,2.004789e+01,5.352450e+02
3.000000e-01,6.000000e-02,4.478150e+00,2.019992e+01,5.402224e+02
3.000000e-01,7.000000e-02,4.496898e+00,2.036840e+01,5.453372e+02
3.000000e-01,8.000000e-02,4.517433e+00,2.055608e+01,5.505803e+02
3.000000e-01,9.000000e-02,4.540047e+00,2.076605e+01,5.559385e+02
3.000000e-01,1.000000e-01,4.565065e+00,2.100177e+01,5.613933e+02
3.444444e-01,1.000000e-02,4.372519e+00,1.927552e+01,5.833909e+02
3.444444e-01,2.000000e-02,4.385965e+00,1.939788e+01,5.888009e+02
3.444444e-01,3.000000e-02,4.400343e+00,1.953028e+01,5.943663e+02
3.444444e-01,4.000000e-02,4.415863e+00,1.967482e+01,6.000871e+02
3.444444e-01,5.000000e-02,4.432758e+00,1.983387e+01,6.059604e+02
3.444444e-01,6.000000e-02,4.451292e+00,2.001019e+01,6.119789e+02
3.444444e-01,7.000000e-02,4.471760e+00,2.020688e+01,6.181308e+02
3.444444e-01,8.000000e-02,4.494490e+00,2.042745e+01,6.243984e+02
3.444444e-01,9.000000e-02,4.519847e+00,2.067588e+01,6.307575e+02
3.444444e-01,1.000000e-01,4.548240e+00,2.095664e+01,6.371757e+02
3.888889e-01,1.000000e-02,4.341055e+00,1.906796e+01,6.503019e+02
3.888889e-01,2.000000e-02,4.355424e+00,1.920650e+01,6.565481e+02
3.888889e-01,3.000000e-02,4.370970e+00,1.935744e+01,6.629673e+02
3.888889e-01,4.000000e-02,4.387955e+00,1.952344e+01,6.695553e+02
3.888889e-01,5.000000e-02,4.406674e+00,1.970758e+01,6.763021e+02
3.888889e-01,6.000000e-02,4.427456e+00,1.991335e+01,6.831914e+02
3.888889e-01,7.000000e-02,4.450675e+00,2.014479e+01,6.901993e+02
3.888889e-01,8.000000e-02,4.476747e+00,2.040643e+01,6.972926e+02
3.888889e-01,9.000000e-02,4.506139e+00,2.070350e+01,7.044274e+02
3.888889e-01,1.000000e-01,4.539377e+00,2.104191e+01,7.115461e+02
4.333333e-01,1.000000e-02,4.311033e+00,1.891779e+01,7.159686e+02
4.333333e-01,2.000000e-02,4.368748e+00,1.974266e+01,6.020584e+02
4.333333e-01,3.000000e-02,4.379007e+00,1.989039e+01,6.107639e+02
4.333333e-01,4.000000e-02,4.391580e+00,2.006088e+01,6.195895e+02
4.333333e-01,5.000000e-02,4.406691e+00,2.025667e+01,6.285600e+02
4.333333e-01,6.000000e-02,4.424646e+00,2.048129e+01,6.376762e+02
4.333333e-01,7.000000e-02,4.445831e+00,2.073924e+01,6.469138e+02
4.333333e-01,8.000000e-02,4.470717e+00,2.103606e+01,6.562215e+02
4.333333e-01,9.000000e-02,4.499859e+00,2.137835e+01,6.655195e+02
4.333333e-01,1.000000e-01,4.533900e+00,2.177386e+01,6.746984e+02
4.777778e-01,1.000000e-02,4.282473e+00,1.926142e+01,6.675700e+02
4.777778e-01,2.000000e-02,4.294372e+00,1.941692e+01,6.769974e+02
4.777778e-01,3.000000e-02,4.308737e+00,1.959685e+01,6.865116e+02
4.777778e-01,4.000000e-02,4.325825e+00,1.980409e+01,6.961525e+02
4.777778e-01,5.000000e-02,4.345986e+00,2.004266e+01,7.059292e+02
4.777778e-01,6.000000e-02,4.369668e+00,2.031776e+01,7.158178e+02
4.777778e-01,7.000000e-02,4.397418e+00,2.063585e+01,7.257595e+02
