# Recovery,Inlet Salinity,LCOW,Specific energy consumption,Evaporator area
3.000000e-01,1.000000e-02,4.374285e+00,1.913825e+01,5.284280e+02
3.000000e-01,2.000000e-02,4.388340e+00,1.927574e+01,5.336971e+02
3.000000e-01,3.000000e-02,4.404162e+00,1.942998e+01,5.390593e+02
3.000000e-01,4.000000e-02,4.421784e+00,1.960166e+01,5.445067e+02
3.000000e-01,5.000000e-02,4.441266e+00,1.979161e+01,5.500331e+02
3.000000e-01,6.000000e-02,4.462694e+00,2.000084e+01,5.556336e+02
3.000000e-01,7.000000e-02,4.486184e+00,2.023053e+01,5.613054e+02
3.000000e-01,8.000000e-02,4.511880e+00,2.048202e+01,5.670479e+02
3.000000e-01,9.000000e-02,4.539958e+00,2.075684e+01,5.728632e+02
3.000000e-01,1.000000e-01,4.570627e+00,2.105668e+01,5.787565e+02
3.444444e-01,1.000000e-02,4.362920e+00,1.913853e+01,6.050435e+02
3.444444e-01,2.000000e-02,4.378057e+00,1.928711e+01,6.110301e+02
3.444444e-01,3.000000e-02,4.395198e+00,1.945487e+01,6.171154e+02
3.444444e-01,4.000000e-02,4.414388e+00,1.964264e+01,6.232874e+02
3.444444e-01,5.000000e-02,4.435703e+00,1.985149e+01,6.295363e+02
3.444444e-01,6.000000e-02,4.459257e+00,2.008272e+01,6.358545e+02
3.444444e-01,7.000000e-02,4.485204e+00,2.033785e+01,6.422377e+02
3.444444e-01,8.000000e-02,4.513736e+00,2.061861e+01,6.486849e+02
3.444444e-01,9.000000e-02,4.545086e+00,2.092699e+01,6.551994e+02
3.444444e-01,1.000000e-01,4.579530e+00,2.126514e+01,6.617896e+02
3.888889e-01,1.000000e-02,4.353336e+00,1.914328e+01,6.812607e+02
3.888889e-01,2.000000e-02,4.369733e+00,1.930480e+01,6.879459e+02
3.888889e-01,3.000000e-02,4.388427e+00,1.948846e+01,6.947309e+02
3.888889e-01,4.000000e-02,4.409477e+00,1.969537e+01,7.015977e+02
3.888889e-01,5.000000e-02,4.432986e+00,1.992691e+01,7.085315e+02
3.888889e-01,6.000000e-02,4.459107e+00,2.018476e+01,7.155209e+02
3.888889e-01,7.000000e-02,4.488046e+00,2.047092e+01,7.225594e+02
3.888889e-01,8.000000e-02,4.520060e+00,2.078777e+01,7.296165e+02
3.888889e-01,9.000000e-02,4.554502e+00,2.143263e+01,6.386437e+02
3.888889e-01,1.000000e-01,4.588855e+00,2.184265e+01,6.389423e+02
4.333333e-01,1.000000e-02,4.351738e+00,1.955889e+01,5.939598e+02
4.333333e-01,2.000000e-02,4.355192e+00,1.967443e+01,6.023716e+02
4.333333e-01,3.000000e-02,4.363217e+00,1.983254e+01,6.104349e+02
4.333333e-01,4.000000e-02,4.375334e+00,2.002886e+01,6.183055e+02
4.333333e-01,5.000000e-02,4.391374e+00,2.026208e+01,6.260514e+02
4.333333e-01,6.000000e-02,4.411465e+00,2.053365e+01,6.336509e+02
4.333333e-01,7.000000e-02,4.436008e+00,2.084787e+01,6.409849e+02
4.333333e-01,8.000000e-02,4.465683e+00,2.121206e+01,6.478235e+02
4.333333e-01,9.000000e-02,4.501461e+00,2.163701e+01,6.537998e+02
4.333333e-01,1.000000e-01,4.544681e+00,2.213844e+01,6.583543e+02
4.777778e-01,1.000000e-02,4.274386e+00,1.920661e+01,6.680227e+02
4.777778e-01,2.000000e-02,4.282221e+00,1.935106e+01,6.771971e+02
4.777778e-01,3.000000e-02,4.294802e+00,1.954008e+01,6.860749e+02
4.777778e-01,4.000000e-02,4.311754e+00,1.977053e+01,6.948045e+02
4.777778e-01,5.000000e-02,4.333034e+00,2.004240e+01,7.034276e+02
4.777778e-01,6.000000e-02,4.358898e+00,2.035864e+01,7.118782e+02
4.777778e-01,7.000000e-02,4.389882e+00,2.072506e+01,7.199770e+02
4.777778e-01,8.000000e-02,4.426799e+00,2.115043e+01,7.274190e+02
4.777778e-01,9.000000e-02,4.470758e+00,2.164701e+01,7.337438e+02
4.777778e-01,1.000000e-01,4.523258e+00,2.223225e+01,7.382585e+02
5.222222e-01,1.000000e-02,4.215483e+00,1.894196e+01,7.415450e+02
5.222222e-01,2.000000e-02,4.227655e+00,1.911780e+01,7.514736e+02
5.222222e-01,3.000000e-02,4.244974e+00,1.934251e+01,7.611518e+02
5.222222e-01,4.000000e-02,4.267184e+00,1.961432e+01,7.707094e+02
5.222222e-01,5.000000e-02,4.294382e+00,1.993486e+01,7.801447e+02
5.222222e-01,6.000000e-02,4.326987e+00,2.030895e+01,7.893258e+02
5.222222e-01,7.000000e-02,4.365710e+00,2.074436e+01,7.979884e+02
5.222222e-01,8.000000e-02,4.411543e+00,2.125188e+01,8.057270e+02
5.222222e-01,9.000000e-02,4.465794e+00,2.184584e+01,8.119575e+02
5.222222e-01,1.000000e-01,4.530221e+00,2.254645e+01,8.158021e+02
5.666667e-01,1.000000e-02,4.169971e+00,1.874199e+01,8.145648e+02
5.666667e-01,2.000000e-02,4.186731e+00,1.895381e+01,8.252465e+02
