# Recovery,Inlet Salinity,LCOW,Specific energy consumption,Evaporator area
3.500000e-01,3.000000e-02,2.622667e+00,7.667392e+00,4.255663e+02
3.500000e-01,4.666667e-02,2.626088e+00,7.679443e+00,4.340410e+02
3.500000e-01,6.333333e-02,2.629694e+00,7.692221e+00,4.428689e+02
3.500000e-01,8.000000e-02,2.633502e+00,7.705794e+00,4.520731e+02
3.500000e-01,9.666667e-02,2.637528e+00,7.720236e+00,4.616789e+02
3.500000e-01,1.133333e-01,2.641793e+00,7.735633e+00,4.717140e+02
3.500000e-01,1.300000e-01,2.646319e+00,7.752079e+00,4.822089e+02
3.500000e-01,1.466667e-01,2.651129e+00,7.769685e+00,4.931971e+02
3.500000e-01,1.633333e-01,2.656252e+00,7.788576e+00,5.047152e+02
3.500000e-01,1.800000e-01,2.661720e+00,7.808893e+00,5.168043e+02
3.857143e-01,3.000000e-02,2.621096e+00,7.663096e+00,4.690546e+02
3.857143e-01,4.666667e-02,2.624737e+00,7.675919e+00,4.784693e+02
3.857143e-01,6.333333e-02,2.628589e+00,7.689567e+00,4.882835e+02
3.857143e-01,8.000000e-02,2.632670e+00,7.704120e+00,4.985241e+02
3.857143e-01,9.666667e-02,2.637002e+00,7.719671e+00,5.092207e+02
3.857143e-01,1.133333e-01,2.641609e+00,7.736323e+00,5.204059e+02
3.857143e-01,1.300000e-01,2.646517e+00,7.754196e+00,5.321156e+02
3.857143e-01,1.466667e-01,2.651758e+00,7.773427e+00,5.443894e+02
3.857143e-01,1.633333e-01,2.657366e+00,7.794173e+00,5.572712e+02
3.857143e-01,1.800000e-01,2.663383e+00,7.816617e+00,5.708099e+02
4.214286e-01,3.000000e-02,2.619896e+00,7.659894e+00,5.125804e+02
4.214286e-01,4.666667e-02,2.623789e+00,7.673603e+00,5.229607e+02
4.214286e-01,6.333333e-02,2.627923e+00,7.688256e+00,5.337907e+02
4.214286e-01,8.000000e-02,2.632321e+00,7.703952e+00,5.451021e+02
4.214286e-01,9.666667e-02,2.637009e+00,7.720804e+00,5.569296e+02
4.214286e-01,1.133333e-01,2.642016e+00,7.738942e+00,5.693114e+02
4.214286e-01,1.300000e-01,2.647378e+00,7.758517e+00,5.822902e+02
4.214286e-01,1.466667e-01,2.653133e+00,7.779702e+00,5.959132e+02
4.214286e-01,1.633333e-01,2.659326e+00,7.802703e+00,6.102330e+02
4.214286e-01,1.800000e-01,2.666010e+00,7.827757e+00,6.253088e+02
4.571429e-01,3.000000e-02,2.618999e+00,7.657599e+00,5.561514e+02
4.571429e-01,4.666667e-02,2.623183e+00,7.672334e+00,5.675285e+02
4.571429e-01,6.333333e-02,2.627644e+00,7.688159e+00,5.794110e+02
4.571429e-01,8.000000e-02,2.632412e+00,7.705198e+00,5.918361e+02
4.571429e-01,9.666667e-02,2.637520e+00,7.723594e+00,6.048446e+02
4.571429e-01,1.133333e-01,2.643006e+00,7.743512e+00,6.184821e+02
4.571429e-01,1.300000e-01,2.648912e+00,7.765145e+00,6.327996e+02
4.571429e-01,1.466667e-01,2.655290e+00,7.788721e+00,6.478541e+02
4.571429e-01,1.633333e-01,2.662199e+00,7.814508e+00,6.637095e+02
4.571429e-01,1.800000e-01,2.669709e+00,7.842826e+00,6.804386e+02
4.928571e-01,3.000000e-02,2.618364e+00,7.656097e+00,5.997778e+02
4.928571e-01,4.666667e-02,2.622886e+00,7.672038e+00,6.121902e+02
4.928571e-01,6.333333e-02,2.627732e+00,7.689239e+00,6.251712e+02
4.928571e-01,8.000000e-02,2.632939e+00,7.707878e+00,6.387641e+02
4.928571e-01,9.666667e-02,2.638549e+00,7.728131e+00,6.530180e+02
4.928571e-01,1.133333e-01,2.644611e+00,7.750213e+00,6.679878e+02
4.928571e-01,1.300000e-01,2.651182e+00,7.774379e+00,6.837352e+02
4.928571e-01,1.466667e-01,2.658330e+00,7.800932e+00,7.003302e+02
4.928571e-01,1.633333e-01,2.666134e+00,7.830236e+00,7.178525e+02
4.928571e-01,1.800000e-01,2.674689e+00,7.862741e+00,7.363927e+02
5.285714e-01,3.000000e-02,2.617966e+00,7.655334e+00,6.434729e+02
5.285714e-01,4.666667e-02,2.622886e+00,7.672683e+00,6.569699e+02
5.285714e-01,6.333333e-02,2.628190e+00,7.691543e+00,6.711074e+02
5.285714e-01,8.000000e-02,2.633925e+00,7.712116e+00,6.859381e+02
5.285714e-01,9.666667e-02,2.640146e+00,7.734641e+00,7.015215e+02
5.285714e-01,1.133333e-01,2.646918e+00,7.759405e+00,7.179248e+02
5.285714e-01,1.300000e-01,2.654317e+00,7.786753e+00,7.352247e+02
5.285714e-01,1.466667e-01,2.662435e+00,7.817101e+00,7.535092e+02
5.285714e-01,1.633333e-01,2.671384e+00,7.850962e+00,7.728797e+02
5.285714e-01,1.800000e-01,2.681298e+00,7.888968e+00,7.934543e+02
5.642857e-01,3.000000e-02,2.617799e+00,7.655300e+00,6.872547e+02
5.642857e-01,4.666667e-02,2.623195e+00,7.674347e+00,7.018988e+02
5.642857e-01,6.333333e-02,2.629053e+00,7.695217e+00,7.172689e+02
5.642857e-01,8.000000e-02,2.635433e+00,7.718164e+00,7.334301e+02
5.642857e-01,9.666667e-02,2.642411e+00,7.743526e+00,7.504558e+02
5.642857e-01,1.133333e-01,2.650074e+00,7.771690e+00,7.684307e+02
5.642857e-01,1.300000e-01,2.658529e+00,7.803138e+00,7.874529e+02
5.642857e-01,1.466667e-01,2.667907e+00,7.838467e+00,8.076365e+02
5.642857e-01,1.633333e-01,2.678368e+00,7.878426e+00,8.291160e+02
5.642857e-01,1.800000e-01,2.690112e+00,7.923966e+00,8.520510e+02
6.000000e-01,3.000000e-02,2.617871e+00,7.656038e+00,7.311481e+02
6.000000e-01,4.666667e-02,2.623845e+00,7.677155e+00,7.470217e+02
6.000000e-01,6.333333e-02,2.630383e+00,7.700503e+00,7.637263e+02
6.000000e-01,8.000000e-02,2.637571e+00,7.726449e+00,7.813434e+02
6.000000e-01,9.666667e-02,2.645509e+00,7.755441e+00,7.999674e+02
6.000000e-01,1.133333e-01,2.654324e+00,7.788039e+00,8.197084e+02
6.000000e-01,1.300000e-01,2.664168e+00,7.824946e+00,8.406967e+02
6.000000e-01,1.466667e-01,2.675237e+00,7.867055e+00,8.630873e+02
6.000000e-01,1.633333e-01,2.687772e+00,7.915522e+00,8.870674e+02
6.000000e-01,1.800000e-01,2.702092e+00,7.971867e+00,9.128655e+02
6.357143e-01,3.000000e-02,2.618206e+00,7.657655e+00,7.751882e+02
6.357143e-01,4.666667e-02,2.624896e+00,7.681346e+00,7.924028e+02
6.357143e-01,6.333333e-02,2.632294e+00,7.707842e+00,8.105819e+02
6.357143e-01,8.000000e-02,2.640517e+00,7.737658e+00,8.298316e+02
6.357143e-01,9.666667e-02,2.649712e+00,7.771447e+00,8.502776e+02
6.357143e-01,1.133333e-01,2.660066e+00,7.810042e+00,8.720703e+02
6.357143e-01,1.300000e-01,2.671811e+00,7.854522e+00,8.953916e+02
6.357143e-01,1.466667e-01,2.685251e+00,7.906309e+00,9.204650e+02
6.357143e-01,1.633333e-01,2.700784e+00,7.967317e+00,9.475690e+02
6.357143e-01,1.800000e-01,2.718944e+00,8.040181e+00,9.770566e+02
6.714286e-01,3.000000e-02,2.618855e+00,7.660332e+00,8.194275e+02
