# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,3.716355e+00,2.319467e+01,5.410602e+02,1.642267e+00
4.500000e-01,4.000000e-02,3.721040e+00,2.328348e+01,5.448666e+02,1.645536e+00
4.500000e-01,4.500000e-02,3.726205e+00,2.337875e+01,5.487054e+02,1.649048e+00
4.500000e-01,5.000000e-02,3.731875e+00,2.348094e+01,5.525769e+02,1.652822e+00
4.500000e-01,5.500000e-02,3.738084e+00,2.359052e+01,5.564801e+02,1.656876e+00
4.500000e-01,6.000000e-02,3.744865e+00,2.370806e+01,5.604129e+02,1.661234e+00
4.500000e-01,6.500000e-02,3.752257e+00,2.383416e+01,5.643719e+02,1.665921e+00
4.500000e-01,7.000000e-02,3.760302e+00,2.396950e+01,5.683526e+02,1.670966e+00
4.500000e-01,7.500000e-02,3.769047e+00,2.411481e+01,5.723491e+02,1.676398e+00
4.500000e-01,8.000000e-02,3.778540e+00,2.427088e+01,5.763543e+02,1.682254e+00
4.500000e-01,8.500000e-02,3.788835e+00,2.443859e+01,5.803596e+02,1.688569e+00
4.500000e-01,9.000000e-02,3.799989e+00,2.461885e+01,5.843551e+02,1.695386e+00
4.500000e-01,9.500000e-02,3.812063e+00,2.481267e+01,5.883295e+02,1.702749e+00
4.500000e-01,1.000000e-01,3.825122e+00,2.502112e+01,5.922701e+02,1.710707e+00
4.500000e-01,1.050000e-01,3.839236e+00,2.524532e+01,5.961625e+02,1.719313e+00
4.500000e-01,1.100000e-01,3.854477e+00,2.548650e+01,5.999909e+02,1.728627e+00
4.500000e-01,1.150000e-01,3.870924e+00,2.574595e+01,6.037376e+02,1.738711e+00
4.500000e-01,1.200000e-01,3.888658e+00,2.602505e+01,6.073836e+02,1.749637e+00
4.500000e-01,1.250000e-01,3.907767e+00,2.632524e+01,6.109078e+02,1.761479e+00
4.500000e-01,1.300000e-01,3.928343e+00,2.664808e+01,6.142873e+02,1.774323e+00
5.000000e-01,3.500000e-02,3.658371e+00,2.287702e+01,6.128924e+02,1.631331e+00
5.000000e-01,4.000000e-02,3.665066e+00,2.298870e+01,6.170729e+02,1.635399e+00
5.000000e-01,4.500000e-02,3.672358e+00,2.310867e+01,6.212839e+02,1.639779e+00
5.000000e-01,5.000000e-02,3.680292e+00,2.323762e+01,6.255232e+02,1.644498e+00
5.000000e-01,5.500000e-02,3.688912e+00,2.337628e+01,6.297868e+02,1.649588e+00
5.000000e-01,6.000000e-02,3.698272e+00,2.352549e+01,6.340691e+02,1.655083e+00
5.000000e-01,6.500000e-02,3.708428e+00,2.368616e+01,6.383628e+02,1.661020e+00
5.000000e-01,7.000000e-02,3.719440e+00,2.385925e+01,6.426585e+02,1.667442e+00
5.000000e-01,7.500000e-02,3.731375e+00,2.404586e+01,6.469451e+02,1.674395e+00
5.000000e-01,8.000000e-02,3.744303e+00,2.424715e+01,6.512094e+02,1.681930e+00
5.000000e-01,8.500000e-02,3.758302e+00,2.446437e+01,6.554361e+02,1.690105e+00
5.000000e-01,9.000000e-02,3.773453e+00,2.469889e+01,6.596078e+02,1.698981e+00
5.000000e-01,9.500000e-02,3.789844e+00,2.495217e+01,6.637047e+02,1.708626e+00
5.000000e-01,1.000000e-01,3.807569e+00,2.522577e+01,6.677046e+02,1.719118e+00
5.000000e-01,1.050000e-01,3.826727e+00,2.552138e+01,6.715830e+02,1.730539e+00
5.000000e-01,1.100000e-01,3.847426e+00,2.584080e+01,6.753124e+02,1.742981e+00
5.000000e-01,1.150000e-01,3.869779e+00,2.618596e+01,6.788627e+02,1.756548e+00
5.000000e-01,1.200000e-01,3.893908e+00,2.655892e+01,6.822007e+02,1.771352e+00
5.000000e-01,1.250000e-01,3.919940e+00,2.696185e+01,6.852900e+02,1.787518e+00
5.000000e-01,1.300000e-01,nan,nan,nan,nan
5.500000e-01,3.500000e-02,3.618026e+00,2.268383e+01,6.841088e+02,1.624872e+00
5.500000e-01,4.000000e-02,3.626988e+00,2.282314e+01,6.886463e+02,1.629915e+00
5.500000e-01,4.500000e-02,3.636730e+00,2.297352e+01,6.932060e+02,1.635375e+00
5.500000e-01,5.000000e-02,3.647317e+00,2.313599e+01,6.977811e+02,1.641296e+00
5.500000e-01,5.500000e-02,3.658820e+00,2.331169e+01,7.023625e+02,1.647725e+00
5.500000e-01,6.000000e-02,3.671317e+00,2.350189e+01,7.069382e+02,1.654714e+00
5.500000e-01,6.500000e-02,3.684892e+00,2.370794e+01,7.114937e+02,1.662322e+00
5.500000e-01,7.000000e-02,3.699636e+00,2.393136e+01,7.160112e+02,1.670616e+00
5.500000e-01,7.500000e-02,3.715649e+00,2.417378e+01,7.204700e+02,1.679668e+00
5.500000e-01,8.000000e-02,3.733036e+00,2.443698e+01,7.248457e+02,1.689560e+00
5.500000e-01,8.500000e-02,3.751913e+00,2.472289e+01,7.291107e+02,1.700382e+00
5.500000e-01,9.000000e-02,3.772405e+00,2.503360e+01,7.332336e+02,1.712236e+00
5.500000e-01,9.500000e-02,3.794644e+00,2.537139e+01,7.371786e+02,1.725234e+00
5.500000e-01,1.000000e-01,3.818774e+00,2.573870e+01,7.409058e+02,1.739504e+00
5.500000e-01,1.050000e-01,3.844951e+00,2.613817e+01,7.443707e+02,1.755186e+00
5.500000e-01,1.100000e-01,3.873339e+00,2.657266e+01,7.475237e+02,1.772440e+00
5.500000e-01,1.150000e-01,nan,nan,nan,nan
5.500000e-01,1.200000e-01,nan,nan,nan,nan
5.500000e-01,1.250000e-01,nan,nan,nan,nan
5.500000e-01,1.300000e-01,nan,nan,nan,nan
6.000000e-01,3.500000e-02,3.591281e+00,2.259569e+01,7.547700e+02,1.622153e+00
6.000000e-01,4.000000e-02,3.603036e+00,2.277091e+01,7.596390e+02,1.628477e+00
6.000000e-01,4.500000e-02,3.615859e+00,2.296154e+01,7.645090e+02,1.635388e+00
6.000000e-01,5.000000e-02,3.629849e+00,2.316920e+01,7.693649e+02,1.642952e+00
6.000000e-01,5.500000e-02,3.645120e+00,2.339570e+01,7.741874e+02,1.651246e+00
6.000000e-01,6.000000e-02,3.661791e+00,2.364304e+01,7.789528e+02,1.660358e+00
6.000000e-01,6.500000e-02,3.679995e+00,2.391341e+01,7.836322e+02,1.670384e+00
6.000000e-01,7.000000e-02,3.699877e+00,2.420922e+01,7.881914e+02,1.681434e+00
6.000000e-01,7.500000e-02,3.721592e+00,2.453311e+01,7.925906e+02,1.693631e+00
6.000000e-01,8.000000e-02,3.745313e+00,2.488799e+01,7.967837e+02,1.707116e+00
6.000000e-01,8.500000e-02,3.771224e+00,2.527703e+01,8.007177e+02,1.722048e+00
6.000000e-01,9.000000e-02,3.799528e+00,2.570370e+01,8.043324e+02,1.738607e+00
6.000000e-01,9.500000e-02,3.830444e+00,2.617178e+01,8.075594e+02,1.756999e+00
6.000000e-01,1.000000e-01,3.864210e+00,2.668537e+01,8.103220e+02,1.777457e+00
6.000000e-01,1.050000e-01,nan,nan,nan,nan
6.000000e-01,1.100000e-01,nan,nan,nan,nan
6.000000e-01,1.150000e-01,nan,nan,nan,nan
6.000000e-01,1.200000e-01,nan,nan,nan,nan
6.000000e-01,1.250000e-01,nan,nan,nan,nan
6.000000e-01,1.300000e-01,nan,nan,nan,nan
6.500000e-01,3.500000e-02,3.576395e+00,2.261218e+01,8.249212e+02,1.623150e+00
6.500000e-01,4.000000e-02,3.591914e+00,2.283778e+01,8.300699e+02,1.631296e+00
6.500000e-01,4.500000e-02,3.608978e+00,2.308604e+01,8.351708e+02,1.640313e+00
6.500000e-01,5.000000e-02,3.627753e+00,2.335973e+01,8.401915e+02,1.650319e+00
6.500000e-01,5.500000e-02,3.648425e+00,2.366188e+01,8.450914e+02,1.661448e+00
6.500000e-01,6.000000e-02,3.671195e+00,2.399589e+01,8.498213e+02,1.673853e+00
6.500000e-01,6.500000e-02,3.696287e+00,2.436554e+01,8.543218e+02,1.687709e+00
6.500000e-01,7.000000e-02,3.723949e+00,2.477504e+01,8.585232e+02,1.703220e+00
6.500000e-01,7.500000e-02,3.754455e+00,2.522920e+01,8.623388e+02,1.720624e+00
