# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,3.702633e+00,2.312786e+01,5.410374e+02,1.639764e+00
4.500000e-01,4.000000e-02,3.706968e+00,2.322702e+01,5.445717e+02,1.643437e+00
4.500000e-01,4.500000e-02,3.712030e+00,2.333533e+01,5.480940e+02,1.647452e+00
4.500000e-01,5.000000e-02,3.717829e+00,2.345294e+01,5.516029e+02,1.651817e+00
4.500000e-01,5.500000e-02,3.724384e+00,2.358014e+01,5.550925e+02,1.656546e+00
4.500000e-01,6.000000e-02,3.731728e+00,2.371742e+01,5.585530e+02,1.661660e+00
4.500000e-01,6.500000e-02,3.739907e+00,2.386542e+01,5.619694e+02,1.667187e+00
4.500000e-01,7.000000e-02,3.748977e+00,2.402493e+01,5.653225e+02,1.673159e+00
4.500000e-01,7.500000e-02,3.759006e+00,2.419691e+01,5.685878e+02,1.679618e+00
4.500000e-01,8.000000e-02,3.770075e+00,2.438251e+01,5.717351e+02,1.686614e+00
4.500000e-01,8.500000e-02,3.782277e+00,2.458307e+01,5.747281e+02,1.694202e+00
4.500000e-01,9.000000e-02,3.795720e+00,2.480018e+01,5.775229e+02,1.702453e+00
4.500000e-01,9.500000e-02,3.810528e+00,2.503570e+01,5.800664e+02,1.711447e+00
4.500000e-01,1.000000e-01,3.826848e+00,2.529190e+01,5.822934e+02,1.721283e+00
4.500000e-01,1.050000e-01,3.844853e+00,2.557157e+01,5.841224e+02,1.732086e+00
4.500000e-01,1.100000e-01,3.864753e+00,2.587826e+01,5.854489e+02,1.744014e+00
4.500000e-01,1.150000e-01,3.886811e+00,2.621663e+01,5.861359e+02,1.757277e+00
4.500000e-01,1.200000e-01,3.911361e+00,2.659302e+01,5.859981e+02,1.772162e+00
4.500000e-01,1.250000e-01,3.938845e+00,2.701641e+01,5.847775e+02,1.789078e+00
4.500000e-01,1.300000e-01,3.969870e+00,2.749985e+01,5.821063e+02,1.808628e+00
5.000000e-01,3.500000e-02,3.646665e+00,2.281486e+01,6.127519e+02,1.629000e+00
5.000000e-01,4.000000e-02,3.653207e+00,2.293644e+01,6.166697e+02,1.633448e+00
5.000000e-01,4.500000e-02,3.660572e+00,2.306868e+01,6.205766e+02,1.638295e+00
5.000000e-01,5.000000e-02,3.668784e+00,2.321193e+01,6.244663e+02,1.643557e+00
5.000000e-01,5.500000e-02,3.677875e+00,2.336670e+01,6.283275e+02,1.649257e+00
5.000000e-01,6.000000e-02,3.687894e+00,2.353368e+01,6.321436e+02,1.655425e+00
5.000000e-01,6.500000e-02,3.698899e+00,2.371372e+01,6.358928e+02,1.662098e+00
5.000000e-01,7.000000e-02,3.710961e+00,2.390782e+01,6.395477e+02,1.669320e+00
5.000000e-01,7.500000e-02,3.724164e+00,2.411716e+01,6.430752e+02,1.677142e+00
5.000000e-01,8.000000e-02,3.738603e+00,2.434309e+01,6.464357e+02,1.685622e+00
5.000000e-01,8.500000e-02,3.754387e+00,2.458718e+01,6.495821e+02,1.694831e+00
5.000000e-01,9.000000e-02,3.771642e+00,2.485125e+01,6.524580e+02,1.704849e+00
5.000000e-01,9.500000e-02,3.790512e+00,2.513745e+01,6.549945e+02,1.715775e+00
5.000000e-01,1.000000e-01,3.811170e+00,2.544843e+01,6.571061e+02,1.727729e+00
5.000000e-01,1.050000e-01,3.833821e+00,2.578753e+01,6.586825e+02,1.740863e+00
5.000000e-01,1.100000e-01,3.858726e+00,2.615915e+01,6.595771e+02,1.755380e+00
5.000000e-01,1.150000e-01,3.886217e+00,2.656935e+01,6.595873e+02,1.771560e+00
5.000000e-01,1.200000e-01,3.916741e+00,2.702691e+01,6.584219e+02,1.789809e+00
5.000000e-01,1.250000e-01,4.150208e+00,3.422135e+01,5.101144e+02,2.103763e+00
5.000000e-01,1.300000e-01,nan,nan,nan,nan
5.500000e-01,3.500000e-02,3.607967e+00,2.262633e+01,6.838556e+02,1.622704e+00
5.500000e-01,4.000000e-02,3.616978e+00,2.277578e+01,6.881378e+02,1.628129e+00
5.500000e-01,4.500000e-02,3.626973e+00,2.293833e+01,6.924008e+02,1.634046e+00
5.500000e-01,5.000000e-02,3.637992e+00,2.311460e+01,6.966309e+02,1.640484e+00
5.500000e-01,5.500000e-02,3.650088e+00,2.330539e+01,7.008079e+02,1.647478e+00
5.500000e-01,6.000000e-02,3.663327e+00,2.351168e+01,7.049056e+02,1.655072e+00
5.500000e-01,6.500000e-02,3.677789e+00,2.373460e+01,7.088917e+02,1.663316e+00
5.500000e-01,7.000000e-02,3.693565e+00,2.397547e+01,7.127274e+02,1.672269e+00
5.500000e-01,7.500000e-02,3.710760e+00,2.423577e+01,7.163671e+02,1.681997e+00
5.500000e-01,8.000000e-02,3.729491e+00,2.451716e+01,7.197576e+02,1.692579e+00
5.500000e-01,8.500000e-02,3.749895e+00,2.482157e+01,7.228359e+02,1.704102e+00
5.500000e-01,9.000000e-02,3.772124e+00,2.515121e+01,7.255264e+02,1.716672e+00
5.500000e-01,9.500000e-02,3.796360e+00,2.550877e+01,7.277353e+02,1.730417e+00
5.500000e-01,1.000000e-01,3.822822e+00,2.589760e+01,7.293421e+02,1.745496e+00
5.500000e-01,1.050000e-01,3.851783e+00,2.632210e+01,7.301847e+02,1.762122e+00
5.500000e-01,1.100000e-01,3.883597e+00,2.678843e+01,7.300349e+02,1.780589e+00
5.500000e-01,1.150000e-01,nan,nan,nan,nan
5.500000e-01,1.200000e-01,nan,nan,nan,nan
5.500000e-01,1.250000e-01,nan,nan,nan,nan
5.500000e-01,1.300000e-01,nan,nan,nan,nan
6.000000e-01,3.500000e-02,3.582681e+00,2.254374e+01,7.544071e+02,1.620171e+00
6.000000e-01,4.000000e-02,3.594695e+00,2.272985e+01,7.590229e+02,1.626898e+00
