# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,3.300732e+00,1.807246e+01,4.565262e+02,1.466016e+00
4.500000e-01,4.000000e-02,3.302523e+00,1.808931e+01,4.594296e+02,1.466540e+00
4.500000e-01,4.500000e-02,3.304350e+00,1.810654e+01,4.623722e+02,1.467076e+00
4.500000e-01,5.000000e-02,3.306216e+00,1.812416e+01,4.653549e+02,1.467624e+00
4.500000e-01,5.500000e-02,3.308121e+00,1.814218e+01,4.683787e+02,1.468185e+00
4.500000e-01,6.000000e-02,3.310066e+00,1.816063e+01,4.714443e+02,1.468760e+00
4.500000e-01,6.500000e-02,3.312053e+00,1.817950e+01,4.745527e+02,1.469348e+00
4.500000e-01,7.000000e-02,3.314083e+00,1.819883e+01,4.777049e+02,1.469951e+00
4.500000e-01,7.500000e-02,3.316157e+00,1.821862e+01,4.809018e+02,1.470568e+00
4.500000e-01,8.000000e-02,3.318277e+00,1.823889e+01,4.841445e+02,1.471201e+00
4.500000e-01,8.500000e-02,3.320445e+00,1.825966e+01,4.874340e+02,1.471850e+00
4.500000e-01,9.000000e-02,3.322662e+00,1.828094e+01,4.907713e+02,1.472516e+00
4.500000e-01,9.500000e-02,3.324929e+00,1.830277e+01,4.941576e+02,1.473198e+00
4.500000e-01,1.000000e-01,3.327249e+00,1.832515e+01,4.975940e+02,1.473899e+00
4.500000e-01,1.050000e-01,3.329624e+00,1.834810e+01,5.010816e+02,1.474618e+00
4.500000e-01,1.100000e-01,3.332054e+00,1.837166e+01,5.046218e+02,1.475356e+00
4.500000e-01,1.150000e-01,3.334543e+00,1.839584e+01,5.082157e+02,1.476114e+00
4.500000e-01,1.200000e-01,3.337092e+00,1.842067e+01,5.118647e+02,1.476893e+00
4.500000e-01,1.250000e-01,3.339704e+00,1.844617e+01,5.155701e+02,1.477694e+00
4.500000e-01,1.300000e-01,3.342381e+00,1.847238e+01,5.193333e+02,1.478518e+00
5.000000e-01,3.500000e-02,3.207990e+00,1.737060e+01,5.239124e+02,1.444275e+00
5.000000e-01,4.000000e-02,3.210133e+00,1.739078e+01,5.272879e+02,1.444893e+00
5.000000e-01,4.500000e-02,3.212324e+00,1.741146e+01,5.307107e+02,1.445527e+00
5.000000e-01,5.000000e-02,3.214565e+00,1.743266e+01,5.341818e+02,1.446177e+00
5.000000e-01,5.500000e-02,3.216859e+00,1.745440e+01,5.377023e+02,1.446844e+00
5.000000e-01,6.000000e-02,3.219206e+00,1.747670e+01,5.412733e+02,1.447528e+00
5.000000e-01,6.500000e-02,3.221610e+00,1.749958e+01,5.448961e+02,1.448231e+00
5.000000e-01,7.000000e-02,3.224071e+00,1.752306e+01,5.485718e+02,1.448953e+00
5.000000e-01,7.500000e-02,3.226591e+00,1.754717e+01,5.523017e+02,1.449695e+00
5.000000e-01,8.000000e-02,3.229174e+00,1.757194e+01,5.560871e+02,1.450457e+00
5.000000e-01,8.500000e-02,3.231821e+00,1.759738e+01,5.599294e+02,1.451241e+00
5.000000e-01,9.000000e-02,3.234535e+00,1.762353e+01,5.638298e+02,1.452047e+00
5.000000e-01,9.500000e-02,3.237319e+00,1.765042e+01,5.677899e+02,1.452876e+00
5.000000e-01,1.000000e-01,3.240174e+00,1.767808e+01,5.718111e+02,1.453730e+00
5.000000e-01,1.050000e-01,3.243105e+00,1.770654e+01,5.758949e+02,1.454609e+00
5.000000e-01,1.100000e-01,3.246113e+00,1.773583e+01,5.800430e+02,1.455515e+00
5.000000e-01,1.150000e-01,3.249202e+00,1.776600e+01,5.842569e+02,1.456448e+00
5.000000e-01,1.200000e-01,3.252376e+00,1.779708e+01,5.885383e+02,1.457410e+00
5.000000e-01,1.250000e-01,3.255638e+00,1.782911e+01,5.928891e+02,1.458403e+00
5.000000e-01,1.300000e-01,nan,nan,nan,nan
5.500000e-01,3.500000e-02,3.137245e+00,1.682711e+01,5.916612e+02,1.427689e+00
5.500000e-01,4.000000e-02,3.139807e+00,1.685130e+01,5.955359e+02,1.428422e+00
5.500000e-01,4.500000e-02,3.142435e+00,1.687617e+01,5.994674e+02,1.429175e+00
5.500000e-01,5.000000e-02,3.145130e+00,1.690174e+01,6.034568e+02,1.429951e+00
5.500000e-01,5.500000e-02,3.147895e+00,1.692804e+01,6.075058e+02,1.430748e+00
5.500000e-01,6.000000e-02,3.150733e+00,1.695510e+01,6.116156e+02,1.431570e+00
5.500000e-01,6.500000e-02,3.153646e+00,1.698295e+01,6.157879e+02,1.432416e+00
5.500000e-01,7.000000e-02,3.156638e+00,1.701164e+01,6.200242e+02,1.433289e+00
5.500000e-01,7.500000e-02,3.159713e+00,1.704118e+01,6.243261e+02,1.434188e+00
5.500000e-01,8.000000e-02,3.162873e+00,1.707163e+01,6.286954e+02,1.435115e+00
5.500000e-01,8.500000e-02,3.166122e+00,1.710303e+01,6.331338e+02,1.436072e+00
5.500000e-01,9.000000e-02,3.169464e+00,1.713542e+01,6.376430e+02,1.437060e+00
5.500000e-01,9.500000e-02,3.172903e+00,1.716885e+01,6.422251e+02,1.438081e+00
5.500000e-01,1.000000e-01,3.176443e+00,1.720336e+01,6.468818e+02,1.439135e+00
5.500000e-01,1.050000e-01,3.180089e+00,1.723902e+01,6.516153e+02,1.440226e+00
5.500000e-01,1.100000e-01,3.183846e+00,1.727587e+01,6.564277e+02,1.441354e+00
5.500000e-01,1.150000e-01,nan,nan,nan,nan
5.500000e-01,1.200000e-01,nan,nan,nan,nan
5.500000e-01,1.250000e-01,nan,nan,nan,nan
5.500000e-01,1.300000e-01,nan,nan,nan,nan
6.000000e-01,3.500000e-02,3.082564e+00,1.640223e+01,6.596866e+02,1.414873e+00
6.000000e-01,4.000000e-02,3.085650e+00,1.643148e+01,6.640990e+02,1.415750e+00
6.000000e-01,4.500000e-02,3.088824e+00,1.646165e+01,6.685798e+02,1.416657e+00
6.000000e-01,5.000000e-02,3.092091e+00,1.649279e+01,6.731307e+02,1.417593e+00
6.000000e-01,5.500000e-02,3.095455e+00,1.652494e+01,6.777538e+02,1.418560e+00
6.000000e-01,6.000000e-02,3.098920e+00,1.655816e+01,6.824508e+02,1.419560e+00
6.000000e-01,6.500000e-02,3.102491e+00,1.659249e+01,6.872239e+02,1.420595e+00
6.000000e-01,7.000000e-02,3.106172e+00,1.662799e+01,6.920751e+02,1.421666e+00
6.000000e-01,7.500000e-02,3.109970e+00,1.666473e+01,6.970068e+02,1.422775e+00
6.000000e-01,8.000000e-02,3.113889e+00,1.670276e+01,7.020210e+02,1.423924e+00
6.000000e-01,8.500000e-02,3.117936e+00,1.674216e+01,7.071202e+02,1.425116e+00
6.000000e-01,9.000000e-02,3.122116e+00,1.678299e+01,7.123069e+02,1.426352e+00
6.000000e-01,9.500000e-02,3.126438e+00,1.682535e+01,7.175836e+02,1.427636e+00
6.000000e-01,1.000000e-01,3.130907e+00,1.686931e+01,7.229530e+02,1.428970e+00
6.000000e-01,1.050000e-01,nan,nan,nan,nan
6.000000e-01,1.100000e-01,nan,nan,nan,nan
6.000000e-01,1.150000e-01,nan,nan,nan,nan
6.000000e-01,1.200000e-01,nan,nan,nan,nan
6.000000e-01,1.250000e-01,nan,nan,nan,nan
6.000000e-01,1.300000e-01,nan,nan,nan,nan
6.500000e-01,3.500000e-02,3.040144e+00,1.607041e+01,7.279978e+02,1.404955e+00
6.500000e-01,4.000000e-02,3.043915e+00,1.610633e+01,7.330057e+02,1.406026e+00
6.500000e-01,4.500000e-02,3.047812e+00,1.614357e+01,7.380976e+02,1.407136e+00
6.500000e-01,5.000000e-02,3.051841e+00,1.618219e+01,7.432760e+02,1.408290e+00
6.500000e-01,5.500000e-02,3.056008e+00,1.622228e+01,7.485435e+02,1.409488e+00
6.500000e-01,6.000000e-02,3.060323e+00,1.626391e+01,7.539028e+02,1.410734e+00
6.500000e-01,6.500000e-02,3.064791e+00,1.630719e+01,7.593567e+02,1.412031e+00
6.500000e-01,7.000000e-02,3.069422e+00,1.635220e+01,7.649083e+02,1.413380e+00
6.500000e-01,7.500000e-02,3.074226e+00,1.639905e+01,7.705606e+02,1.414787e+00
6.500000e-01,8.000000e-02,3.079210e+00,1.644786e+01,7.763170e+02,1.416255e+00
6.500000e-01,8.500000e-02,3.084387e+00,1.649875e+01,7.821807e+02,1.417786e+00
6.500000e-01,9.000000e-02,nan,nan,nan,nan
6.500000e-01,9.500000e-02,nan,nan,nan,nan
6.500000e-01,1.000000e-01,nan,nan,nan,nan
6.500000e-01,1.050000e-01,nan,nan,nan,nan
6.500000e-01,1.100000e-01,nan,nan,nan,nan
6.500000e-01,1.150000e-01,nan,nan,nan,nan
6.500000e-01,1.200000e-01,nan,nan,nan,nan
6.500000e-01,1.250000e-01,nan,nan,nan,nan
6.500000e-01,1.300000e-01,nan,nan,nan,nan
7.000000e-01,3.500000e-02,3.007665e+00,1.581662e+01,7.967159e+02,1.397424e+00
7.000000e-01,4.000000e-02,3.012391e+00,1.586191e+01,8.024129e+02,1.398767e+00
7.000000e-01,4.500000e-02,3.017304e+00,1.590917e+01,8.082166e+02,1.400171e+00
7.000000e-01,5.000000e-02,3.022417e+00,1.595854e+01,8.141306e+02,1.401638e+00
7.000000e-01,5.500000e-02,3.027741e+00,1.601016e+01,8.201588e+02,1.403174e+00
7.000000e-01,6.000000e-02,3.033291e+00,1.606418e+01,8.263055e+02,1.404785e+00
7.000000e-01,6.500000e-02,3.039081e+00,1.612078e+01,8.325749e+02,1.406474e+00
7.000000e-01,7.000000e-02,3.045126e+00,1.618015e+01,8.389715e+02,1.408248e+00
7.000000e-01,7.500000e-02,3.051445e+00,1.624248e+01,8.455002e+02,1.410113e+00
7.000000e-01,8.000000e-02,nan,nan,nan,nan
7.000000e-01,8.500000e-02,nan,nan,nan,nan
7.000000e-01,9.000000e-02,nan,nan,nan,nan
7.000000e-01,9.500000e-02,nan,nan,nan,nan
7.000000e-01,1.000000e-01,nan,nan,nan,nan
7.000000e-01,1.050000e-01,nan,nan,nan,nan
7.000000e-01,1.100000e-01,nan,nan,nan,nan
7.000000e-01,1.150000e-01,nan,nan,nan,nan
7.000000e-01,1.200000e-01,nan,nan,nan,nan
7.000000e-01,1.250000e-01,nan,nan,nan,nan
7.000000e-01,1.300000e-01,nan,nan,nan,nan
7.500000e-01,3.500000e-02,2.984091e+00,1.563597e+01,8.661469e+02,1.392096e+00
7.500000e-01,4.000000e-02,2.990260e+00,1.569554e+01,8.726974e+02,1.393857e+00
7.500000e-01,4.500000e-02,2.996734e+00,1.575835e+01,8.793916e+02,1.395716e+00
7.500000e-01,5.000000e-02,3.003535e+00,1.582465e+01,8.862357e+02,1.397681e+00
7.500000e-01,5.500000e-02,3.010689e+00,1.589475e+01,8.932362e+02,1.399763e+00
7.500000e-01,6.000000e-02,3.018224e+00,1.596897e+01,9.004002e+02,1.401971e+00
7.500000e-01,6.500000e-02,nan,nan,nan,nan
7.500000e-01,7.000000e-02,nan,nan,nan,nan
7.500000e-01,7.500000e-02,nan,nan,nan,nan
7.500000e-01,8.000000e-02,nan,nan,nan,nan
7.500000e-01,8.500000e-02,nan,nan,nan,nan
7.500000e-01,9.000000e-02,nan,nan,nan,nan
7.500000e-01,9.500000e-02,nan,nan,nan,nan
7.500000e-01,1.000000e-01,nan,nan,nan,nan
7.500000e-01,1.050000e-01,nan,nan,nan,nan
7.500000e-01,1.100000e-01,nan,nan,nan,nan
7.500000e-01,1.150000e-01,nan,nan,nan,nan
7.500000e-01,1.200000e-01,nan,nan,nan,nan
7.500000e-01,1.250000e-01,nan,nan,nan,nan
7.500000e-01,1.300000e-01,nan,nan,nan,nan
