# Water Recovery,Feed Mass TDS,RO membrane area,Pump 1 pressure,Levelized Cost of Water
3.000000e-01,5.000000e-03,8.113176e+01,1.522352e+06,3.514263e-01
3.000000e-01,1.555556e-02,8.705579e+01,2.467230e+06,5.075454e-01
3.000000e-01,2.611111e-02,9.381018e+01,3.396912e+06,6.634871e-01
3.000000e-01,3.666667e-02,8.875605e+01,4.468064e+06,8.229529e-01
3.000000e-01,4.722222e-02,6.653646e+01,5.959303e+06,1.020832e+00
3.000000e-01,5.777778e-02,5.254874e+01,7.622719e+06,1.260546e+00
3.000000e-01,6.833333e-02,nan,nan,nan
3.000000e-01,7.888889e-02,nan,nan,nan
3.000000e-01,8.944444e-02,nan,nan,nan
3.000000e-01,1.000000e-01,nan,nan,nan
4.000000e-01,5.000000e-03,9.439655e+01,1.711758e+06,3.017052e-01
4.000000e-01,1.555556e-02,1.022264e+02,2.745531e+06,4.314806e-01
4.000000e-01,2.611111e-02,1.128893e+02,3.728210e+06,5.594679e-01
4.000000e-01,3.666667e-02,1.094703e+02,4.850633e+06,6.871488e-01
4.000000e-01,4.722222e-02,8.138619e+01,6.538676e+06,8.514828e-01
4.000000e-01,5.777778e-02,nan,nan,nan
4.000000e-01,6.833333e-02,nan,nan,nan
4.000000e-01,7.888889e-02,nan,nan,nan
4.000000e-01,8.944444e-02,nan,nan,nan
4.000000e-01,1.000000e-01,nan,nan,nan
5.000000e-01,5.000000e-03,1.065768e+02,1.898440e+06,2.705570e-01
5.000000e-01,1.555556e-02,1.171952e+02,3.039606e+06,3.871038e-01
5.000000e-01,2.611111e-02,1.499999e+02,3.850232e+06,4.952967e-01
5.000000e-01,3.666667e-02,1.245935e+02,5.249346e+06,6.016890e-01
5.000000e-01,4.722222e-02,9.386697e+01,7.165389e+06,7.519728e-01
5.000000e-01,5.777778e-02,nan,nan,nan
5.000000e-01,6.833333e-02,nan,nan,nan
5.000000e-01,7.888889e-02,nan,nan,nan
5.000000e-01,8.944444e-02,nan,nan,nan
5.000000e-01,1.000000e-01,nan,nan,nan
6.000000e-01,5.000000e-03,1.183465e+02,2.099499e+06,2.505625e-01
6.000000e-01,1.555556e-02,1.360081e+02,3.337778e+06,3.609759e-01
6.000000e-01,2.611111e-02,1.291299e+02,4.663211e+06,4.586227e-01
6.000000e-01,3.666667e-02,1.013236e+02,6.561972e+06,5.842893e-01
6.000000e-01,4.722222e-02,nan,nan,nan
6.000000e-01,5.777778e-02,nan,nan,nan
6.000000e-01,6.833333e-02,nan,nan,nan
6.000000e-01,7.888889e-02,nan,nan,nan
6.000000e-01,8.944444e-02,nan,nan,nan
6.000000e-01,1.000000e-01,nan,nan,nan
7.000000e-01,5.000000e-03,1.305570e+02,2.341913e+06,2.393184e-01
7.000000e-01,1.555556e-02,1.466876e+02,3.737030e+06,3.433037e-01
7.000000e-01,2.611111e-02,9.886367e+01,6.193766e+06,4.734523e-01
7.000000e-01,3.666667e-02,nan,nan,nan
7.000000e-01,4.722222e-02,nan,nan,nan
7.000000e-01,5.777778e-02,nan,nan,nan
7.000000e-01,6.833333e-02,nan,nan,nan
7.000000e-01,7.888889e-02,nan,nan,nan
7.000000e-01,8.944444e-02,nan,nan,nan
7.000000e-01,1.000000e-01,nan,nan,nan
