# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,6.759267e+01,2.537737e+06,4.879651e-01,2.828360e+00
3.000000e-01,1.100000e-02,6.772848e+01,2.642239e+06,5.044646e-01,2.950575e+00
3.000000e-01,1.200000e-02,6.786183e+01,2.747199e+06,5.210412e-01,3.073400e+00
3.000000e-01,1.300000e-02,6.799291e+01,2.852620e+06,5.376959e-01,3.196838e+00
3.000000e-01,1.400000e-02,6.812189e+01,2.958504e+06,5.544297e-01,3.320895e+00
3.000000e-01,1.500000e-02,6.824898e+01,3.064855e+06,5.712433e-01,3.445575e+00
3.000000e-01,1.600000e-02,6.837435e+01,3.171676e+06,5.881379e-01,3.570883e+00
3.000000e-01,1.700000e-02,6.849819e+01,3.278971e+06,6.051143e-01,3.696824e+00
3.000000e-01,1.800000e-02,6.862068e+01,3.386742e+06,6.221735e-01,3.823403e+00
3.000000e-01,1.900000e-02,6.874200e+01,3.494995e+06,6.393165e-01,3.950626e+00
3.000000e-01,2.000000e-02,6.886232e+01,3.603731e+06,6.565444e-01,4.078498e+00
3.000000e-01,2.100000e-02,6.898182e+01,3.712956e+06,6.738581e-01,4.207024e+00
3.000000e-01,2.200000e-02,6.910067e+01,3.822674e+06,6.912587e-01,4.336209e+00
3.000000e-01,2.300000e-02,6.921903e+01,3.932887e+06,7.087473e-01,4.466061e+00
3.000000e-01,2.400000e-02,6.933707e+01,4.043602e+06,7.263248e-01,4.596584e+00
3.000000e-01,2.500000e-02,6.945496e+01,4.154821e+06,7.439924e-01,4.727785e+00
3.000000e-01,2.600000e-02,6.957285e+01,4.266549e+06,7.617512e-01,4.859670e+00
3.000000e-01,2.700000e-02,6.969089e+01,4.378791e+06,7.796023e-01,4.992246e+00
3.000000e-01,2.800000e-02,6.980924e+01,4.491551e+06,7.975468e-01,5.125518e+00
3.000000e-01,2.900000e-02,6.992806e+01,4.604835e+06,8.155858e-01,5.259494e+00
3.000000e-01,3.000000e-02,7.004748e+01,4.718646e+06,8.337205e-01,5.394181e+00
3.000000e-01,3.100000e-02,7.016765e+01,4.832991e+06,8.519521e-01,5.529584e+00
3.000000e-01,3.200000e-02,7.028872e+01,4.947873e+06,8.702817e-01,5.665713e+00
3.000000e-01,3.300000e-02,7.041081e+01,5.063299e+06,8.887106e-01,5.802572e+00
3.000000e-01,3.400000e-02,7.053408e+01,5.179273e+06,9.072399e-01,5.940171e+00
3.000000e-01,3.500000e-02,7.065864e+01,5.295801e+06,9.258708e-01,6.078516e+00
3.000000e-01,3.600000e-02,7.078464e+01,5.412889e+06,9.446046e-01,6.217615e+00
3.000000e-01,3.700000e-02,7.091220e+01,5.530541e+06,9.634425e-01,6.357476e+00
3.000000e-01,3.800000e-02,7.104144e+01,5.648764e+06,9.823859e-01,6.498107e+00
3.000000e-01,3.900000e-02,7.117249e+01,5.767564e+06,1.001436e+00,6.639515e+00
3.000000e-01,4.000000e-02,7.130547e+01,5.886945e+06,1.020594e+00,6.781709e+00
3.000000e-01,4.100000e-02,7.144049e+01,6.006915e+06,1.039861e+00,6.924697e+00
