# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,6.766156e+01,2.431654e+06,4.716974e-01,2.703650e+00
3.000000e-01,1.100000e-02,6.778314e+01,2.526802e+06,4.866896e-01,2.814744e+00
3.000000e-01,1.200000e-02,6.790255e+01,2.622354e+06,5.017488e-01,2.926366e+00
3.000000e-01,1.300000e-02,6.801992e+01,2.718317e+06,5.168762e-01,3.038526e+00
3.000000e-01,1.400000e-02,6.813543e+01,2.814697e+06,5.320735e-01,3.151232e+00
3.000000e-01,1.500000e-02,6.824920e+01,2.911501e+06,5.473419e-01,3.264494e+00
3.000000e-01,1.600000e-02,6.836140e+01,3.008737e+06,5.626831e-01,3.378320e+00
3.000000e-01,1.700000e-02,6.847216e+01,3.106412e+06,5.780985e-01,3.492721e+00
3.000000e-01,1.800000e-02,6.858164e+01,3.204534e+06,5.935896e-01,3.607705e+00
3.000000e-01,1.900000e-02,6.868998e+01,3.303109e+06,6.091579e-01,3.723283e+00
3.000000e-01,2.000000e-02,6.879730e+01,3.402146e+06,6.248050e-01,3.839464e+00
3.000000e-01,2.100000e-02,6.890377e+01,3.501652e+06,6.405324e-01,3.956258e+00
3.000000e-01,2.200000e-02,6.900950e+01,3.601635e+06,6.563417e-01,4.073676e+00
3.000000e-01,2.300000e-02,6.911464e+01,3.702103e+06,6.722346e-01,4.191728e+00
3.000000e-01,2.400000e-02,6.921932e+01,3.803064e+06,6.882125e-01,4.310423e+00
3.000000e-01,2.500000e-02,6.932367e+01,3.904526e+06,7.042772e-01,4.429774e+00
3.000000e-01,2.600000e-02,6.942782e+01,4.006498e+06,7.204303e-01,4.549790e+00
3.000000e-01,2.700000e-02,6.953190e+01,4.108987e+06,7.366733e-01,4.670482e+00
3.000000e-01,2.800000e-02,6.963604e+01,4.212003e+06,7.530081e-01,4.791861e+00
3.000000e-01,2.900000e-02,6.974036e+01,4.315553e+06,7.694363e-01,4.913938e+00
3.000000e-01,3.000000e-02,6.984499e+01,4.419647e+06,7.859595e-01,5.036725e+00
3.000000e-01,3.100000e-02,6.995006e+01,4.524292e+06,8.025795e-01,5.160232e+00
3.000000e-01,3.200000e-02,7.005568e+01,4.629498e+06,8.192980e-01,5.284472e+00
3.000000e-01,3.300000e-02,7.016197e+01,4.735274e+06,8.361168e-01,5.409455e+00
3.000000e-01,3.400000e-02,7.026906e+01,4.841629e+06,8.530375e-01,5.535193e+00
3.000000e-01,3.500000e-02,7.037706e+01,4.948571e+06,8.700620e-01,5.661698e+00
3.000000e-01,3.600000e-02,7.048610e+01,5.056109e+06,8.871919e-01,5.788982e+00
3.000000e-01,3.700000e-02,7.059628e+01,5.164254e+06,9.044292e-01,5.917057e+00
3.000000e-01,3.800000e-02,7.070773e+01,5.273013e+06,9.217756e-01,6.045935e+00
3.000000e-01,3.900000e-02,7.082057e+01,5.382397e+06,9.392329e-01,6.175627e+00
3.000000e-01,4.000000e-02,7.093489e+01,5.492414e+06,9.568029e-01,6.306147e+00
3.000000e-01,4.100000e-02,7.105082e+01,5.603074e+06,9.744875e-01,6.437506e+00
3.000000e-01,4.200000e-02,7.116843e+01,5.714386e+06,9.922885e-01,6.569717e+00
3.000000e-01,4.300000e-02,6.983154e+01,5.842556e+06,1.010287e+00,6.721770e+00
3.000000e-01,4.400000e-02,6.808106e+01,5.977600e+06,1.028676e+00,6.881982e+00
3.000000e-01,4.500000e-02,6.640717e+01,6.114243e+06,1.047454e+00,7.044175e+00
3.000000e-01,4.600000e-02,6.480495e+01,6.252490e+06,1.066616e+00,7.208360e+00
3.000000e-01,4.700000e-02,6.326988e+01,6.392348e+06,1.086155e+00,7.374545e+00
3.000000e-01,4.800000e-02,6.179782e+01,6.533825e+06,1.106066e+00,7.542744e+00
3.000000e-01,4.900000e-02,6.038497e+01,6.676931e+06,1.126345e+00,7.712971e+00
3.000000e-01,5.000000e-02,5.902784e+01,6.821677e+06,1.146987e+00,7.885242e+00
3.200000e-01,1.000000e-02,7.005784e+01,2.489168e+06,4.542622e-01,2.597229e+00
3.200000e-01,1.100000e-02,7.018117e+01,2.586331e+06,4.686143e-01,2.703587e+00
3.200000e-01,1.200000e-02,7.030178e+01,2.683936e+06,4.830342e-01,2.810484e+00
3.200000e-01,1.300000e-02,7.041987e+01,2.781990e+06,4.975231e-01,2.917928e+00
3.200000e-01,1.400000e-02,7.053561e+01,2.880501e+06,5.120824e-01,3.025927e+00
3.200000e-01,1.500000e-02,7.064918e+01,2.979475e+06,5.267137e-01,3.134492e+00
3.200000e-01,1.600000e-02,7.076076e+01,3.078920e+06,5.414183e-01,3.243629e+00
3.200000e-01,1.700000e-02,7.087052e+01,3.178843e+06,5.561978e-01,3.353349e+00
3.200000e-01,1.800000e-02,7.097864e+01,3.279252e+06,5.710535e-01,3.463661e+00
3.200000e-01,1.900000e-02,7.108529e+01,3.380154e+06,5.859871e-01,3.574573e+00
3.200000e-01,2.000000e-02,7.119064e+01,3.481557e+06,6.010000e-01,3.686096e+00
3.200000e-01,2.100000e-02,7.129486e+01,3.583469e+06,6.160938e-01,3.798238e+00
3.200000e-01,2.200000e-02,7.139810e+01,3.685899e+06,6.312700e-01,3.911011e+00
3.200000e-01,2.300000e-02,7.150053e+01,3.788853e+06,6.465303e-01,4.024423e+00
3.200000e-01,2.400000e-02,7.160232e+01,3.892341e+06,6.618761e-01,4.138484e+00
3.200000e-01,2.500000e-02,7.170362e+01,3.996371e+06,6.773091e-01,4.253206e+00
3.200000e-01,2.600000e-02,7.180459e+01,4.100951e+06,6.928309e-01,4.368598e+00
3.200000e-01,2.700000e-02,7.190537e+01,4.206091e+06,7.084432e-01,4.484670e+00
3.200000e-01,2.800000e-02,7.200614e+01,4.311798e+06,7.241476e-01,4.601434e+00
