# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,8.375659e+01,2.200251e+06,4.630278e-01,2.453524e+00
3.000000e-01,1.206897e-02,8.475453e+01,2.433953e+06,5.019947e-01,2.732336e+00
3.000000e-01,1.413793e-02,8.572561e+01,2.669442e+06,5.413574e-01,3.014399e+00
3.000000e-01,1.620690e-02,8.667385e+01,2.906646e+06,5.811131e-01,3.299645e+00
3.000000e-01,1.827586e-02,8.760308e+01,3.145492e+06,6.212595e-01,3.588010e+00
3.000000e-01,2.034483e-02,8.851693e+01,3.385912e+06,6.617942e-01,3.879431e+00
3.000000e-01,2.241379e-02,8.941878e+01,3.627843e+06,7.027151e-01,4.173852e+00
3.000000e-01,2.448276e-02,9.031181e+01,3.871224e+06,7.440203e-01,4.471220e+00
3.000000e-01,2.655172e-02,9.119895e+01,4.115998e+06,7.857081e-01,4.771485e+00
3.000000e-01,2.862069e-02,9.208289e+01,4.362114e+06,8.277771e-01,5.074603e+00
3.000000e-01,3.068966e-02,9.296612e+01,4.609522e+06,8.702261e-01,5.380534e+00
3.000000e-01,3.275862e-02,9.385077e+01,4.858181e+06,9.130542e-01,5.689243e+00
3.000000e-01,3.482759e-02,8.767523e+01,5.188968e+06,9.573361e-01,6.097907e+00
3.000000e-01,3.689655e-02,8.206122e+01,5.528232e+06,1.004105e+00,6.518512e+00
3.000000e-01,3.896552e-02,7.704493e+01,5.874513e+06,1.053206e+00,6.949376e+00
3.000000e-01,4.103448e-02,7.253532e+01,6.227970e+06,1.104523e+00,7.390754e+00
3.000000e-01,4.310345e-02,6.845891e+01,6.588789e+06,1.157978e+00,7.842943e+00
3.000000e-01,4.517241e-02,6.475577e+01,6.957190e+06,1.213518e+00,8.306276e+00
3.000000e-01,4.724138e-02,6.137649e+01,7.333417e+06,1.271113e+00,8.781124e+00
3.000000e-01,4.931034e-02,5.827999e+01,7.717743e+06,1.330749e+00,9.267894e+00
3.000000e-01,5.137931e-02,5.689296e+01,8.000000e+06,1.377022e+00,9.632316e+00
3.000000e-01,5.344828e-02,nan,nan,nan,nan
3.000000e-01,5.551724e-02,nan,nan,nan,nan
3.000000e-01,5.758621e-02,nan,nan,nan,nan
3.000000e-01,5.965517e-02,nan,nan,nan,nan
3.000000e-01,6.172414e-02,nan,nan,nan,nan
3.000000e-01,6.379310e-02,nan,nan,nan,nan
3.000000e-01,6.586207e-02,nan,nan,nan,nan
3.000000e-01,6.793103e-02,nan,nan,nan,nan
3.000000e-01,7.000000e-02,nan,nan,nan,nan
3.137931e-01,1.000000e-02,8.574637e+01,2.236993e+06,4.512432e-01,2.386740e+00
3.137931e-01,1.206897e-02,8.676744e+01,2.474297e+06,4.890875e-01,2.657417e+00
3.137931e-01,1.413793e-02,8.775856e+01,2.713521e+06,5.273273e-01,2.931366e+00
3.137931e-01,1.620690e-02,8.872425e+01,2.954579e+06,5.659594e-01,3.208512e+00
3.137931e-01,1.827586e-02,8.966887e+01,3.197389e+06,6.049806e-01,3.488780e+00
3.137931e-01,2.034483e-02,9.059649e+01,3.441872e+06,6.443880e-01,3.772102e+00
3.137931e-01,2.241379e-02,9.151094e+01,3.687954e+06,6.841788e-01,4.058412e+00
3.137931e-01,2.448276e-02,9.241578e+01,3.935566e+06,7.243507e-01,4.347650e+00
3.137931e-01,2.655172e-02,9.331428e+01,4.184643e+06,7.649014e-01,4.639761e+00
3.137931e-01,2.862069e-02,9.420945e+01,4.435126e+06,8.058290e-01,4.934693e+00
3.137931e-01,3.068966e-02,9.510403e+01,4.686959e+06,8.471317e-01,5.232402e+00
3.137931e-01,3.275862e-02,9.600050e+01,4.940092e+06,8.888082e-01,5.532846e+00
3.137931e-01,3.482759e-02,9.034841e+01,5.268941e+06,9.317188e-01,5.921507e+00
3.137931e-01,3.689655e-02,8.456145e+01,5.613893e+06,9.770579e-01,6.330353e+00
3.137931e-01,3.896552e-02,7.939034e+01,5.966048e+06,1.024686e+00,6.749249e+00
3.137931e-01,4.103448e-02,7.474127e+01,6.325575e+06,1.074491e+00,7.178454e+00
