# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
2.931500e+02,1.000000e-02,8.296631e+04,2.035940e+03,7.993147e+05,1.326983e-09,9.265396e-01,1.004995e+03,1.060174e-03
2.931500e+02,2.041667e-02,8.221730e+04,2.024255e+03,1.633568e+06,1.320547e-09,9.274674e-01,1.012479e+03,1.071292e-03
2.931500e+02,3.083333e-02,8.142621e+04,2.012399e+03,2.472499e+06,1.317361e-09,9.295266e-01,1.019836e+03,1.085203e-03
2.931500e+02,4.125000e-02,8.059470e+04,2.000347e+03,3.318987e+06,1.316981e-09,9.326694e-01,1.027071e+03,1.101368e-03
2.931500e+02,5.166667e-02,7.972495e+04,1.988080e+03,4.175740e+06,1.319000e-09,9.368482e-01,1.034188e+03,1.119357e-03
2.931500e+02,6.208333e-02,7.881951e+04,1.975579e+03,5.045297e+06,1.323055e-09,9.420151e-01,1.041192e+03,1.138830e-03
2.931500e+02,7.250000e-02,7.788128e+04,1.962826e+03,5.930021e+06,1.328814e-09,9.481225e-01,1.048087e+03,1.159522e-03
2.931500e+02,8.291667e-02,7.691336e+04,1.949807e+03,6.832108e+06,1.335979e-09,9.551225e-01,1.054877e+03,1.181238e-03
2.931500e+02,9.333333e-02,7.591900e+04,1.936510e+03,7.753580e+06,1.344279e-09,9.629676e-01,1.061566e+03,1.203837e-03
2.931500e+02,1.037500e-01,7.490158e+04,1.922922e+03,8.696286e+06,1.353472e-09,9.716098e-01,1.068156e+03,1.227225e-03
2.931500e+02,1.141667e-01,7.386451e+04,1.909034e+03,9.661906e+06,1.363337e-09,9.810015e-01,1.074652e+03,1.251346e-03
2.931500e+02,1.245833e-01,7.281122e+04,1.894838e+03,1.065195e+07,1.373678e-09,9.910950e-01,1.081057e+03,1.276180e-03
2.931500e+02,1.350000e-01,7.174514e+04,1.880327e+03,1.166775e+07,1.384316e-09,1.001842e+00,1.087374e+03,1.301730e-03
2.931500e+02,1.454167e-01,7.066963e+04,1.865496e+03,1.271047e+07,1.395092e-09,1.013196e+00,1.093605e+03,1.328025e-03
2.931500e+02,1.558333e-01,6.958798e+04,1.850339e+03,1.378110e+07,1.405863e-09,1.025108e+00,1.099753e+03,1.355109e-03
2.931500e+02,1.662500e-01,6.850342e+04,1.834854e+03,1.488047e+07,1.416501e-09,1.037531e+00,1.105821e+03,1.383041e-03
2.931500e+02,1.766667e-01,6.741904e+04,1.819039e+03,1.600923e+07,1.426892e-09,1.050417e+00,1.111812e+03,1.411891e-03
2.931500e+02,1.870833e-01,6.633786e+04,1.802891e+03,1.716784e+07,1.436933e-09,1.063719e+00,1.117728e+03,1.441739e-03
2.931500e+02,1.975000e-01,6.526275e+04,1.786411e+03,1.835663e+07,1.446535e-09,1.077388e+00,1.123570e+03,1.472668e-03
