# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
2.931500e+02,1.000000e-02,8.264168e+04,2.327338e+03,7.227182e+05,1.492524e-09,9.003626e-01,1.005897e+03,1.022010e-03
2.931500e+02,2.041667e-02,8.125226e+04,2.314674e+03,1.477347e+06,1.480427e-09,9.014596e-01,1.013937e+03,1.044109e-03
2.931500e+02,3.083333e-02,7.987275e+04,2.301344e+03,2.237974e+06,1.473451e-09,9.042385e-01,1.021808e+03,1.067159e-03
2.931500e+02,4.125000e-02,7.849173e+04,2.287413e+03,3.008470e+06,1.470623e-09,9.085947e-01,1.029517e+03,1.091087e-03
2.931500e+02,5.166667e-02,7.710264e+04,2.272943e+03,3.792385e+06,1.471106e-09,9.144299e-01,1.037067e+03,1.115824e-03
2.931500e+02,6.208333e-02,7.570290e+04,2.257990e+03,4.592969e+06,1.474184e-09,9.216520e-01,1.044465e+03,1.141308e-03
2.931500e+02,7.250000e-02,7.429322e+04,2.242608e+03,5.413197e+06,1.479242e-09,9.301742e-01,1.051714e+03,1.167477e-03
2.931500e+02,8.291667e-02,7.287702e+04,2.226848e+03,6.255788e+06,1.485760e-09,9.399152e-01,1.058819e+03,1.194277e-03
2.931500e+02,9.333333e-02,7.145984e+04,2.210755e+03,7.123225e+06,1.493297e-09,9.507983e-01,1.065784e+03,1.221655e-03
2.931500e+02,1.037500e-01,7.004895e+04,2.194373e+03,8.017774e+06,1.501482e-09,9.627515e-01,1.072613e+03,1.249562e-03
2.931500e+02,1.141667e-01,6.865294e+04,2.177742e+03,8.941499e+06,1.510008e-09,9.757071e-01,1.079310e+03,1.277952e-03
2.931500e+02,1.245833e-01,6.728140e+04,2.160899e+03,9.896275e+06,1.518617e-09,9.896013e-01,1.085879e+03,1.306783e-03
2.931500e+02,1.350000e-01,6.594464e+04,2.143880e+03,1.088381e+07,1.527102e-09,1.004374e+00,1.092324e+03,1.336014e-03
2.931500e+02,1.454167e-01,6.465346e+04,2.126715e+03,1.190564e+07,1.535295e-09,1.019969e+00,1.098648e+03,1.365608e-03
2.931500e+02,1.558333e-01,6.341894e+04,2.109435e+03,1.296316e+07,1.543063e-09,1.036332e+00,1.104855e+03,1.395530e-03
2.931500e+02,1.662500e-01,6.225230e+04,2.092067e+03,1.405764e+07,1.550304e-09,1.053414e+00,1.110947e+03,1.425745e-03
2.931500e+02,1.766667e-01,6.116472e+04,2.074637e+03,1.519020e+07,1.556942e-09,1.071167e+00,1.116928e+03,1.456224e-03
2.931500e+02,1.870833e-01,6.016729e+04,2.057167e+03,1.636186e+07,1.562925e-09,1.089547e+00,1.122800e+03,1.486937e-03
2.931500e+02,1.975000e-01,5.927083e+04,2.039679e+03,1.757352e+07,1.568220e-09,1.108511e+00,1.128568e+03,1.517857e-03
2.931500e+02,2.079167e-01,5.848591e+04,2.022194e+03,1.882599e+07,1.572809e-09,1.128020e+00,1.134233e+03,1.548959e-03
2.931500e+02,2.183333e-01,5.782271e+04,2.004728e+03,2.011997e+07,1.576690e-09,1.148036e+00,1.139798e+03,1.580218e-03
2.931500e+02,2.287500e-01,5.729100e+04,1.987299e+03,2.145609e+07,1.579873e-09,1.168525e+00,1.145267e+03,1.611613e-03
2.931500e+02,2.391667e-01,5.690012e+04,1.969921e+03,2.283489e+07,1.582378e-09,1.189451e+00,1.150640e+03,1.643122e-03
2.931500e+02,2.495833e-01,5.665894e+04,1.952610e+03,2.425684e+07,1.584233e-09,1.210785e+00,1.155922e+03,1.674725e-03
2.931500e+02,2.600000e-01,5.657583e+04,1.935376e+03,2.572234e+07,1.585472e-09,1.232496e+00,1.161113e+03,1.706404e-03
2.985667e+02,1.000000e-02,1.048738e+05,3.232869e+03,7.360330e+05,1.492524e-09,9.014232e-01,1.004598e+03,9.003274e-04
2.985667e+02,2.041667e-02,1.030664e+05,3.215278e+03,1.504550e+06,1.480427e-09,9.025124e-01,1.012565e+03,9.204779e-04
2.985667e+02,3.083333e-02,1.012980e+05,3.196762e+03,2.279281e+06,1.473451e-09,9.053342e-01,1.020365e+03,9.413959e-04
2.985667e+02,4.125000e-02,9.955479e+04,3.177410e+03,3.064286e+06,1.470623e-09,9.097808e-01,1.028004e+03,9.630209e-04
2.985667e+02,5.166667e-02,9.782790e+04,3.157309e+03,3.863282e+06,1.471106e-09,9.157510e-01,1.035486e+03,9.852965e-04
2.985667e+02,6.208333e-02,9.611267e+04,3.136538e+03,4.679676e+06,1.474184e-09,9.231500e-01,1.042816e+03,1.008170e-03
2.985667e+02,7.250000e-02,9.440790e+04,3.115172e+03,5.516586e+06,1.479242e-09,9.318883e-01,1.049999e+03,1.031592e-03
2.985667e+02,8.291667e-02,9.271523e+04,3.093279e+03,6.376861e+06,1.485760e-09,9.418822e-01,1.057040e+03,1.055517e-03
2.985667e+02,9.333333e-02,9.103861e+04,3.070925e+03,7.263104e+06,1.493297e-09,9.530528e-01,1.063941e+03,1.079901e-03
2.985667e+02,1.037500e-01,8.938381e+04,3.048169e+03,8.177689e+06,1.501482e-09,9.653259e-01,1.070709e+03,1.104704e-03
2.985667e+02,1.141667e-01,8.775806e+04,3.025067e+03,9.122779e+06,1.510008e-09,9.786318e-01,1.077345e+03,1.129888e-03
2.985667e+02,1.245833e-01,8.616969e+04,3.001672e+03,1.010034e+07,1.518617e-09,9.929046e-01,1.083855e+03,1.155418e-03
2.985667e+02,1.350000e-01,8.462786e+04,2.978030e+03,1.111216e+07,1.527102e-09,1.008083e+00,1.090241e+03,1.181260e-03
2.985667e+02,1.454167e-01,8.314230e+04,2.954187e+03,1.215985e+07,1.535295e-09,1.024108e+00,1.096508e+03,1.207384e-03
2.985667e+02,1.558333e-01,8.172312e+04,2.930184e+03,1.324489e+07,1.543063e-09,1.040925e+00,1.102658e+03,1.233761e-03
2.985667e+02,1.662500e-01,8.038063e+04,2.906058e+03,1.436858e+07,1.550304e-09,1.058482e+00,1.108695e+03,1.260364e-03
2.985667e+02,1.766667e-01,7.912520e+04,2.881846e+03,1.553211e+07,1.556942e-09,1.076731e+00,1.114622e+03,1.287167e-03
2.985667e+02,1.870833e-01,7.796715e+04,2.857579e+03,1.673655e+07,1.562925e-09,1.095626e+00,1.120441e+03,1.314145e-03
2.985667e+02,1.975000e-01,7.691662e+04,2.833287e+03,1.798285e+07,1.568220e-09,1.115123e+00,1.126156e+03,1.341278e-03
2.985667e+02,2.079167e-01,7.598351e+04,2.808998e+03,1.927184e+07,1.572809e-09,1.135182e+00,1.131770e+03,1.368543e-03
2.985667e+02,2.183333e-01,7.517741e+04,2.784736e+03,2.060428e+07,1.576690e-09,1.155763e+00,1.137285e+03,1.395922e-03
2.985667e+02,2.287500e-01,7.450758e+04,2.760526e+03,2.198081e+07,1.579873e-09,1.176831e+00,1.142703e+03,1.423396e-03
2.985667e+02,2.391667e-01,7.398283e+04,2.736387e+03,2.340200e+07,1.582378e-09,1.198351e+00,1.148028e+03,1.450947e-03
2.985667e+02,2.495833e-01,7.361158e+04,2.712340e+03,2.486836e+07,1.584233e-09,1.220290e+00,1.153262e+03,1.478560e-03
2.985667e+02,2.600000e-01,7.340179e+04,2.688401e+03,2.638029e+07,1.585472e-09,1.242618e+00,1.158406e+03,1.506220e-03
3.039833e+02,1.000000e-02,1.270852e+05,4.431591e+03,7.489170e+05,1.492524e-09,9.022151e-01,1.003037e+03,8.004790e-04
3.039833e+02,2.041667e-02,1.248523e+05,4.407477e+03,1.530861e+06,1.480427e-09,9.032904e-01,1.010940e+03,8.189629e-04
3.039833e+02,3.083333e-02,1.226876e+05,4.382095e+03,2.319221e+06,1.473451e-09,9.061455e-01,1.018677e+03,8.380722e-04
3.039833e+02,4.125000e-02,1.205748e+05,4.355568e+03,3.118233e+06,1.470623e-09,9.106698e-01,1.026254e+03,8.577565e-04
3.039833e+02,5.166667e-02,1.185027e+05,4.328014e+03,3.931782e+06,1.471106e-09,9.167593e-01,1.033676e+03,8.779686e-04
3.039833e+02,6.208333e-02,1.164647e+05,4.299541e+03,4.763425e+06,1.474184e-09,9.243165e-01,1.040948e+03,8.986643e-04
3.039833e+02,7.250000e-02,1.144575e+05,4.270253e+03,5.616419e+06,1.479242e-09,9.332498e-01,1.048073e+03,9.198025e-04
3.039833e+02,8.291667e-02,1.124811e+05,4.240242e+03,6.493740e+06,1.485760e-09,9.434729e-01,1.055057e+03,9.413446e-04
3.039833e+02,9.333333e-02,1.105379e+05,4.209599e+03,7.398106e+06,1.493297e-09,9.549050e-01,1.061903e+03,9.632545e-04
3.039833e+02,1.037500e-01,1.086320e+05,4.178405e+03,8.331998e+06,1.501482e-09,9.674698e-01,1.068616e+03,9.854987e-04
3.039833e+02,1.141667e-01,1.067694e+05,4.146738e+03,9.297674e+06,1.510008e-09,9.810956e-01,1.075199e+03,1.008046e-03
3.039833e+02,1.245833e-01,1.049572e+05,4.114667e+03,1.029719e+07,1.518617e-09,9.957151e-01,1.081656e+03,1.030866e-03
3.039833e+02,1.350000e-01,1.032033e+05,4.082259e+03,1.133241e+07,1.527102e-09,1.011265e+00,1.087991e+03,1.053931e-03
3.039833e+02,1.454167e-01,1.015164e+05,4.049575e+03,1.240502e+07,1.535295e-09,1.027684e+00,1.094207e+03,1.077217e-03
3.039833e+02,1.558333e-01,9.990571e+04,4.016672e+03,1.351656e+07,1.543063e-09,1.044918e+00,1.100308e+03,1.100698e-03
3.039833e+02,1.662500e-01,9.838055e+04,3.983601e+03,1.466840e+07,1.550304e-09,1.062912e+00,1.106296e+03,1.124352e-03
3.039833e+02,1.766667e-01,9.695050e+04,3.950411e+03,1.586178e+07,1.556942e-09,1.081618e+00,1.112175e+03,1.148159e-03
3.039833e+02,1.870833e-01,9.562511e+04,3.917146e+03,1.709781e+07,1.562925e-09,1.100986e+00,1.117948e+03,1.172097e-03
3.039833e+02,1.975000e-01,9.441384e+04,3.883847e+03,1.837749e+07,1.568220e-09,1.120974e+00,1.123617e+03,1.196149e-03
3.039833e+02,2.079167e-01,9.332593e+04,3.850551e+03,1.970169e+07,1.572809e-09,1.141538e+00,1.129186e+03,1.220297e-03
