# Water Recovery,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
3.000000e-01,4.565065e+00,2.100177e+01,5.613933e+02,3.081649e+02,5.137770e+03,1.583347e+00
3.166667e-01,4.557994e+00,2.096900e+01,5.898712e+02,3.095415e+02,5.543319e+03,1.580854e+00
3.333333e-01,4.551797e+00,2.095546e+01,6.182941e+02,3.109053e+02,5.964735e+03,1.579077e+00
3.500000e-01,4.546650e+00,2.096024e+01,6.465872e+02,3.122724e+02,6.407560e+03,1.577966e+00
3.666667e-01,4.542680e+00,2.098302e+01,6.746621e+02,3.136627e+02,6.879729e+03,1.577489e+00
3.833333e-01,4.539981e+00,2.102405e+01,7.024017e+02,3.151032e+02,7.393553e+03,1.577630e+00
4.000000e-01,4.570799e+00,2.178939e+01,6.135981e+02,3.481500e+02,3.370202e+04,1.592844e+00
4.166667e-01,4.549966e+00,2.176701e+01,6.442532e+02,3.481500e+02,3.351407e+04,1.592222e+00
4.333333e-01,4.533900e+00,2.177386e+01,6.746984e+02,3.481500e+02,3.331147e+04,1.592613e+00
4.500000e-01,4.522264e+00,2.180939e+01,7.049189e+02,3.481500e+02,3.309252e+04,1.594001e+00
4.666667e-01,4.514834e+00,2.187377e+01,7.348952e+02,3.481500e+02,3.285525e+04,1.596396e+00
4.833333e-01,4.511490e+00,2.196793e+01,7.646018e+02,3.481500e+02,3.259737e+04,1.599837e+00
5.000000e-01,4.512213e+00,2.209359e+01,7.940049e+02,3.481500e+02,3.231621e+04,1.604395e+00
5.166667e-01,4.517087e+00,2.225338e+01,8.230594e+02,3.481500e+02,3.200867e+04,1.610175e+00
5.333333e-01,4.526313e+00,2.245099e+01,8.517050e+02,3.481500e+02,3.167105e+04,1.617324e+00
5.500000e-01,4.540216e+00,2.269138e+01,8.798611e+02,3.481500e+02,3.129901e+04,1.626044e+00
5.666667e-01,4.559276e+00,2.298115e+01,9.074191e+02,3.481500e+02,3.088736e+04,1.636604e+00
5.833333e-01,4.584164e+00,2.332894e+01,9.342325e+02,3.481500e+02,3.042989e+04,1.649364e+00
6.000000e-01,4.615792e+00,2.374614e+01,9.601020e+02,3.481500e+02,2.991912e+04,1.664809e+00
6.166667e-01,4.655391e+00,2.424776e+01,9.847548e+02,3.481500e+02,2.934593e+04,1.683591e+00
6.333333e-01,4.704623e+00,2.485375e+01,1.007814e+03,3.481500e+02,2.869919e+04,1.706610e+00
6.500000e-01,4.765744e+00,2.559088e+01,1.028756e+03,3.481500e+02,2.796517e+04,1.735121e+00
6.666667e-01,4.841845e+00,2.649547e+01,1.046842e+03,3.481500e+02,2.712681e+04,1.770915e+00
6.833333e-01,4.937212e+00,2.761735e+01,1.061024e+03,3.481500e+02,2.616272e+04,1.816611e+00
7.000000e-01,5.057868e+00,2.902574e+01,1.069789e+03,3.481500e+02,2.504589e+04,1.876163e+00
