# Water Recovery,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
3.000000e-01,2.640070e+00,7.726992e+00,3.970136e+02,2.981517e+02,2.127334e+04,1.190094e+00
3.166667e-01,2.639346e+00,7.725265e+00,4.191988e+02,2.981517e+02,2.124368e+04,1.190177e+00
3.333333e-01,2.638781e+00,7.724028e+00,4.414104e+02,2.981517e+02,2.121237e+04,1.190261e+00
3.500000e-01,2.638362e+00,7.723236e+00,4.636506e+02,2.981517e+02,2.117925e+04,1.190345e+00
3.666667e-01,2.638075e+00,7.722860e+00,4.859222e+02,2.981517e+02,2.114419e+04,1.190431e+00
3.833333e-01,2.637914e+00,7.722876e+00,5.082280e+02,2.981517e+02,2.110698e+04,1.190519e+00
4.000000e-01,2.637871e+00,7.723271e+00,5.305715e+02,2.981517e+02,2.106744e+04,1.190610e+00
4.166667e-01,2.637942e+00,7.724037e+00,5.529564e+02,2.981517e+02,2.102534e+04,1.190705e+00
4.333333e-01,2.638127e+00,7.725173e+00,5.753871e+02,2.981517e+02,2.098041e+04,1.190803e+00
4.500000e-01,2.638424e+00,7.726685e+00,5.978684e+02,2.981517e+02,2.093237e+04,1.190907e+00
4.666667e-01,2.638835e+00,7.728583e+00,6.204062e+02,2.981517e+02,2.088088e+04,1.191016e+00
4.833333e-01,nan,nan,nan,nan,nan,nan
5.000000e-01,nan,nan,nan,nan,nan,nan
5.166667e-01,2.640806e+00,7.736815e+00,6.884292e+02,2.981517e+02,2.070155e+04,1.191390e+00
5.333333e-01,2.641735e+00,7.740516e+00,7.112701e+02,2.981517e+02,2.063175e+04,1.191533e+00
5.500000e-01,nan,nan,nan,nan,nan,nan
5.666667e-01,2.644076e+00,7.749659e+00,7.572741e+02,2.981517e+02,2.047297e+04,1.191859e+00
5.833333e-01,2.645527e+00,7.755250e+00,7.804698e+02,2.981517e+02,2.038216e+04,1.192046e+00
6.000000e-01,2.647197e+00,7.761652e+00,8.038223e+02,2.981517e+02,2.028220e+04,1.192253e+00
6.166667e-01,2.649121e+00,7.768994e+00,8.273581e+02,2.981517e+02,2.017164e+04,1.192482e+00
6.333333e-01,2.651340e+00,7.777442e+00,8.511100e+02,2.981517e+02,2.004868e+04,1.192740e+00
6.500000e-01,2.653907e+00,7.787207e+00,8.751193e+02,2.981517e+02,1.991113e+04,1.193031e+00
6.666667e-01,2.656891e+00,7.798563e+00,8.994384e+02,2.981517e+02,1.975623e+04,1.193364e+00
6.833333e-01,nan,nan,nan,nan,nan,nan
7.000000e-01,2.664503e+00,7.827615e+00,9.492982e+02,2.981517e+02,1.937931e+04,1.194195e+00
