# Water Recovery,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,8.475737e+01,4.934777e+06,8.932860e-01,5.655892e+00
3.166667e-01,8.781769e+01,5.028851e+06,8.649768e-01,5.462501e+00
3.333333e-01,9.067697e+01,5.127895e+06,8.398915e-01,5.293683e+00
3.500000e-01,9.333095e+01,5.232347e+06,8.176218e-01,5.146367e+00
3.666667e-01,9.577535e+01,5.342698e+06,7.978403e-01,5.018091e+00
3.833333e-01,9.800583e+01,5.459497e+06,7.802836e-01,4.906875e+00
4.000000e-01,1.000180e+02,5.583360e+06,7.647401e-01,4.811127e+00
4.166667e-01,1.018075e+02,5.714984e+06,7.510406e-01,4.729576e+00
4.333333e-01,1.033698e+02,5.855152e+06,7.390517e-01,4.661220e+00
4.500000e-01,1.047005e+02,6.004756e+06,7.286708e-01,4.605290e+00
4.666667e-01,1.057949e+02,6.164812e+06,7.198222e-01,4.561216e+00
4.833333e-01,1.066486e+02,6.336480e+06,7.124547e-01,4.528616e+00
5.000000e-01,1.072570e+02,6.521096e+06,7.065400e-01,4.507279e+00
5.166667e-01,1.076154e+02,6.720200e+06,7.020724e-01,4.497164e+00
5.333333e-01,1.077192e+02,6.935582e+06,6.990682e-01,4.498394e+00
5.500000e-01,1.075637e+02,7.169333e+06,6.975675e-01,4.511275e+00
5.666667e-01,1.071444e+02,7.423911e+06,6.976359e-01,4.536300e+00
5.833333e-01,1.064565e+02,7.702227e+06,6.993676e-01,4.574180e+00
6.000000e-01,1.055177e+02,8.000000e+06,7.023061e-01,4.621340e+00
6.166667e-01,nan,nan,nan,nan
6.333333e-01,nan,nan,nan,nan
6.500000e-01,nan,nan,nan,nan
6.666667e-01,nan,nan,nan,nan
6.833333e-01,nan,nan,nan,nan
7.000000e-01,nan,nan,nan,nan
