# Water Recovery,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,8.445750e+01,4.583137e+06,8.368819e-01,5.234746e+00
3.166667e-01,8.751665e+01,4.670300e+06,8.104999e-01,5.055681e+00
3.333333e-01,9.037660e+01,4.762060e+06,7.870983e-01,4.899355e+00
3.500000e-01,9.303300e+01,4.858832e+06,7.663003e-01,4.762935e+00
3.666667e-01,9.548146e+01,4.961082e+06,7.478039e-01,4.644151e+00
3.833333e-01,9.771752e+01,5.069331e+06,7.313665e-01,4.541181e+00
4.000000e-01,9.973664e+01,5.184167e+06,7.167935e-01,4.452561e+00
4.166667e-01,1.015342e+02,5.306255e+06,7.039297e-01,4.377129e+00
4.333333e-01,1.031055e+02,5.436346e+06,6.926534e-01,4.313971e+00
4.500000e-01,1.044459e+02,5.575298e+06,6.828716e-01,4.262392e+00
4.666667e-01,1.055504e+02,5.724089e+06,6.745166e-01,4.221884e+00
4.833333e-01,1.064142e+02,5.883844e+06,6.675440e-01,4.192119e+00
5.000000e-01,1.070324e+02,6.055858e+06,6.619312e-01,4.172928e+00
5.166667e-01,1.073999e+02,6.241633e+06,6.576772e-01,4.164309e+00
5.333333e-01,1.075116e+02,6.442922e+06,6.548028e-01,4.166421e+00
5.500000e-01,1.073625e+02,6.661780e+06,6.533518e-01,4.179598e+00
5.666667e-01,1.069473e+02,6.900633e+06,6.533936e-01,4.204364e+00
5.833333e-01,1.062610e+02,7.162370e+06,6.550262e-01,4.241460e+00
6.000000e-01,1.052983e+02,7.450454e+06,6.583814e-01,4.291883e+00
6.166667e-01,1.040539e+02,7.769074e+06,6.636316e-01,4.356930e+00
6.333333e-01,nan,nan,nan,nan
6.500000e-01,nan,nan,nan,nan
6.666667e-01,nan,nan,nan,nan
6.833333e-01,nan,nan,nan,nan
7.000000e-01,nan,nan,nan,nan
