# Water Recovery,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,8.718196e+01,5.216975e+06,9.611410e-01,6.132571e+00
3.166667e-01,9.037656e+01,5.314588e+06,9.303624e-01,5.920663e+00
3.333333e-01,9.337078e+01,5.417170e+06,9.030714e-01,5.735305e+00
3.500000e-01,9.616060e+01,5.525139e+06,8.788212e-01,5.573137e+00
3.666667e-01,9.874197e+01,5.638962e+06,8.572524e-01,5.431453e+00
3.833333e-01,1.011108e+02,5.759156e+06,8.380745e-01,5.308067e+00
4.000000e-01,1.032631e+02,5.886301e+06,8.210527e-01,5.201212e+00
4.166667e-01,1.051948e+02,6.021044e+06,8.059976e-01,5.109464e+00
4.333333e-01,1.069016e+02,6.164113e+06,7.927576e-01,5.031683e+00
4.500000e-01,1.083796e+02,6.316326e+06,7.812135e-01,4.966972e+00
4.666667e-01,1.096246e+02,6.478607e+06,7.712737e-01,4.914641e+00
4.833333e-01,1.106325e+02,6.652004e+06,7.628716e-01,4.874191e+00
5.000000e-01,1.113991e+02,6.837710e+06,7.559632e-01,4.845291e+00
5.166667e-01,1.119204e+02,7.037087e+06,7.505261e-01,4.827772e+00
5.333333e-01,1.121921e+02,7.251702e+06,7.465587e-01,4.821622e+00
5.500000e-01,1.122104e+02,7.483359e+06,7.440805e-01,4.826989e+00
5.666667e-01,1.119709e+02,7.734152e+06,7.431331e-01,4.844186e+00
5.833333e-01,nan,nan,nan,nan
6.000000e-01,nan,nan,nan,nan
6.166667e-01,nan,nan,nan,nan
6.333333e-01,nan,nan,nan,nan
6.500000e-01,nan,nan,nan,nan
6.666667e-01,nan,nan,nan,nan
6.833333e-01,nan,nan,nan,nan
7.000000e-01,nan,nan,nan,nan
