# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
4.000000e-01,3.500000e-02,4.372499e+00,1.940843e+01,6.833013e+02,3.130295e+02,7.249366e+03,1.525791e+00
4.000000e-01,4.777778e-02,4.396256e+00,1.964358e+01,6.920869e+02,3.136890e+02,7.398710e+03,1.532925e+00
4.000000e-01,6.055556e-02,4.423454e+00,1.991484e+01,7.011058e+02,3.143713e+02,7.546286e+03,1.541270e+00
4.000000e-01,7.333333e-02,4.454912e+00,2.023106e+01,7.103001e+02,3.150779e+02,7.690322e+03,1.551138e+00
4.000000e-01,8.611111e-02,4.491577e+00,2.060274e+01,7.195836e+02,3.158099e+02,7.828646e+03,1.562906e+00
4.000000e-01,9.888889e-02,4.567519e+00,2.175005e+01,6.126218e+02,3.481500e+02,3.377424e+04,1.591464e+00
4.000000e-01,1.116667e-01,4.608900e+00,2.224223e+01,6.237430e+02,3.481500e+02,3.291369e+04,1.608824e+00
4.000000e-01,1.244444e-01,4.659220e+00,2.283265e+01,6.344562e+02,3.481500e+02,3.198559e+04,1.629923e+00
4.000000e-01,1.372222e-01,4.720080e+00,2.354077e+01,6.444416e+02,3.481500e+02,3.098789e+04,1.655639e+00
4.000000e-01,1.500000e-01,4.793300e+00,2.438862e+01,6.533169e+02,3.481500e+02,2.991912e+04,1.687052e+00
4.444444e-01,3.500000e-02,4.365844e+00,1.989312e+01,6.342553e+02,3.481500e+02,3.705538e+04,1.528147e+00
4.444444e-01,4.777778e-02,4.385462e+00,2.014355e+01,6.459136e+02,3.481500e+02,3.642189e+04,1.536598e+00
4.444444e-01,6.055556e-02,4.409836e+00,2.044234e+01,6.578037e+02,3.481500e+02,3.573023e+04,1.546733e+00
4.444444e-01,7.333333e-02,4.439833e+00,2.079958e+01,6.698642e+02,3.481500e+02,3.497430e+04,1.558932e+00
4.444444e-01,8.611111e-02,4.476554e+00,2.122832e+01,6.819557e+02,3.481500e+02,3.414881e+04,1.573701e+00
4.444444e-01,9.888889e-02,4.521340e+00,2.174471e+01,6.938553e+02,3.481500e+02,3.324928e+04,1.591686e+00
4.444444e-01,1.116667e-01,4.575789e+00,2.236816e+01,7.052529e+02,3.481500e+02,3.227207e+04,1.613701e+00
4.444444e-01,1.244444e-01,4.641767e+00,2.312154e+01,7.157485e+02,3.481500e+02,3.121432e+04,1.640764e+00
4.444444e-01,1.372222e-01,4.721431e+00,2.403127e+01,7.248530e+02,3.481500e+02,3.007401e+04,1.674149e+00
4.444444e-01,1.500000e-01,4.817252e+00,2.512723e+01,7.319917e+02,3.481500e+02,2.884992e+04,1.715446e+00
4.888889e-01,3.500000e-02,4.303104e+00,1.964399e+01,7.102606e+02,3.481500e+02,3.690941e+04,1.520220e+00
4.888889e-01,4.777778e-02,4.329036e+00,1.994808e+01,7.229415e+02,3.481500e+02,3.620369e+04,1.530408e+00
4.888889e-01,6.055556e-02,4.360877e+00,2.031356e+01,7.357960e+02,3.481500e+02,3.542682e+04,1.542739e+00
4.888889e-01,7.333333e-02,4.399854e+00,2.075493e+01,7.486833e+02,3.481500e+02,3.457132e+04,1.557765e+00
4.888889e-01,8.611111e-02,4.447495e+00,2.129057e+01,7.613522e+02,3.481500e+02,3.363091e+04,1.576209e+00
4.888889e-01,9.888889e-02,4.505653e+00,2.194308e+01,7.734314e+02,3.481500e+02,3.260039e+04,1.599004e+00
4.888889e-01,1.116667e-01,4.576537e+00,2.273970e+01,7.844229e+02,3.481500e+02,3.147573e+04,1.627339e+00
4.888889e-01,1.244444e-01,4.662749e+00,2.371252e+01,7.936981e+02,3.481500e+02,3.025403e+04,1.662738e+00
4.888889e-01,1.372222e-01,4.767327e+00,2.489864e+01,8.005007e+02,3.481500e+02,2.893351e+04,1.707145e+00
4.888889e-01,1.500000e-01,4.893774e+00,2.633972e+01,8.039596e+02,3.481500e+02,2.751355e+04,1.763056e+00
5.333333e-01,3.500000e-02,4.258171e+00,1.948704e+01,7.856915e+02,3.481500e+02,3.673171e+04,1.515338e+00
5.333333e-01,4.777778e-02,4.291241e+00,1.985550e+01,7.993304e+02,3.481500e+02,3.593561e+04,1.527632e+00
5.333333e-01,6.055556e-02,4.331883e+00,2.030410e+01,8.130150e+02,3.481500e+02,3.505083e+04,1.542736e+00
5.333333e-01,7.333333e-02,4.381853e+00,2.085386e+01,8.264739e+02,3.481500e+02,3.406819e+04,1.561464e+00
5.333333e-01,8.611111e-02,4.443330e+00,2.153133e+01,8.392710e+02,3.481500e+02,3.298013e+04,1.584887e+00
5.333333e-01,9.888889e-02,4.518966e+00,2.236929e+01,8.507891e+02,3.481500e+02,3.178075e+04,1.614411e+00
5.333333e-01,1.116667e-01,4.611956e+00,2.340738e+01,8.602172e+02,3.481500e+02,3.046577e+04,1.651879e+00
5.333333e-01,1.244444e-01,4.726108e+00,2.469244e+01,8.665499e+02,3.481500e+02,2.903254e+04,1.699703e+00
5.333333e-01,1.372222e-01,4.865900e+00,2.627809e+01,8.686050e+02,3.481500e+02,2.748006e+04,1.761065e+00
5.333333e-01,1.500000e-01,5.036486e+00,2.822316e+01,8.650594e+02,3.481500e+02,2.580895e+04,1.840181e+00
5.777778e-01,3.500000e-02,4.227233e+00,1.940834e+01,8.605951e+02,3.481500e+02,3.651067e+04,1.513022e+00
5.777778e-01,4.777778e-02,4.268930e+00,1.985834e+01,8.750970e+02,3.481500e+02,3.559850e+04,1.528011e+00
5.777778e-01,6.055556e-02,4.320668e+00,2.041642e+01,8.893911e+02,3.481500e+02,3.457338e+04,1.546819e+00
5.777778e-01,7.333333e-02,4.385041e+00,2.111398e+01,9.029796e+02,3.481500e+02,3.342389e+04,1.570688e+00
5.777778e-01,8.611111e-02,4.465280e+00,2.199094e+01,9.151038e+02,3.481500e+02,3.214107e+04,1.601289e+00
5.777778e-01,9.888889e-02,4.565375e+00,2.309701e+01,9.247139e+02,3.481500e+02,3.071838e+04,1.640879e+00
5.777778e-01,1.116667e-01,4.690202e+00,2.449257e+01,9.304565e+02,3.481500e+02,2.915172e+04,1.692506e+00
5.777778e-01,1.244444e-01,4.845631e+00,2.624832e+01,9.306979e+02,3.481500e+02,2.743944e+04,1.760309e+00
5.777778e-01,1.372222e-01,5.038542e+00,2.844294e+01,9.235843e+02,3.481500e+02,2.558233e+04,1.849946e+00
5.777778e-01,1.500000e-01,5.276612e+00,3.115865e+01,9.070532e+02,3.481500e+02,2.358361e+04,1.969319e+00
6.222222e-01,3.500000e-02,4.208362e+00,1.940499e+01,9.350103e+02,3.481500e+02,3.622826e+04,1.513170e+00
6.222222e-01,4.777778e-02,4.261210e+00,1.996439e+01,9.502051e+02,3.481500e+02,3.516219e+04,1.531818e+00
6.222222e-01,6.055556e-02,4.327943e+00,2.067565e+01,9.646955e+02,3.481500e+02,3.394846e+04,1.555893e+00
6.222222e-01,7.333333e-02,4.412562e+00,2.158795e+01,9.775640e+02,3.481500e+02,3.257281e+04,1.587402e+00
6.222222e-01,8.611111e-02,4.520147e+00,2.276468e+01,9.874491e+02,3.481500e+02,3.102483e+04,1.629144e+00
6.222222e-01,9.888889e-02,4.657090e+00,2.428545e+01,9.925025e+02,3.481500e+02,2.929789e+04,1.685043e+00
6.222222e-01,1.116667e-01,4.831309e+00,2.624626e+01,9.904129e+02,3.481500e+02,2.738917e+04,1.760625e+00
6.222222e-01,1.244444e-01,5.052295e+00,2.875585e+01,9.785101e+02,3.481500e+02,2.529967e+04,1.863735e+00
6.222222e-01,1.372222e-01,5.330729e+00,3.192805e+01,9.537730e+02,3.481500e+02,2.303419e+04,2.005805e+00
