# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
4.500000e-01,3.500000e-02,4.341445e+00,1.980952e+01,6.429820e+02,3.481500e+02,3.717434e+04,1.525331e+00
4.500000e-01,3.827586e-02,4.346218e+00,1.987985e+01,6.456597e+02,3.481500e+02,3.701294e+04,1.527708e+00
4.500000e-01,4.155172e-02,4.351422e+00,1.995427e+01,6.483254e+02,3.481500e+02,3.684690e+04,1.530226e+00
4.500000e-01,4.482759e-02,4.357060e+00,2.003279e+01,6.509796e+02,3.481500e+02,3.667628e+04,1.532885e+00
4.500000e-01,4.810345e-02,4.363135e+00,2.011546e+01,6.536217e+02,3.481500e+02,3.650115e+04,1.535688e+00
4.500000e-01,5.137931e-02,4.369655e+00,2.020238e+01,6.562500e+02,3.481500e+02,3.632159e+04,1.538639e+00
4.500000e-01,5.465517e-02,4.376631e+00,2.029364e+01,6.588614e+02,3.481500e+02,3.613768e+04,1.541742e+00
4.500000e-01,5.793103e-02,4.384076e+00,2.038941e+01,6.614520e+02,3.481500e+02,3.594948e+04,1.545004e+00
4.500000e-01,6.120690e-02,4.392008e+00,2.048987e+01,6.640163e+02,3.481500e+02,3.575707e+04,1.548432e+00
4.500000e-01,6.448276e-02,4.400447e+00,2.059523e+01,6.665478e+02,3.481500e+02,3.556054e+04,1.552034e+00
4.500000e-01,6.775862e-02,4.409415e+00,2.070574e+01,6.690384e+02,3.481500e+02,3.535996e+04,1.555820e+00
4.500000e-01,7.103448e-02,4.418941e+00,2.082169e+01,6.714787e+02,3.481500e+02,3.515541e+04,1.559801e+00
4.500000e-01,7.431034e-02,4.429053e+00,2.094339e+01,6.738580e+02,3.481500e+02,3.494697e+04,1.563989e+00
4.500000e-01,7.758621e-02,4.439785e+00,2.107122e+01,6.761635e+02,3.481500e+02,3.473473e+04,1.568400e+00
4.500000e-01,8.086207e-02,4.451172e+00,2.120557e+01,6.783810e+02,3.481500e+02,3.451877e+04,1.573048e+00
4.500000e-01,8.413793e-02,4.463255e+00,2.134690e+01,6.804940e+02,3.481500e+02,3.429918e+04,1.577952e+00
4.500000e-01,8.741379e-02,4.476080e+00,2.149572e+01,6.824839e+02,3.481500e+02,3.407604e+04,1.583131e+00
4.500000e-01,9.068966e-02,4.489695e+00,2.165261e+01,6.843293e+02,3.481500e+02,3.384945e+04,1.588609e+00
4.500000e-01,9.396552e-02,4.504154e+00,2.181821e+01,6.860053e+02,3.481500e+02,3.361949e+04,1.594411e+00
4.500000e-01,9.724138e-02,4.519521e+00,2.199328e+01,6.874834e+02,3.481500e+02,3.338624e+04,1.600568e+00
4.500000e-01,1.005172e-01,4.535863e+00,2.217870e+01,6.887299e+02,3.481500e+02,3.314980e+04,1.607115e+00
4.500000e-01,1.037931e-01,4.553260e+00,2.237549e+01,6.897052e+02,3.481500e+02,3.291027e+04,1.614094e+00
4.500000e-01,1.070690e-01,4.571804e+00,2.258488e+01,6.903617e+02,3.481500e+02,3.266773e+04,1.621554e+00
4.500000e-01,1.103448e-01,4.591599e+00,2.280837e+01,6.906414e+02,3.481500e+02,3.242227e+04,1.629557e+00
4.500000e-01,1.136207e-01,4.612773e+00,2.304781e+01,6.904737e+02,3.481500e+02,3.217399e+04,1.638178e+00
4.500000e-01,1.168966e-01,4.635478e+00,2.330552e+01,6.897700e+02,3.481500e+02,3.192298e+04,1.647512e+00
4.500000e-01,1.201724e-01,4.659896e+00,2.358446e+01,6.884195e+02,3.481500e+02,3.166933e+04,1.657681e+00
4.500000e-01,1.234483e-01,4.686258e+00,2.388846e+01,6.862810e+02,3.481500e+02,3.141315e+04,1.668845e+00
4.500000e-01,1.267241e-01,4.714851e+00,2.422255e+01,6.831740e+02,3.481500e+02,3.115451e+04,1.681213e+00
4.500000e-01,1.300000e-01,4.746041e+00,2.459339e+01,6.788676e+02,3.481500e+02,3.089353e+04,1.695067e+00
4.603448e-01,3.500000e-02,4.326093e+00,1.974536e+01,6.606878e+02,3.481500e+02,3.714167e+04,1.523281e+00
4.603448e-01,3.827586e-02,4.331238e+00,1.981834e+01,6.634315e+02,3.481500e+02,3.697615e+04,1.525742e+00
4.603448e-01,4.155172e-02,4.336824e+00,1.989550e+01,6.661639e+02,3.481500e+02,3.680583e+04,1.528347e+00
4.603448e-01,4.482759e-02,4.342853e+00,1.997687e+01,6.688851e+02,3.481500e+02,3.663077e+04,1.531097e+00
4.603448e-01,4.810345e-02,4.349331e+00,2.006254e+01,6.715943e+02,3.481500e+02,3.645105e+04,1.533996e+00
4.603448e-01,5.137931e-02,4.356266e+00,2.015258e+01,6.742892e+02,3.481500e+02,3.626675e+04,1.537047e+00
4.603448e-01,5.465517e-02,4.363671e+00,2.024713e+01,6.769666e+02,3.481500e+02,3.607795e+04,1.540256e+00
4.603448e-01,5.793103e-02,4.371560e+00,2.034635e+01,6.796219e+02,3.481500e+02,3.588472e+04,1.543630e+00
4.603448e-01,6.120690e-02,4.379952e+00,2.045044e+01,6.822492e+02,3.481500e+02,3.568715e+04,1.547176e+00
4.603448e-01,6.448276e-02,4.388867e+00,2.055962e+01,6.848413e+02,3.481500e+02,3.548532e+04,1.550904e+00
4.603448e-01,6.775862e-02,4.398331e+00,2.067415e+01,6.873897e+02,3.481500e+02,3.527932e+04,1.554822e+00
4.603448e-01,7.103448e-02,4.408371e+00,2.079434e+01,6.898843e+02,3.481500e+02,3.506923e+04,1.558944e+00
4.603448e-01,7.431034e-02,4.419017e+00,2.092051e+01,6.923137e+02,3.481500e+02,3.485514e+04,1.563282e+00
4.603448e-01,7.758621e-02,4.430304e+00,2.105304e+01,6.946645e+02,3.481500e+02,3.463714e+04,1.567850e+00
4.603448e-01,8.086207e-02,4.442269e+00,2.119234e+01,6.969216e+02,3.481500e+02,3.441531e+04,1.572666e+00
4.603448e-01,8.413793e-02,4.454954e+00,2.133889e+01,6.990678e+02,3.481500e+02,3.418976e+04,1.577747e+00
4.603448e-01,8.741379e-02,4.468405e+00,2.149320e+01,7.010835e+02,3.481500e+02,3.396056e+04,1.583114e+00
4.603448e-01,9.068966e-02,4.482671e+00,2.165586e+01,7.029462e+02,3.481500e+02,3.372782e+04,1.588792e+00
4.603448e-01,9.396552e-02,4.497810e+00,2.182754e+01,7.046298e+02,3.481500e+02,3.349163e+04,1.594806e+00
