# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
4.000000e-01,3.500000e-02,2.621675e+00,7.665559e+00,4.893569e+02,2.981517e+02,2.194722e+04,1.189081e+00
4.000000e-01,4.777778e-02,2.624571e+00,7.675767e+00,4.969254e+02,2.981517e+02,2.178529e+04,1.189351e+00
4.000000e-01,6.055556e-02,2.627597e+00,7.686489e+00,5.047412e+02,2.981517e+02,2.161823e+04,1.189635e+00
4.000000e-01,7.333333e-02,2.630764e+00,7.697764e+00,5.128172e+02,2.981517e+02,2.144580e+04,1.189934e+00
4.000000e-01,8.611111e-02,2.634082e+00,7.709635e+00,5.211672e+02,2.981517e+02,2.126773e+04,1.190249e+00
4.000000e-01,9.888889e-02,2.637560e+00,7.722151e+00,5.298061e+02,2.981517e+02,2.108373e+04,1.190581e+00
4.000000e-01,1.116667e-01,2.641212e+00,7.735364e+00,5.387500e+02,2.981517e+02,2.089351e+04,1.190931e+00
4.000000e-01,1.244444e-01,2.645051e+00,7.749333e+00,5.480161e+02,2.981517e+02,2.069675e+04,1.191302e+00
4.000000e-01,1.372222e-01,2.649092e+00,7.764123e+00,5.576231e+02,2.981517e+02,2.049310e+04,1.191695e+00
4.000000e-01,1.500000e-01,2.653351e+00,7.779809e+00,5.675914e+02,2.981517e+02,2.028220e+04,1.192111e+00
4.444444e-01,3.500000e-02,2.620483e+00,7.662523e+00,5.439104e+02,2.981517e+02,2.191216e+04,1.189183e+00
4.444444e-01,4.777778e-02,2.623642e+00,7.673664e+00,5.524238e+02,2.981517e+02,2.173587e+04,1.189479e+00
4.444444e-01,6.055556e-02,2.626958e+00,7.685418e+00,5.612236e+02,2.981517e+02,2.155351e+04,1.189791e+00
4.444444e-01,7.333333e-02,nan,nan,nan,nan,nan,nan
4.444444e-01,8.611111e-02,nan,nan,nan,nan,nan,nan
4.444444e-01,9.888889e-02,2.637967e+00,7.724889e+00,5.895036e+02,2.981517e+02,2.096671e+04,1.190838e+00
4.444444e-01,1.116667e-01,2.642038e+00,7.739662e+00,5.996182e+02,2.981517e+02,2.075666e+04,1.191231e+00
4.444444e-01,1.244444e-01,2.646340e+00,7.755367e+00,6.101112e+02,2.981517e+02,2.053869e+04,1.191648e+00
4.444444e-01,1.372222e-01,2.650891e+00,7.772096e+00,6.210060e+02,2.981517e+02,2.031237e+04,1.192093e+00
4.444444e-01,1.500000e-01,2.655715e+00,7.789949e+00,6.323281e+02,2.981517e+02,2.007718e+04,1.192568e+00
4.888889e-01,3.500000e-02,nan,nan,nan,nan,nan,nan
