# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,8.353725e+01,2.103223e+06,4.445038e-01,2.323928e+00
3.000000e-01,1.206897e-02,8.448824e+01,2.319108e+06,4.796526e-01,2.576166e+00
3.000000e-01,1.413793e-02,8.541895e+01,2.536966e+06,5.151199e-01,2.831030e+00
3.000000e-01,1.620690e-02,8.633263e+01,2.756801e+06,5.509126e-01,3.088531e+00
3.000000e-01,1.827586e-02,8.723245e+01,2.978619e+06,5.870381e-01,3.348686e+00
3.000000e-01,2.034483e-02,8.812141e+01,3.202430e+06,6.235040e-01,3.611516e+00
3.000000e-01,2.241379e-02,8.900241e+01,3.428249e+06,6.603183e-01,3.877045e+00
3.000000e-01,2.448276e-02,8.987818e+01,3.656091e+06,6.974892e-01,4.145302e+00
3.000000e-01,2.655172e-02,9.075132e+01,3.885979e+06,7.350255e-01,4.416321e+00
3.000000e-01,2.862069e-02,9.162431e+01,4.117934e+06,7.729360e-01,4.690137e+00
3.000000e-01,3.068966e-02,9.249949e+01,4.351985e+06,8.112300e-01,4.966793e+00
3.000000e-01,3.275862e-02,9.337881e+01,4.588164e+06,8.499172e-01,5.246335e+00
3.000000e-01,3.482759e-02,8.711117e+01,4.908746e+06,8.900920e-01,5.625104e+00
3.000000e-01,3.689655e-02,8.146967e+01,5.238469e+06,9.327754e-01,6.015133e+00
3.000000e-01,3.896552e-02,7.642732e+01,5.576701e+06,9.778310e-01,6.415713e+00
3.000000e-01,4.103448e-02,7.189297e+01,5.923778e+06,1.025167e+00,6.827264e+00
3.000000e-01,4.310345e-02,6.779305e+01,6.280079e+06,1.074727e+00,7.250261e+00
3.000000e-01,4.517241e-02,6.406752e+01,6.646028e+06,1.126484e+00,7.685232e+00
3.000000e-01,4.724138e-02,6.066687e+01,7.022094e+06,1.180436e+00,8.132760e+00
3.000000e-01,4.931034e-02,5.754996e+01,7.408788e+06,1.236601e+00,8.593481e+00
3.000000e-01,5.137931e-02,5.468228e+01,7.806671e+06,1.295014e+00,9.068090e+00
3.000000e-01,5.344828e-02,nan,nan,nan,nan
3.000000e-01,5.551724e-02,nan,nan,nan,nan
3.000000e-01,5.758621e-02,nan,nan,nan,nan
3.000000e-01,5.965517e-02,nan,nan,nan,nan
3.000000e-01,6.172414e-02,nan,nan,nan,nan
3.000000e-01,6.379310e-02,nan,nan,nan,nan
3.000000e-01,6.586207e-02,nan,nan,nan,nan
3.000000e-01,6.793103e-02,nan,nan,nan,nan
3.000000e-01,7.000000e-02,nan,nan,nan,nan
3.137931e-01,1.000000e-02,8.551621e+01,2.138470e+06,4.332368e-01,2.260896e+00
3.137931e-01,1.206897e-02,8.649004e+01,2.357661e+06,4.673691e-01,2.505743e+00
3.137931e-01,1.413793e-02,8.744093e+01,2.578959e+06,5.018224e-01,2.753254e+00
3.137931e-01,1.620690e-02,8.837254e+01,2.802365e+06,5.366033e-01,3.003437e+00
3.137931e-01,1.827586e-02,8.928842e+01,3.027879e+06,5.717188e-01,3.256303e+00
3.137931e-01,2.034483e-02,9.019197e+01,3.255507e+06,6.071761e-01,3.511865e+00
3.137931e-01,2.241379e-02,9.108643e+01,3.485259e+06,6.429828e-01,3.770144e+00
3.137931e-01,2.448276e-02,9.197487e+01,3.717148e+06,6.791469e-01,4.031164e+00
3.137931e-01,2.655172e-02,9.286022e+01,3.951191e+06,7.156767e-01,4.294952e+00
3.137931e-01,2.862069e-02,9.374523e+01,4.187410e+06,7.525808e-01,4.561541e+00
3.137931e-01,3.068966e-02,9.463250e+01,4.425829e+06,7.898682e-01,4.830969e+00
3.137931e-01,3.275862e-02,9.552445e+01,4.666477e+06,8.275482e-01,5.103275e+00
3.137931e-01,3.482759e-02,8.972956e+01,4.985768e+06,8.665149e-01,5.464008e+00
3.137931e-01,3.689655e-02,8.391300e+01,5.321434e+06,9.079429e-01,5.843607e+00
3.137931e-01,3.896552e-02,7.871389e+01,5.665885e+06,9.517094e-01,6.233611e+00
3.137931e-01,4.103448e-02,7.403830e+01,6.019478e+06,9.977257e-01,6.634447e+00
3.137931e-01,4.310345e-02,6.981042e+01,6.382614e+06,1.045938e+00,7.046596e+00
3.137931e-01,4.517241e-02,6.596836e+01,6.755744e+06,1.096322e+00,7.470592e+00
3.137931e-01,4.724138e-02,6.246111e+01,7.139362e+06,1.148876e+00,7.907024e+00
3.137931e-01,4.931034e-02,5.924626e+01,7.534014e+06,1.203622e+00,8.356536e+00
3.137931e-01,5.137931e-02,5.628826e+01,7.940292e+06,1.260596e+00,8.819833e+00
3.137931e-01,5.344828e-02,nan,nan,nan,nan
3.137931e-01,5.551724e-02,nan,nan,nan,nan
3.137931e-01,5.758621e-02,nan,nan,nan,nan
3.137931e-01,5.965517e-02,nan,nan,nan,nan
3.137931e-01,6.172414e-02,nan,nan,nan,nan
3.137931e-01,6.379310e-02,nan,nan,nan,nan
3.137931e-01,6.586207e-02,nan,nan,nan,nan
3.137931e-01,6.793103e-02,nan,nan,nan,nan
3.137931e-01,7.000000e-02,nan,nan,nan,nan
3.275862e-01,1.000000e-02,8.745928e+01,2.173627e+06,4.228524e-01,2.203077e+00
3.275862e-01,1.206897e-02,8.845538e+01,2.396251e+06,4.560710e-01,2.441290e+00
3.275862e-01,1.413793e-02,8.942566e+01,2.621130e+06,4.896143e-01,2.682218e+00
3.275862e-01,1.620690e-02,9.037427e+01,2.848257e+06,5.234886e-01,2.925859e+00
3.275862e-01,1.827586e-02,9.130519e+01,3.077627e+06,5.577003e-01,3.172220e+00
3.275862e-01,2.034483e-02,9.222226e+01,3.309241e+06,5.922563e-01,3.421308e+00
3.275862e-01,2.241379e-02,9.312911e+01,3.543104e+06,6.271639e-01,3.673137e+00
3.275862e-01,2.448276e-02,9.402921e+01,3.779225e+06,6.624306e-01,3.927726e+00
