# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,8.331660e+01,2.007778e+06,4.291753e-01,2.211855e+00
3.000000e-01,1.375000e-02,8.492801e+01,2.364017e+06,4.871698e-01,2.627634e+00
3.000000e-01,1.750000e-02,8.648910e+01,2.726187e+06,5.461195e-01,3.051156e+00
3.000000e-01,2.125000e-02,8.801546e+01,3.094569e+06,6.060998e-01,3.482798e+00
3.000000e-01,2.500000e-02,8.952157e+01,3.469476e+06,6.671893e-01,3.922974e+00
3.000000e-01,2.875000e-02,9.102082e+01,3.851248e+06,7.294698e-01,4.372134e+00
3.000000e-01,3.250000e-02,9.252569e+01,4.240248e+06,7.930259e-01,4.830760e+00
3.000000e-01,3.625000e-02,8.305521e+01,4.769918e+06,8.606416e-01,5.454903e+00
3.000000e-01,4.000000e-02,7.397836e+01,5.345014e+06,9.361315e-01,6.133685e+00
3.000000e-01,4.375000e-02,6.645594e+01,5.950249e+06,1.019049e+00,6.849424e+00
3.000000e-01,4.750000e-02,6.011800e+01,6.588418e+06,1.109253e+00,7.605570e+00
3.000000e-01,5.125000e-02,5.470308e+01,7.262856e+06,1.206867e+00,8.406228e+00
3.000000e-01,5.500000e-02,5.002113e+01,7.977488e+06,1.312222e+00,9.256222e+00
3.000000e-01,5.875000e-02,nan,nan,nan,nan
3.000000e-01,6.250000e-02,nan,nan,nan,nan
3.000000e-01,6.625000e-02,nan,nan,nan,nan
3.000000e-01,7.000000e-02,nan,nan,nan,nan
3.000000e-01,7.375000e-02,nan,nan,nan,nan
3.000000e-01,7.750000e-02,nan,nan,nan,nan
3.000000e-01,8.125000e-02,nan,nan,nan,nan
3.000000e-01,8.500000e-02,nan,nan,nan,nan
3.000000e-01,8.875000e-02,nan,nan,nan,nan
3.000000e-01,9.250000e-02,nan,nan,nan,nan
3.000000e-01,9.625000e-02,nan,nan,nan,nan
3.000000e-01,1.000000e-01,nan,nan,nan,nan
3.166667e-01,1.000000e-02,8.569792e+01,2.048657e+06,4.162203e-01,2.140374e+00
3.166667e-01,1.375000e-02,8.735768e+01,2.411514e+06,4.722135e-01,2.541593e+00
3.166667e-01,1.750000e-02,8.895877e+01,2.780781e+06,5.291712e-01,2.950691e+00
3.166667e-01,2.125000e-02,9.051899e+01,3.156731e+06,5.871669e-01,3.368017e+00
3.166667e-01,2.500000e-02,9.205485e+01,3.539669e+06,6.462779e-01,3.793957e+00
3.166667e-01,2.875000e-02,9.358163e+01,3.929934e+06,7.065844e-01,4.228939e+00
3.166667e-01,3.250000e-02,9.511350e+01,4.327891e+06,7.681696e-01,4.673423e+00
3.166667e-01,3.625000e-02,8.605940e+01,4.861203e+06,8.334249e-01,5.268848e+00
3.166667e-01,4.000000e-02,7.664082e+01,5.449465e+06,9.063707e-01,5.926608e+00
3.166667e-01,4.375000e-02,6.883416e+01,6.069190e+06,9.866412e-01,6.620884e+00
3.166667e-01,4.750000e-02,6.225579e+01,6.723377e+06,1.074113e+00,7.355178e+00
3.166667e-01,5.125000e-02,5.663460e+01,7.415610e+06,1.168925e+00,8.133662e+00
3.166667e-01,5.500000e-02,nan,nan,nan,nan
3.166667e-01,5.875000e-02,nan,nan,nan,nan
3.166667e-01,6.250000e-02,nan,nan,nan,nan
3.166667e-01,6.625000e-02,nan,nan,nan,nan
3.166667e-01,7.000000e-02,nan,nan,nan,nan
3.166667e-01,7.375000e-02,nan,nan,nan,nan
3.166667e-01,7.750000e-02,nan,nan,nan,nan
3.166667e-01,8.125000e-02,nan,nan,nan,nan
3.166667e-01,8.500000e-02,nan,nan,nan,nan
3.166667e-01,8.875000e-02,nan,nan,nan,nan
3.166667e-01,9.250000e-02,nan,nan,nan,nan
3.166667e-01,9.625000e-02,nan,nan,nan,nan
3.166667e-01,1.000000e-01,nan,nan,nan,nan
3.333333e-01,1.000000e-02,8.802791e+01,2.089349e+06,4.044598e-01,2.075845e+00
3.333333e-01,1.375000e-02,8.973477e+01,2.459137e+06,4.586934e-01,2.464288e+00
3.333333e-01,1.750000e-02,9.137384e+01,2.835864e+06,5.139056e-01,2.860784e+00
3.333333e-01,2.125000e-02,9.296546e+01,3.219789e+06,5.701684e-01,3.265651e+00
3.333333e-01,2.500000e-02,9.452850e+01,3.611209e+06,6.275576e-01,3.679252e+00
3.333333e-01,2.875000e-02,9.608044e+01,4.010456e+06,6.861523e-01,4.101989e+00
3.333333e-01,3.250000e-02,9.763738e+01,4.417896e+06,7.460347e-01,4.534300e+00
3.333333e-01,3.625000e-02,8.886720e+01,4.957335e+06,8.093182e-01,5.106496e+00
3.333333e-01,4.000000e-02,7.912666e+01,5.559661e+06,8.801295e-01,5.746287e+00
3.333333e-01,4.375000e-02,7.105207e+01,6.194877e+06,9.581824e-01,6.422308e+00
3.333333e-01,4.750000e-02,6.424695e+01,6.866211e+06,1.043374e+00,7.138134e+00
3.333333e-01,5.125000e-02,5.843108e+01,7.577524e+06,1.135863e+00,7.898029e+00
3.333333e-01,5.500000e-02,nan,nan,nan,nan
3.333333e-01,5.875000e-02,nan,nan,nan,nan
3.333333e-01,6.250000e-02,nan,nan,nan,nan
3.333333e-01,6.625000e-02,nan,nan,nan,nan
3.333333e-01,7.000000e-02,nan,nan,nan,nan
3.333333e-01,7.375000e-02,nan,nan,nan,nan
3.333333e-01,7.750000e-02,nan,nan,nan,nan
3.333333e-01,8.125000e-02,nan,nan,nan,nan
3.333333e-01,8.500000e-02,nan,nan,nan,nan
3.333333e-01,8.875000e-02,nan,nan,nan,nan
3.333333e-01,9.250000e-02,nan,nan,nan,nan
3.333333e-01,9.625000e-02,nan,nan,nan,nan
3.333333e-01,1.000000e-01,nan,nan,nan,nan
3.500000e-01,1.000000e-02,9.031068e+01,2.129961e+06,3.937431e-01,2.017382e+00
