# Water Recovery,Inlet Salinity,Membrane Area,Operating Pressure,LCOW,SEC
3.000000e-01,1.000000e-02,8.375659e+01,2.200251e+06,4.630278e-01,2.453524e+00
3.000000e-01,1.666667e-02,8.688186e+01,2.959583e+06,5.900009e-01,3.363459e+00
3.000000e-01,2.333333e-02,8.981660e+01,3.735837e+06,7.210256e-01,4.305655e+00
3.000000e-01,3.000000e-02,9.267165e+01,4.526912e+06,8.560343e-01,5.278247e+00
3.000000e-01,3.666667e-02,8.265362e+01,5.490192e+06,9.987913e-01,6.471276e+00
3.000000e-01,4.333333e-02,6.803001e+01,6.629344e+06,1.164047e+00,7.893868e+00
3.000000e-01,5.000000e-02,5.730455e+01,7.847702e+06,1.351081e+00,9.432876e+00
3.000000e-01,5.666667e-02,nan,nan,nan,nan
3.000000e-01,6.333333e-02,nan,nan,nan,nan
3.000000e-01,7.000000e-02,nan,nan,nan,nan
3.166667e-01,1.000000e-02,8.615634e+01,2.244639e+06,4.489089e-01,2.373549e+00
3.166667e-01,1.666667e-02,8.935884e+01,3.018608e+06,5.715571e-01,3.252243e+00
3.166667e-01,2.333333e-02,9.234571e+01,3.810855e+06,6.982383e-01,4.163246e+00
3.166667e-01,3.000000e-02,9.524468e+01,4.618892e+06,8.288609e-01,5.104390e+00
3.166667e-01,3.666667e-02,8.568053e+01,5.593368e+06,9.666394e-01,6.248062e+00
3.166667e-01,4.333333e-02,7.051336e+01,6.756296e+06,1.126088e+00,7.623834e+00
3.166667e-01,5.000000e-02,5.939311e+01,8.000000e+06,1.306689e+00,9.112103e+00
3.166667e-01,5.666667e-02,nan,nan,nan,nan
3.166667e-01,6.333333e-02,nan,nan,nan,nan
3.166667e-01,7.000000e-02,nan,nan,nan,nan
3.333333e-01,1.000000e-02,8.850474e+01,2.288977e+06,4.361194e-01,2.301520e+00
3.333333e-01,1.666667e-02,9.178025e+01,3.078318e+06,5.549715e-01,3.152872e+00
3.333333e-01,2.333333e-02,9.481408e+01,3.887409e+06,6.778563e-01,4.036714e+00
3.333333e-01,3.000000e-02,9.775326e+01,4.713318e+06,8.046564e-01,4.950541e+00
3.333333e-01,3.666667e-02,8.851722e+01,5.701858e+06,9.381782e-01,6.052912e+00
3.333333e-01,4.333333e-02,7.283929e+01,6.890023e+06,1.092664e+00,7.388179e+00
3.333333e-01,5.000000e-02,nan,nan,nan,nan
3.333333e-01,5.666667e-02,nan,nan,nan,nan
3.333333e-01,6.333333e-02,nan,nan,nan,nan
3.333333e-01,7.000000e-02,nan,nan,nan,nan
3.500000e-01,1.000000e-02,9.080580e+01,2.333389e+06,4.244913e-01,2.236423e+00
3.500000e-01,1.666667e-02,9.414945e+01,3.138907e+06,5.400095e-01,3.063851e+00
3.500000e-01,2.333333e-02,9.722463e+01,3.965776e+06,6.595777e-01,3.924071e+00
3.500000e-01,3.000000e-02,1.002004e+02,4.810548e+06,7.830496e-01,4.814209e+00
3.500000e-01,3.666667e-02,9.115987e+01,5.816109e+06,9.129359e-01,5.882277e+00
3.500000e-01,4.333333e-02,7.500461e+01,7.031090e+06,1.063202e+00,7.182574e+00
3.500000e-01,5.000000e-02,nan,nan,nan,nan
3.500000e-01,5.666667e-02,nan,nan,nan,nan
3.500000e-01,6.333333e-02,nan,nan,nan,nan
3.500000e-01,7.000000e-02,nan,nan,nan,nan
3.666667e-01,1.000000e-02,9.306295e+01,2.377997e+06,4.138865e-01,2.177433e+00
3.666667e-01,1.666667e-02,9.646916e+01,3.200580e+06,5.264795e-01,2.983966e+00
3.666667e-01,2.333333e-02,9.957965e+01,4.046250e+06,6.431564e-01,3.823709e+00
3.666667e-01,3.000000e-02,1.025886e+02,4.910964e+06,7.637391e-01,4.693375e+00
3.666667e-01,3.666667e-02,9.360464e+01,5.936615e+06,8.905330e-01,5.733301e+00
3.666667e-01,4.333333e-02,7.700615e+01,7.180124e+06,1.037239e+00,7.003543e+00
3.666667e-01,5.000000e-02,nan,nan,nan,nan
3.666667e-01,5.666667e-02,nan,nan,nan,nan
3.666667e-01,6.333333e-02,nan,nan,nan,nan
3.666667e-01,7.000000e-02,nan,nan,nan,nan
3.833333e-01,1.000000e-02,9.527915e+01,2.422929e+06,4.041905e-01,2.123867e+00
3.833333e-01,1.666667e-02,9.874151e+01,3.263553e+06,5.142239e-01,2.912224e+00
3.833333e-01,2.333333e-02,1.018808e+02,4.129145e+06,6.283912e-01,3.734316e+00
3.833333e-01,3.000000e-02,1.049198e+02,5.014973e+06,7.464786e-01,4.586400e+00
3.833333e-01,3.666667e-02,9.584768e+01,6.063929e+06,8.706630e-01,5.603677e+00
3.833333e-01,4.333333e-02,7.884072e+01,7.337822e+06,1.014401e+00,6.848280e+00
3.833333e-01,5.000000e-02,nan,nan,nan,nan
3.833333e-01,5.666667e-02,nan,nan,nan,nan
3.833333e-01,6.333333e-02,nan,nan,nan,nan
3.833333e-01,7.000000e-02,nan,nan,nan,nan
4.000000e-01,1.000000e-02,9.745694e+01,2.468313e+06,3.953081e-01,2.075161e+00
4.000000e-01,1.666667e-02,1.009681e+02,3.328058e+06,5.031126e-01,2.847811e+00
4.000000e-01,2.333333e-02,1.041293e+02,4.214801e+06,6.151167e-01,3.654826e+00
4.000000e-01,3.000000e-02,1.071956e+02,5.123021e+06,7.310668e-01,4.491949e+00
4.000000e-01,3.666667e-02,9.788511e+01,6.198667e+06,8.530782e-01,5.491541e+00
4.000000e-01,4.333333e-02,8.050514e+01,7.504967e+06,9.943898e-01,6.714522e+00
4.000000e-01,5.000000e-02,nan,nan,nan,nan
4.000000e-01,5.666667e-02,nan,nan,nan,nan
4.000000e-01,6.333333e-02,nan,nan,nan,nan
4.000000e-01,7.000000e-02,nan,nan,nan,nan
4.166667e-01,1.000000e-02,9.959842e+01,2.514287e+06,3.871595e-01,2.030849e+00
4.166667e-01,1.666667e-02,1.031499e+02,3.394346e+06,4.930377e-01,2.790062e+00
4.166667e-01,2.333333e-02,1.063257e+02,4.303591e+06,6.031969e-01,3.584365e+00
4.166667e-01,3.000000e-02,1.094176e+02,5.235592e+06,7.173388e-01,4.408936e+00
4.166667e-01,3.666667e-02,9.971307e+01,6.341517e+06,8.375788e-01,5.395391e+00
4.166667e-01,4.333333e-02,8.199619e+01,7.682432e+06,9.769619e-01,6.600450e+00
4.166667e-01,5.000000e-02,nan,nan,nan,nan
4.166667e-01,5.666667e-02,nan,nan,nan,nan
4.166667e-01,6.333333e-02,nan,nan,nan,nan
4.166667e-01,7.000000e-02,nan,nan,nan,nan
4.333333e-01,1.000000e-02,1.017053e+02,2.561000e+06,3.796779e-01,1.990541e+00
4.333333e-01,1.666667e-02,1.052874e+02,3.462693e+06,4.839101e-01,2.738431e+00
4.333333e-01,2.333333e-02,1.084704e+02,4.395925e+06,5.925205e-01,3.522229e+00
4.333333e-01,3.000000e-02,1.115869e+02,5.353219e+06,7.051603e-01,4.336481e+00
4.333333e-01,3.666667e-02,1.013277e+02,6.493255e+06,8.240053e-01,5.314026e+00
4.333333e-01,4.333333e-02,8.331067e+01,7.871202e+06,9.619253e-01,6.504617e+00
4.333333e-01,5.000000e-02,nan,nan,nan,nan
4.333333e-01,5.666667e-02,nan,nan,nan,nan
4.333333e-01,6.333333e-02,nan,nan,nan,nan
4.333333e-01,7.000000e-02,nan,nan,nan,nan
4.500000e-01,1.000000e-02,1.037790e+02,2.608609e+06,3.728070e-01,1.953919e+00
4.500000e-01,1.666667e-02,1.073807e+02,3.533405e+06,4.756564e-01,2.692479e+00
4.500000e-01,2.333333e-02,1.105631e+02,4.492257e+06,5.829968e-01,3.467852e+00
4.500000e-01,3.000000e-02,1.137049e+02,5.476491e+06,6.944226e-01,4.273877e+00
4.500000e-01,3.666667e-02,1.027250e+02,6.654752e+06,8.122320e-01,5.246500e+00
4.500000e-01,4.333333e-02,nan,nan,nan,nan
4.500000e-01,5.000000e-02,nan,nan,nan,nan
4.500000e-01,5.666667e-02,nan,nan,nan,nan
4.500000e-01,6.333333e-02,nan,nan,nan,nan
4.500000e-01,7.000000e-02,nan,nan,nan,nan
4.666667e-01,1.000000e-02,1.058204e+02,2.657291e+06,3.665000e-01,1.920717e+00
4.666667e-01,1.666667e-02,1.094291e+02,3.606822e+06,4.682164e-01,2.651854e+00
4.666667e-01,2.333333e-02,1.126034e+02,4.593092e+06,5.745529e-01,3.420787e+00
4.666667e-01,3.000000e-02,1.157729e+02,5.606060e+06,6.850393e-01,4.220570e+00
4.666667e-01,3.666667e-02,1.039012e+02,6.826993e+06,8.021628e-01,5.192092e+00
4.666667e-01,4.333333e-02,nan,nan,nan,nan
4.666667e-01,5.000000e-02,nan,nan,nan,nan
4.666667e-01,5.666667e-02,nan,nan,nan,nan
4.666667e-01,6.333333e-02,nan,nan,nan,nan
4.666667e-01,7.000000e-02,nan,nan,nan,nan
4.833333e-01,1.000000e-02,1.078301e+02,2.707240e+06,3.607177e-01,1.890725e+00
4.833333e-01,1.666667e-02,1.114315e+02,3.683327e+06,4.615421e-01,2.616286e+00
4.833333e-01,2.333333e-02,1.145905e+02,4.699000e+06,5.671319e-01,3.380695e+00
4.833333e-01,3.000000e-02,1.177927e+02,5.742653e+06,6.769438e-01,4.176137e+00
4.833333e-01,3.666667e-02,1.048523e+02,7.011094e+06,7.937281e-01,5.150276e+00
4.833333e-01,4.333333e-02,nan,nan,nan,nan
4.833333e-01,5.000000e-02,nan,nan,nan,nan
4.833333e-01,5.666667e-02,nan,nan,nan,nan
4.833333e-01,6.333333e-02,nan,nan,nan,nan
4.833333e-01,7.000000e-02,nan,nan,nan,nan
5.000000e-01,1.000000e-02,1.098080e+02,2.758674e+06,3.554282e-01,1.863773e+00
5.000000e-01,1.666667e-02,1.133861e+02,3.763355e+06,4.555959e-01,2.585576e+00
5.000000e-01,2.333333e-02,1.165235e+02,4.810617e+06,5.606909e-01,3.347333e+00
5.000000e-01,3.000000e-02,1.197668e+02,5.887084e+06,6.700868e-01,4.140270e+00
5.000000e-01,3.666667e-02,1.055745e+02,7.208329e+06,7.868822e-01,5.120711e+00
5.000000e-01,4.333333e-02,nan,nan,nan,nan
5.000000e-01,5.000000e-02,nan,nan,nan,nan
5.000000e-01,5.666667e-02,nan,nan,nan,nan
5.000000e-01,6.333333e-02,nan,nan,nan,nan
5.000000e-01,7.000000e-02,nan,nan,nan,nan
5.166667e-01,1.000000e-02,1.117537e+02,2.811842e+06,3.506057e-01,1.839737e+00
5.166667e-01,1.666667e-02,1.152906e+02,3.847400e+06,4.503499e-01,2.559590e+00
5.166667e-01,2.333333e-02,1.184017e+02,4.928666e+06,5.552002e-01,3.320546e+00
5.166667e-01,3.000000e-02,1.216986e+02,6.040264e+06,6.644357e-01,4.112773e+00
5.166667e-01,3.666667e-02,1.060638e+02,7.420152e+06,7.816024e-01,5.103226e+00
5.166667e-01,4.333333e-02,nan,nan,nan,nan
5.166667e-01,5.000000e-02,nan,nan,nan,nan
5.166667e-01,5.666667e-02,nan,nan,nan,nan
5.166667e-01,6.333333e-02,nan,nan,nan,nan
5.166667e-01,7.000000e-02,nan,nan,nan,nan
5.333333e-01,1.000000e-02,1.136661e+02,2.867028e+06,3.462301e-01,1.818528e+00
5.333333e-01,1.666667e-02,1.171420e+02,3.936029e+06,4.457856e-01,2.538262e+00
5.333333e-01,2.333333e-02,1.202243e+02,5.053966e+06,5.506424e-01,3.300261e+00
5.333333e-01,3.000000e-02,1.235927e+02,6.203219e+06,6.599732e-01,4.093548e+00
5.333333e-01,3.666667e-02,1.063164e+02,7.648234e+06,7.778882e-01,5.097815e+00
5.333333e-01,4.333333e-02,nan,nan,nan,nan
5.333333e-01,5.000000e-02,nan,nan,nan,nan
5.333333e-01,5.666667e-02,nan,nan,nan,nan
5.333333e-01,6.333333e-02,nan,nan,nan,nan
5.333333e-01,7.000000e-02,nan,nan,nan,nan
5.500000e-01,1.000000e-02,1.155436e+02,2.924559e+06,3.422871e-01,1.800100e+00
5.500000e-01,1.666667e-02,1.189367e+02,4.029894e+06,4.418934e-01,2.521586e+00
5.500000e-01,2.333333e-02,1.219912e+02,5.187449e+06,5.470128e-01,3.286491e+00
5.500000e-01,3.000000e-02,1.254559e+02,6.377106e+06,6.566973e-01,4.082595e+00
5.500000e-01,3.666667e-02,1.063283e+02,7.894503e+06,7.757615e-01,5.104646e+00
5.500000e-01,4.333333e-02,nan,nan,nan,nan
5.500000e-01,5.000000e-02,nan,nan,nan,nan
5.500000e-01,5.666667e-02,nan,nan,nan,nan
5.500000e-01,6.333333e-02,nan,nan,nan,nan
5.500000e-01,7.000000e-02,nan,nan,nan,nan
5.666667e-01,1.000000e-02,1.173834e+02,2.984817e+06,3.387677e-01,1.784444e+00
5.666667e-01,1.666667e-02,1.206706e+02,4.129750e+06,4.386728e-01,2.509621e+00
5.666667e-01,2.333333e-02,1.237034e+02,5.330178e+06,5.443186e-01,3.279328e+00
5.666667e-01,3.000000e-02,1.272975e+02,6.563236e+06,6.546213e-01,4.080011e+00
5.666667e-01,3.666667e-02,nan,nan,nan,nan
5.666667e-01,4.333333e-02,nan,nan,nan,nan
5.666667e-01,5.000000e-02,nan,nan,nan,nan
5.666667e-01,5.666667e-02,nan,nan,nan,nan
5.666667e-01,6.333333e-02,nan,nan,nan,nan
5.666667e-01,7.000000e-02,nan,nan,nan,nan
5.833333e-01,1.000000e-02,1.191820e+02,3.048254e+06,3.356685e-01,1.771592e+00
5.833333e-01,1.666667e-02,1.223391e+02,4.236474e+06,4.361329e-01,2.502496e+00
5.833333e-01,2.333333e-02,1.253631e+02,5.483372e+06,5.425804e-01,3.278946e+00
5.833333e-01,3.000000e-02,1.291302e+02,6.763098e+06,6.537745e-01,4.085991e+00
5.833333e-01,3.666667e-02,nan,nan,nan,nan
