# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,3.792668e+00,1.497799e+01,5.276064e+02,1.372296e+00
4.500000e-01,7.000000e-02,3.809555e+00,1.508812e+01,5.527586e+02,1.375481e+00
4.537500e-01,3.500000e-02,3.783091e+00,1.492507e+01,5.334613e+02,1.370761e+00
4.537500e-01,7.000000e-02,3.800217e+00,1.503679e+01,5.589229e+02,1.373988e+00
4.575000e-01,3.500000e-02,3.773716e+00,1.487321e+01,5.393206e+02,1.369258e+00
4.575000e-01,7.000000e-02,3.791085e+00,1.498652e+01,5.650930e+02,1.372528e+00
4.612500e-01,3.500000e-02,3.764538e+00,1.482237e+01,5.451842e+02,1.367786e+00
4.612500e-01,7.000000e-02,3.782153e+00,1.493729e+01,5.712687e+02,1.371100e+00
4.650000e-01,3.500000e-02,3.755551e+00,1.477252e+01,5.510520e+02,1.366345e+00
4.650000e-01,7.000000e-02,3.773415e+00,1.488909e+01,5.774500e+02,1.369702e+00
4.687500e-01,3.500000e-02,3.746752e+00,1.472364e+01,5.569239e+02,1.364933e+00
4.687500e-01,7.000000e-02,3.764867e+00,1.484187e+01,5.836369e+02,1.368335e+00
4.725000e-01,3.500000e-02,3.738134e+00,1.467571e+01,5.627998e+02,1.363550e+00
4.725000e-01,7.000000e-02,3.756504e+00,1.479563e+01,5.898291e+02,1.366998e+00
4.762500e-01,3.500000e-02,3.729693e+00,1.462871e+01,5.686795e+02,1.362195e+00
4.762500e-01,7.000000e-02,3.748322e+00,1.475033e+01,5.960268e+02,1.365689e+00
4.800000e-01,3.500000e-02,3.721425e+00,1.458260e+01,5.745630e+02,1.360868e+00
4.800000e-01,7.000000e-02,3.740315e+00,1.470596e+01,6.022297e+02,1.364409e+00
4.837500e-01,3.500000e-02,3.713325e+00,1.453738e+01,5.804501e+02,1.359568e+00
4.837500e-01,7.000000e-02,3.732480e+00,1.466250e+01,6.084378e+02,1.363155e+00
4.875000e-01,3.500000e-02,3.705388e+00,1.449301e+01,5.863409e+02,1.358293e+00
4.875000e-01,7.000000e-02,3.724813e+00,1.461992e+01,6.146511e+02,1.361929e+00
4.912500e-01,3.500000e-02,3.697612e+00,1.444949e+01,5.922351e+02,1.357044e+00
4.912500e-01,7.000000e-02,3.717309e+00,1.457821e+01,6.208695e+02,1.360729e+00
4.950000e-01,3.500000e-02,3.689991e+00,1.440678e+01,5.981328e+02,1.355820e+00
4.950000e-01,7.000000e-02,3.709965e+00,1.453734e+01,6.270930e+02,1.359554e+00
4.987500e-01,3.500000e-02,3.682522e+00,1.436487e+01,6.040338e+02,1.354619e+00
4.987500e-01,7.000000e-02,3.702776e+00,1.449731e+01,6.333215e+02,1.358404e+00
5.025000e-01,3.500000e-02,3.675201e+00,1.432375e+01,6.099381e+02,1.353443e+00
5.025000e-01,7.000000e-02,3.695740e+00,1.445808e+01,6.395550e+02,1.357279e+00
5.062500e-01,3.500000e-02,3.668025e+00,1.428340e+01,6.158455e+02,1.352289e+00
5.062500e-01,7.000000e-02,3.688853e+00,1.441965e+01,6.457935e+02,1.356177e+00
5.100000e-01,3.500000e-02,3.660990e+00,1.424379e+01,6.217561e+02,1.351158e+00
5.100000e-01,7.000000e-02,3.682111e+00,1.438201e+01,6.520370e+02,1.355099e+00
5.137500e-01,3.500000e-02,3.654092e+00,1.420491e+01,6.276698e+02,1.350048e+00
5.137500e-01,7.000000e-02,3.675512e+00,1.434512e+01,6.582854e+02,1.354043e+00
5.175000e-01,3.500000e-02,3.647329e+00,1.416674e+01,6.335864e+02,1.348961e+00
5.175000e-01,7.000000e-02,3.669051e+00,1.430898e+01,6.645387e+02,1.353010e+00
5.212500e-01,3.500000e-02,3.640698e+00,1.412928e+01,6.395061e+02,1.347893e+00
5.212500e-01,7.000000e-02,3.662727e+00,1.427358e+01,6.707970e+02,1.351999e+00
5.250000e-01,3.500000e-02,3.634195e+00,1.409250e+01,6.454286e+02,1.346847e+00
5.250000e-01,7.000000e-02,3.656537e+00,1.423890e+01,6.770602e+02,1.351009e+00
5.287500e-01,3.500000e-02,3.627817e+00,1.405640e+01,6.513540e+02,1.345820e+00
5.287500e-01,7.000000e-02,3.650476e+00,1.420492e+01,6.833283e+02,1.350040e+00
5.325000e-01,3.500000e-02,3.621562e+00,1.402094e+01,6.572822e+02,1.344813e+00
5.325000e-01,7.000000e-02,3.644544e+00,1.417164e+01,6.896014e+02,1.349091e+00
5.362500e-01,3.500000e-02,3.615426e+00,1.398613e+01,6.632131e+02,1.343824e+00
5.362500e-01,7.000000e-02,3.638737e+00,1.413904e+01,6.958795e+02,1.348163e+00
5.400000e-01,3.500000e-02,3.609408e+00,1.395195e+01,6.691468e+02,1.342855e+00
5.400000e-01,7.000000e-02,3.633052e+00,1.410711e+01,7.021625e+02,1.347254e+00
5.437500e-01,3.500000e-02,3.603504e+00,1.391839e+01,6.750833e+02,1.341904e+00
5.437500e-01,7.000000e-02,3.627488e+00,1.407583e+01,7.084506e+02,1.346365e+00
5.475000e-01,3.500000e-02,3.597712e+00,1.388543e+01,6.810223e+02,1.340970e+00
5.475000e-01,7.000000e-02,3.622042e+00,1.404521e+01,7.147437e+02,1.345495e+00
5.512500e-01,3.500000e-02,3.592029e+00,1.385306e+01,6.869641e+02,1.340054e+00
5.512500e-01,7.000000e-02,3.616712e+00,1.401522e+01,7.210420e+02,1.344643e+00
5.550000e-01,3.500000e-02,3.586454e+00,1.382127e+01,6.929085e+02,1.339155e+00
5.550000e-01,7.000000e-02,3.611495e+00,1.398585e+01,7.273454e+02,1.343810e+00
5.587500e-01,3.500000e-02,3.580984e+00,1.379005e+01,6.988554e+02,1.338273e+00
5.587500e-01,7.000000e-02,3.606391e+00,1.395711e+01,7.336541e+02,1.342995e+00
5.625000e-01,3.500000e-02,3.575616e+00,1.375939e+01,7.048050e+02,1.337407e+00
5.625000e-01,7.000000e-02,3.601395e+00,1.392897e+01,7.399680e+02,1.342198e+00
5.662500e-01,3.500000e-02,3.570350e+00,1.372928e+01,7.107572e+02,1.336557e+00
5.662500e-01,7.000000e-02,3.596508e+00,1.390142e+01,7.462873e+02,1.341418e+00
5.700000e-01,3.500000e-02,3.565181e+00,1.369971e+01,7.167119e+02,1.335723e+00
5.700000e-01,7.000000e-02,3.591727e+00,1.387447e+01,7.526120e+02,1.340655e+00
