# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,9.258708e-01,6.078516e+00,7.065864e+01,5.295801e+06
3.050000e-01,9.165161e-01,6.015375e+00,7.124993e+01,5.327516e+06
3.100000e-01,9.074819e-01,5.954469e+00,7.183640e+01,5.359408e+06
3.150000e-01,8.987547e-01,5.895706e+00,7.241811e+01,5.391487e+06
3.200000e-01,8.903218e-01,5.838997e+00,7.299512e+01,5.423764e+06
3.250000e-01,8.821713e-01,5.784261e+00,7.356749e+01,5.456252e+06
3.300000e-01,8.742923e-01,5.731419e+00,7.413527e+01,5.488962e+06
3.350000e-01,8.666742e-01,5.680399e+00,7.469850e+01,5.521906e+06
3.400000e-01,8.593072e-01,5.631134e+00,7.525723e+01,5.555096e+06
3.450000e-01,8.521822e-01,5.583560e+00,7.581149e+01,5.588544e+06
3.500000e-01,8.452905e-01,5.537616e+00,7.636131e+01,5.622263e+06
3.550000e-01,8.386240e-01,5.493248e+00,7.690674e+01,5.656266e+06
3.600000e-01,8.321751e-01,5.450401e+00,7.744780e+01,5.690566e+06
3.650000e-01,8.259366e-01,5.409027e+00,7.798451e+01,5.725176e+06
3.700000e-01,8.199017e-01,5.369079e+00,7.851690e+01,5.760111e+06
3.750000e-01,8.140641e-01,5.330513e+00,7.904499e+01,5.795385e+06
3.800000e-01,8.084178e-01,5.293288e+00,7.956880e+01,5.831011e+06
3.850000e-01,8.029571e-01,5.257365e+00,8.008834e+01,5.867006e+06
3.900000e-01,7.976769e-01,5.222709e+00,8.060362e+01,5.903384e+06
3.950000e-01,7.925722e-01,5.189286e+00,8.111468e+01,5.940162e+06
4.000000e-01,7.876382e-01,5.157062e+00,8.162150e+01,5.977356e+06
4.050000e-01,7.828707e-01,5.126009e+00,8.212411e+01,6.014982e+06
4.100000e-01,7.782655e-01,5.096099e+00,8.262252e+01,6.053058e+06
4.150000e-01,7.738187e-01,5.067305e+00,8.311673e+01,6.091602e+06
4.200000e-01,7.695269e-01,5.039603e+00,8.360677e+01,6.130632e+06
4.250000e-01,7.653865e-01,5.012970e+00,8.409263e+01,6.170168e+06
4.300000e-01,7.613946e-01,4.987385e+00,8.457433e+01,6.210228e+06
4.350000e-01,7.575481e-01,4.962828e+00,8.505189e+01,6.250834e+06
4.400000e-01,7.538443e-01,4.939282e+00,8.552531e+01,6.292007e+06
4.450000e-01,7.502809e-01,4.916728e+00,8.599463e+01,6.333768e+06
4.500000e-01,7.468553e-01,4.895153e+00,8.645985e+01,6.376140e+06
4.550000e-01,7.435656e-01,4.874541e+00,8.692101e+01,6.419146e+06
4.600000e-01,7.404098e-01,4.854879e+00,8.737813e+01,6.462811e+06
4.650000e-01,7.373861e-01,4.836157e+00,8.783124e+01,6.507160e+06
4.700000e-01,7.344930e-01,4.818363e+00,8.828038e+01,6.552218e+06
4.750000e-01,7.317289e-01,4.801488e+00,8.872561e+01,6.598014e+06
4.800000e-01,7.290927e-01,4.785523e+00,8.916698e+01,6.644574e+06
4.850000e-01,7.265834e-01,4.770463e+00,8.960454e+01,6.691928e+06
4.900000e-01,7.241998e-01,4.756301e+00,9.003837e+01,6.740107e+06
4.950000e-01,7.219414e-01,4.743031e+00,9.046856e+01,6.789141e+06
5.000000e-01,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
5.050000e-01,7.177975e-01,4.719157e+00,9.131840e+01,6.889910e+06
5.100000e-01,7.159113e-01,4.708547e+00,9.173829e+01,6.941713e+06
5.150000e-01,7.141487e-01,4.698821e+00,9.215501e+01,6.994510e+06
5.200000e-01,7.125098e-01,4.689980e+00,9.256873e+01,7.048341e+06
5.250000e-01,7.109946e-01,4.682024e+00,9.297963e+01,7.103244e+06
5.300000e-01,7.096037e-01,4.674956e+00,9.338792e+01,7.159261e+06
5.350000e-01,7.083373e-01,4.668779e+00,9.379383e+01,7.216436e+06
5.400000e-01,7.071964e-01,4.663498e+00,9.419763e+01,7.274813e+06
5.450000e-01,7.061816e-01,4.659119e+00,9.459960e+01,7.334439e+06
5.500000e-01,7.052939e-01,4.655648e+00,9.500008e+01,7.395364e+06
