# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,8.700620e-01,5.661698e+00,7.037706e+01,4.948571e+06
3.050000e-01,8.613131e-01,5.603031e+00,7.097070e+01,4.978292e+06
3.100000e-01,8.528611e-01,5.546425e+00,7.155957e+01,5.008163e+06
3.150000e-01,8.446935e-01,5.491794e+00,7.214375e+01,5.038193e+06
3.200000e-01,8.367987e-01,5.439056e+00,7.272330e+01,5.068394e+06
3.250000e-01,8.291657e-01,5.388137e+00,7.329825e+01,5.098776e+06
3.300000e-01,8.217841e-01,5.338964e+00,7.386867e+01,5.129350e+06
3.350000e-01,8.146445e-01,5.291472e+00,7.443459e+01,5.160128e+06
3.400000e-01,8.077376e-01,5.245597e+00,7.499605e+01,5.191120e+06
3.450000e-01,8.010550e-01,5.201283e+00,7.555308e+01,5.222338e+06
3.500000e-01,7.945888e-01,5.158473e+00,7.610573e+01,5.253795e+06
3.550000e-01,7.883313e-01,5.117116e+00,7.665400e+01,5.285502e+06
3.600000e-01,7.822756e-01,5.077163e+00,7.719793e+01,5.317472e+06
3.650000e-01,7.764150e-01,5.038570e+00,7.773754e+01,5.349717e+06
3.700000e-01,7.707433e-01,5.001292e+00,7.827284e+01,5.382251e+06
3.750000e-01,7.652545e-01,4.965291e+00,7.880384e+01,5.415087e+06
3.800000e-01,7.599432e-01,4.930529e+00,7.933055e+01,5.448239e+06
3.850000e-01,7.548041e-01,4.896969e+00,7.985298e+01,5.481720e+06
3.900000e-01,7.498324e-01,4.864579e+00,8.037114e+01,5.515546e+06
3.950000e-01,7.450235e-01,4.833329e+00,8.088503e+01,5.549732e+06
4.000000e-01,7.403732e-01,4.803188e+00,8.139464e+01,5.584292e+06
4.050000e-01,7.358772e-01,4.774129e+00,8.189997e+01,5.619244e+06
4.100000e-01,7.315320e-01,4.746127e+00,8.240101e+01,5.654602e+06
4.150000e-01,7.273339e-01,4.719158e+00,8.289777e+01,5.690385e+06
4.200000e-01,7.232795e-01,4.693200e+00,8.339024e+01,5.726610e+06
4.250000e-01,7.193660e-01,4.668232e+00,8.387840e+01,5.763296e+06
4.300000e-01,7.155902e-01,4.644236e+00,8.436224e+01,5.800460e+06
4.350000e-01,7.119496e-01,4.621192e+00,8.484176e+01,5.838123e+06
4.400000e-01,7.084417e-01,4.599085e+00,8.531695e+01,5.876304e+06
4.450000e-01,7.050642e-01,4.577900e+00,8.578779e+01,5.915026e+06
4.500000e-01,7.018149e-01,4.557622e+00,8.625429e+01,5.954308e+06
4.550000e-01,6.986920e-01,4.538240e+00,8.671642e+01,5.994175e+06
4.600000e-01,6.956937e-01,4.519742e+00,8.717419e+01,6.034648e+06
4.650000e-01,6.928184e-01,4.502117e+00,8.762760e+01,6.075754e+06
4.700000e-01,6.900647e-01,4.485357e+00,8.807664e+01,6.117516e+06
4.750000e-01,6.874312e-01,4.469454e+00,8.852132e+01,6.159961e+06
4.800000e-01,6.849170e-01,4.454400e+00,8.896164e+01,6.203117e+06
4.850000e-01,6.825211e-01,4.440190e+00,8.939764e+01,6.247011e+06
4.900000e-01,6.802426e-01,4.426820e+00,8.982932e+01,6.291673e+06
4.950000e-01,6.780809e-01,4.414285e+00,9.025672e+01,6.337134e+06
5.000000e-01,6.760356e-01,4.402584e+00,9.067988e+01,6.383427e+06
5.050000e-01,6.741063e-01,4.391713e+00,9.109884e+01,6.430583e+06
5.100000e-01,6.722928e-01,4.381674e+00,9.151367e+01,6.478639e+06
5.150000e-01,6.705951e-01,4.372465e+00,9.192444e+01,6.527630e+06
5.200000e-01,6.690134e-01,4.364090e+00,9.233124e+01,6.577594e+06
5.250000e-01,6.675479e-01,4.356549e+00,9.273419e+01,6.628571e+06
5.300000e-01,6.661991e-01,4.349848e+00,9.313340e+01,6.680601e+06
5.350000e-01,6.649676e-01,4.343990e+00,9.352902e+01,6.733728e+06
5.400000e-01,6.638541e-01,4.338981e+00,9.392123e+01,6.787997e+06
5.450000e-01,6.628596e-01,4.334829e+00,9.431023e+01,6.843455e+06
5.500000e-01,6.619853e-01,4.331540e+00,9.469624e+01,6.900150e+06
