# Feed TDS,Temperature,TDS mg/L,Density,Enthalpy,Vap Pressure
3.361113e-02,2.981500e+02,3.435151e+04,1.022028e+03,-1.559206e+07,3.074535e+03
3.361113e-02,3.081500e+02,3.423061e+04,1.018431e+03,-1.555096e+07,5.458619e+03
3.361113e-02,3.181500e+02,3.408731e+04,1.014167e+03,-1.550981e+07,9.300374e+03
3.361113e-02,3.281500e+02,3.391129e+04,1.008930e+03,-1.546603e+07,1.526281e+04
3.361113e-02,3.381500e+02,3.373557e+04,1.003702e+03,-1.542590e+07,2.422254e+04
3.361113e-02,3.481500e+02,3.354326e+04,9.979806e+02,-1.538570e+07,3.727648e+04
3.361113e-02,3.581500e+02,3.333540e+04,9.917966e+02,-1.534544e+07,5.577617e+04
3.361113e-02,3.681500e+02,3.311287e+04,9.851757e+02,-1.530510e+07,8.133921e+04
4.838276e-02,2.981500e+02,4.998019e+04,1.033017e+03,-1.547882e+07,3.051806e+03
4.838276e-02,3.081500e+02,4.979887e+04,1.029269e+03,-1.543870e+07,5.418355e+03
4.838276e-02,3.181500e+02,4.958564e+04,1.024862e+03,-1.539816e+07,9.231808e+03
4.838276e-02,3.281500e+02,4.934290e+04,1.019845e+03,-1.535714e+07,1.515345e+04
4.838276e-02,3.381500e+02,4.907629e+04,1.014334e+03,-1.531612e+07,2.404663e+04
4.838276e-02,3.481500e+02,4.876473e+04,1.007895e+03,-1.527182e+07,3.699192e+04
4.838276e-02,3.581500e+02,4.846609e+04,1.001722e+03,-1.523224e+07,5.535400e+04
4.838276e-02,3.681500e+02,4.814739e+04,9.951353e+02,-1.519258e+07,8.072942e+04
9.373868e-02,2.981500e+02,9.959182e+04,1.062441e+03,-1.512653e+07,2.975368e+03
9.373868e-02,3.081500e+02,9.919995e+04,1.058261e+03,-1.508988e+07,5.283356e+03
9.373868e-02,3.181500e+02,9.876830e+04,1.053656e+03,-1.505285e+07,9.003826e+03
9.373868e-02,3.281500e+02,9.829778e+04,1.048636e+03,-1.501558e+07,1.478381e+04
9.373868e-02,3.381500e+02,9.778994e+04,1.043219e+03,-1.497814e+07,2.346812e+04
9.373868e-02,3.481500e+02,9.724646e+04,1.037421e+03,-1.494056e+07,3.612589e+04
9.373868e-02,3.581500e+02,9.666894e+04,1.031260e+03,-1.490288e+07,5.407211e+04
9.373868e-02,3.681500e+02,9.605884e+04,1.024751e+03,-1.486512e+07,7.888221e+04
1.366460e-01,2.981500e+02,1.490274e+05,1.090609e+03,-1.482801e+07,2.906836e+03
1.366460e-01,3.081500e+02,1.483791e+05,1.085865e+03,-1.479321e+07,5.161992e+03
1.366460e-01,3.181500e+02,1.476967e+05,1.080871e+03,-1.475791e+07,8.798227e+03
1.366460e-01,3.281500e+02,1.469751e+05,1.075590e+03,-1.472230e+07,1.444905e+04
1.366460e-01,3.381500e+02,1.462128e+05,1.070011e+03,-1.468647e+07,2.294216e+04
1.366460e-01,3.481500e+02,1.454096e+05,1.064134e+03,-1.465048e+07,3.532574e+04
1.366460e-01,3.581500e+02,1.445664e+05,1.057963e+03,-1.461438e+07,5.288998e+04
1.366460e-01,3.681500e+02,1.436842e+05,1.051507e+03,-1.457820e+07,7.718177e+04
1.775197e-01,2.981500e+02,1.981933e+05,1.116458e+03,-1.456341e+07,2.843258e+03
1.775197e-01,3.081500e+02,1.972542e+05,1.111168e+03,-1.453015e+07,5.049625e+03
1.775197e-01,3.181500e+02,1.963003e+05,1.105795e+03,-1.449631e+07,8.608183e+03
1.775197e-01,3.281500e+02,1.953173e+05,1.100257e+03,-1.446210e+07,1.414004e+04
1.775197e-01,3.381500e+02,1.942981e+05,1.094516e+03,-1.442764e+07,2.245714e+04
1.775197e-01,3.481500e+02,1.932396e+05,1.088553e+03,-1.439300e+07,3.458845e+04
1.775197e-01,3.581500e+02,1.921407e+05,1.082363e+03,-1.435825e+07,5.180126e+04
1.775197e-01,3.681500e+02,1.910016e+05,1.075946e+03,-1.432341e+07,7.561610e+04
