# Feed TDS,Temperature,TDS mg/L,Density,Enthalpy,Vap Pressure
3.361113e-02,2.981500e+02,3.435772e+04,1.022213e+03,-1.559856e+07,3.075569e+03
3.361113e-02,3.081500e+02,3.424256e+04,1.018786e+03,-1.555854e+07,5.460993e+03
3.361113e-02,3.181500e+02,3.409475e+04,1.014389e+03,-1.551844e+07,1.036841e+04
3.361113e-02,3.281500e+02,3.394694e+04,1.009991e+03,-1.547833e+07,1.527583e+04
3.361113e-02,3.381500e+02,3.377082e+04,1.004751e+03,-1.543814e+07,2.424312e+04
3.361113e-02,3.481500e+02,3.357794e+04,9.990124e+02,-1.539789e+07,3.730799e+04
3.361113e-02,3.581500e+02,3.336203e+04,9.925887e+02,-1.535755e+07,5.935764e+04
3.361113e-02,3.681500e+02,3.314612e+04,9.861649e+02,-1.531721e+07,8.140729e+04
4.838276e-02,2.981500e+02,4.998171e+04,1.033048e+03,-1.548634e+07,3.052850e+03
4.838276e-02,3.081500e+02,4.980689e+04,1.029435e+03,-1.544705e+07,5.420643e+03
4.838276e-02,3.181500e+02,4.960239e+04,1.025208e+03,-1.540768e+07,9.236710e+03
4.838276e-02,3.281500e+02,4.937104e+04,1.020426e+03,-1.536823e+07,1.516368e+04
4.838276e-02,3.381500e+02,4.911512e+04,1.015137e+03,-1.532871e+07,2.406617e+04
4.838276e-02,3.481500e+02,4.883644e+04,1.009377e+03,-1.528913e+07,3.703765e+04
4.838276e-02,3.581500e+02,4.853643e+04,1.003176e+03,-1.524949e+07,5.542201e+04
4.838276e-02,3.681500e+02,4.821624e+04,9.965582e+02,-1.520979e+07,8.082800e+04
9.373868e-02,2.981500e+02,9.987977e+04,1.065513e+03,-1.516041e+07,2.983143e+03
9.373868e-02,3.081500e+02,9.948519e+04,1.061304e+03,-1.512316e+07,5.296890e+03
9.373868e-02,3.181500e+02,9.905025e+04,1.056664e+03,-1.508575e+07,9.026548e+03
9.373868e-02,3.281500e+02,9.857599e+04,1.051604e+03,-1.504822e+07,1.482068e+04
9.373868e-02,3.381500e+02,9.806405e+04,1.046143e+03,-1.501059e+07,2.352606e+04
9.373868e-02,3.481500e+02,9.751615e+04,1.040298e+03,-1.497289e+07,3.621429e+04
9.373868e-02,3.581500e+02,9.693394e+04,1.034087e+03,-1.493512e+07,5.420334e+04
9.373868e-02,3.681500e+02,9.631891e+04,1.027526e+03,-1.489730e+07,7.907213e+04
1.366460e-01,2.981500e+02,1.496436e+05,1.095119e+03,-1.487561e+07,2.917882e+03
1.366460e-01,3.081500e+02,1.489883e+05,1.090323e+03,-1.484006e+07,5.181235e+03
1.366460e-01,3.181500e+02,1.482981e+05,1.085272e+03,-1.480429e+07,8.830547e+03
1.366460e-01,3.281500e+02,1.475684e+05,1.079932e+03,-1.476835e+07,1.450151e+04
1.366460e-01,3.381500e+02,1.467974e+05,1.074290e+03,-1.473229e+07,2.302460e+04
1.366460e-01,3.481500e+02,1.459853e+05,1.068347e+03,-1.469615e+07,3.545154e+04
1.366460e-01,3.581500e+02,1.451328e+05,1.062108e+03,-1.465995e+07,5.307674e+04
1.366460e-01,3.681500e+02,1.442410e+05,1.055582e+03,-1.462369e+07,7.745210e+04
1.775197e-01,2.981500e+02,1.992395e+05,1.122351e+03,-1.462329e+07,2.857113e+03
1.775197e-01,3.081500e+02,1.982865e+05,1.116983e+03,-1.458918e+07,5.073781e+03
1.775197e-01,3.181500e+02,1.973186e+05,1.111531e+03,-1.455478e+07,8.648788e+03
1.775197e-01,3.281500e+02,1.963214e+05,1.105913e+03,-1.452019e+07,1.420599e+04
1.775197e-01,3.381500e+02,1.952880e+05,1.100092e+03,-1.448548e+07,2.256090e+04
1.775197e-01,3.481500e+02,1.942148e+05,1.094047e+03,-1.445068e+07,3.474690e+04
1.775197e-01,3.581500e+02,1.931011e+05,1.087773e+03,-1.441581e+07,5.203670e+04
1.775197e-01,3.681500e+02,1.919469e+05,1.081271e+03,-1.438091e+07,7.595724e+04
