# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.361113e-02,2.981500e+02,3.315160e+01,1.013526e+05,2.936826e+03,2.639696e+06,1.019480e+03
3.361113e-02,2.991500e+02,3.314133e+01,1.053653e+05,3.152450e+03,2.647113e+06,1.019164e+03
3.361113e-02,3.001500e+02,3.313083e+01,1.093787e+05,3.378597e+03,2.654493e+06,1.018841e+03
3.361113e-02,3.011500e+02,3.312013e+01,1.133929e+05,3.615498e+03,2.661838e+06,1.018512e+03
3.361113e-02,3.021500e+02,3.310920e+01,1.174078e+05,3.863412e+03,2.669147e+06,1.018176e+03
3.361113e-02,3.031500e+02,3.309807e+01,1.214234e+05,4.122627e+03,2.676419e+06,1.017833e+03
3.361113e-02,3.041500e+02,3.308672e+01,1.254397e+05,4.393461e+03,2.683656e+06,1.017484e+03
3.361113e-02,3.051500e+02,3.307516e+01,1.294567e+05,4.676258e+03,2.690857e+06,1.017129e+03
3.361113e-02,3.061500e+02,3.306339e+01,1.334745e+05,4.971396e+03,2.698021e+06,1.016767e+03
3.361113e-02,3.071500e+02,3.305141e+01,1.374929e+05,5.279277e+03,2.705150e+06,1.016399e+03
3.361113e-02,3.081500e+02,3.303923e+01,1.415120e+05,5.600337e+03,2.712243e+06,1.016024e+03
3.361113e-02,3.091500e+02,3.302684e+01,1.455317e+05,5.935037e+03,2.719299e+06,1.015643e+03
3.361113e-02,3.101500e+02,3.301425e+01,1.495521e+05,6.283870e+03,2.726320e+06,1.015256e+03
3.361113e-02,3.111500e+02,3.300146e+01,1.535732e+05,6.647355e+03,2.733305e+06,1.014863e+03
3.361113e-02,3.121500e+02,3.298847e+01,1.575949e+05,7.026044e+03,2.740253e+06,1.014463e+03
3.361113e-02,3.131500e+02,3.297529e+01,1.616172e+05,7.420516e+03,2.747166e+06,1.014058e+03
3.361113e-02,3.141500e+02,3.296190e+01,1.656402e+05,7.831378e+03,2.754043e+06,1.013646e+03
3.361113e-02,3.151500e+02,3.294833e+01,1.696638e+05,8.259267e+03,2.760884e+06,1.013229e+03
3.361113e-02,3.161500e+02,3.293455e+01,1.736880e+05,8.704851e+03,2.767689e+06,1.012805e+03
3.361113e-02,3.171500e+02,3.292059e+01,1.777128e+05,9.168824e+03,2.774457e+06,1.012376e+03
3.361113e-02,3.181500e+02,3.290644e+01,1.817382e+05,9.651912e+03,2.781190e+06,1.011940e+03
3.361113e-02,3.191500e+02,3.289210e+01,1.857642e+05,1.015487e+04,2.787887e+06,1.011499e+03
3.361113e-02,3.201500e+02,3.287757e+01,1.897908e+05,1.067847e+04,2.794548e+06,1.011053e+03
3.361113e-02,3.211500e+02,3.286285e+01,1.938180e+05,1.122354e+04,2.801173e+06,1.010600e+03
3.361113e-02,3.221500e+02,3.284795e+01,1.978458e+05,1.179091e+04,2.807762e+06,1.010142e+03
3.361113e-02,3.231500e+02,3.283287e+01,2.018742e+05,1.238146e+04,2.814315e+06,1.009678e+03
3.361113e-02,3.241500e+02,3.281760e+01,2.059031e+05,1.299608e+04,2.820831e+06,1.009209e+03
3.361113e-02,3.251500e+02,3.280216e+01,2.099327e+05,1.363570e+04,2.827312e+06,1.008734e+03
3.361113e-02,3.261500e+02,3.278653e+01,2.139628e+05,1.430127e+04,2.833757e+06,1.008253e+03
3.361113e-02,3.271500e+02,3.277073e+01,2.179934e+05,1.499380e+04,2.840166e+06,1.007767e+03
3.361113e-02,3.281500e+02,3.275475e+01,2.220247e+05,1.571428e+04,2.846539e+06,1.007276e+03
3.361113e-02,3.291500e+02,3.273859e+01,2.260565e+05,1.646377e+04,2.852876e+06,1.006779e+03
3.361113e-02,3.301500e+02,3.272226e+01,2.300889e+05,1.724333e+04,2.859177e+06,1.006277e+03
3.361113e-02,3.311500e+02,3.270576e+01,2.341218e+05,1.805408e+04,2.865442e+06,1.005769e+03
3.361113e-02,3.321500e+02,3.268909e+01,2.381553e+05,1.889714e+04,2.871671e+06,1.005256e+03
3.361113e-02,3.331500e+02,3.267224e+01,2.421894e+05,1.977368e+04,2.877863e+06,1.004738e+03
3.361113e-02,3.341500e+02,3.265523e+01,2.462240e+05,2.068488e+04,2.884020e+06,1.004215e+03
3.361113e-02,3.351500e+02,3.263805e+01,2.502592e+05,2.163196e+04,2.890141e+06,1.003687e+03
3.361113e-02,3.361500e+02,3.262070e+01,2.542950e+05,2.261618e+04,2.896225e+06,1.003153e+03
3.361113e-02,3.371500e+02,3.260319e+01,2.583313e+05,2.363881e+04,2.902274e+06,1.002615e+03
3.361113e-02,3.381500e+02,3.258551e+01,2.623682e+05,2.470115e+04,2.908286e+06,1.002071e+03
3.361113e-02,3.391500e+02,3.256767e+01,2.664057e+05,2.580455e+04,2.914262e+06,1.001523e+03
3.361113e-02,3.401500e+02,3.254967e+01,2.704437e+05,2.695036e+04,2.920202e+06,1.000969e+03
3.361113e-02,3.411500e+02,3.253151e+01,2.744824e+05,2.813998e+04,2.926106e+06,1.000410e+03
3.361113e-02,3.421500e+02,3.251318e+01,2.785216e+05,2.937484e+04,2.931974e+06,9.998470e+02
3.361113e-02,3.431500e+02,3.249470e+01,2.825613e+05,3.065638e+04,2.937805e+06,9.992786e+02
3.361113e-02,3.441500e+02,3.247606e+01,2.866017e+05,3.198609e+04,2.943600e+06,9.987054e+02
3.361113e-02,3.451500e+02,3.245726e+01,2.906426e+05,3.336547e+04,2.949359e+06,9.981273e+02
3.361113e-02,3.461500e+02,3.243831e+01,2.946842e+05,3.479608e+04,2.955082e+06,9.975445e+02
3.361113e-02,3.471500e+02,3.241920e+01,2.987263e+05,3.627946e+04,2.960768e+06,9.969569e+02
3.361113e-02,3.481500e+02,3.239994e+01,3.027691e+05,3.781723e+04,2.966418e+06,9.963646e+02
3.361113e-02,3.491500e+02,3.238053e+01,3.068124e+05,3.941101e+04,2.972031e+06,9.957676e+02
3.361113e-02,3.501500e+02,3.236096e+01,3.108564e+05,4.106245e+04,2.977608e+06,9.951659e+02
3.361113e-02,3.511500e+02,3.234125e+01,3.149009e+05,4.277324e+04,2.983149e+06,9.945596e+02
3.361113e-02,3.521500e+02,3.232138e+01,3.189461e+05,4.454510e+04,2.988653e+06,9.939486e+02
3.361113e-02,3.531500e+02,3.230136e+01,3.229920e+05,4.637976e+04,2.994120e+06,9.933331e+02
3.361113e-02,3.541500e+02,3.228120e+01,3.270384e+05,4.827900e+04,2.999551e+06,9.927131e+02
3.361113e-02,3.551500e+02,3.226089e+01,3.310855e+05,5.024462e+04,3.004945e+06,9.920885e+02
3.361113e-02,3.561500e+02,3.224043e+01,3.351333e+05,5.227845e+04,3.010303e+06,9.914594e+02
3.361113e-02,3.571500e+02,3.221983e+01,3.391817e+05,5.438235e+04,3.015624e+06,9.908258e+02
3.361113e-02,3.581500e+02,3.219908e+01,3.432308e+05,5.655821e+04,3.020908e+06,9.901878e+02
4.838276e-02,2.981500e+02,4.749808e+01,9.988485e+04,2.912201e+03,3.822134e+06,1.029213e+03
4.838276e-02,2.991500e+02,4.748255e+01,1.038351e+05,3.125943e+03,3.833405e+06,1.028876e+03
4.838276e-02,3.001500e+02,4.746673e+01,1.077861e+05,3.350116e+03,3.844619e+06,1.028534e+03
4.838276e-02,3.011500e+02,4.745063e+01,1.117379e+05,3.584945e+03,3.855775e+06,1.028185e+03
4.838276e-02,3.021500e+02,4.743424e+01,1.156904e+05,3.830689e+03,3.866874e+06,1.027830e+03
4.838276e-02,3.031500e+02,4.741758e+01,1.196436e+05,4.087633e+03,3.877914e+06,1.027469e+03
4.838276e-02,3.041500e+02,4.740064e+01,1.235976e+05,4.356091e+03,3.888897e+06,1.027102e+03
4.838276e-02,3.051500e+02,4.738343e+01,1.275522e+05,4.636407e+03,3.899823e+06,1.026729e+03
4.838276e-02,3.061500e+02,4.736594e+01,1.315075e+05,4.928952e+03,3.910690e+06,1.026350e+03
4.838276e-02,3.071500e+02,4.734819e+01,1.354636e+05,5.234129e+03,3.921499e+06,1.025965e+03
4.838276e-02,3.081500e+02,4.733016e+01,1.394202e+05,5.552366e+03,3.932251e+06,1.025575e+03
4.838276e-02,3.091500e+02,4.731187e+01,1.433776e+05,5.884122e+03,3.942944e+06,1.025178e+03
4.838276e-02,3.101500e+02,4.729331e+01,1.473356e+05,6.229886e+03,3.953580e+06,1.024776e+03
4.838276e-02,3.111500e+02,4.727450e+01,1.512943e+05,6.590173e+03,3.964157e+06,1.024368e+03
