# Feed TDS,Temperature,TDS mg/L,Density,Osmotic Pressure
3.361113e-02,2.981500e+02,3.361113e-02,1.022405e+03,2.387192e+06
3.361113e-02,2.991500e+02,3.361113e-02,1.022100e+03,2.394921e+06
3.361113e-02,3.001500e+02,3.361113e-02,1.021787e+03,2.402590e+06
3.361113e-02,3.011500e+02,3.361113e-02,1.021467e+03,2.410201e+06
3.361113e-02,3.021500e+02,3.361113e-02,1.021139e+03,2.417753e+06
3.361113e-02,3.031500e+02,3.361113e-02,1.020805e+03,2.425247e+06
3.361113e-02,3.041500e+02,3.361113e-02,1.020463e+03,2.432684e+06
3.361113e-02,3.051500e+02,3.361113e-02,1.020114e+03,2.440064e+06
3.361113e-02,3.061500e+02,3.361113e-02,1.019759e+03,2.447388e+06
3.361113e-02,3.071500e+02,3.361113e-02,1.019396e+03,2.454656e+06
3.361113e-02,3.081500e+02,3.361113e-02,1.019027e+03,2.461869e+06
3.361113e-02,3.091500e+02,3.361113e-02,1.018651e+03,2.469028e+06
3.361113e-02,3.101500e+02,3.361113e-02,1.018269e+03,2.476132e+06
3.361113e-02,3.111500e+02,3.361113e-02,1.017880e+03,2.483182e+06
3.361113e-02,3.121500e+02,3.361113e-02,1.017484e+03,2.490179e+06
3.361113e-02,3.131500e+02,3.361113e-02,1.017083e+03,2.497123e+06
3.361113e-02,3.141500e+02,3.361113e-02,1.016675e+03,2.504014e+06
3.361113e-02,3.151500e+02,3.361113e-02,1.016261e+03,2.510853e+06
3.361113e-02,3.161500e+02,3.361113e-02,1.015841e+03,2.517640e+06
3.361113e-02,3.171500e+02,3.361113e-02,1.015415e+03,2.524376e+06
3.361113e-02,3.181500e+02,3.361113e-02,1.014982e+03,2.531060e+06
3.361113e-02,3.191500e+02,3.361113e-02,1.014544e+03,2.537694e+06
3.361113e-02,3.201500e+02,3.361113e-02,1.014101e+03,2.544277e+06
3.361113e-02,3.211500e+02,3.361113e-02,1.013651e+03,2.550810e+06
3.361113e-02,3.221500e+02,3.361113e-02,1.013196e+03,2.557294e+06
3.361113e-02,3.231500e+02,3.361113e-02,1.012735e+03,2.563727e+06
3.361113e-02,3.241500e+02,3.361113e-02,1.012268e+03,2.570111e+06
3.361113e-02,3.251500e+02,3.361113e-02,1.011796e+03,2.576446e+06
3.361113e-02,3.261500e+02,3.361113e-02,1.011318e+03,2.582732e+06
3.361113e-02,3.271500e+02,3.361113e-02,1.010835e+03,2.588970e+06
3.361113e-02,3.281500e+02,3.361113e-02,1.010347e+03,2.595159e+06
3.361113e-02,3.291500e+02,3.361113e-02,1.009853e+03,2.601300e+06
3.361113e-02,3.301500e+02,3.361113e-02,1.009354e+03,2.607393e+06
3.361113e-02,3.311500e+02,3.361113e-02,1.008850e+03,2.613438e+06
3.361113e-02,3.321500e+02,3.361113e-02,1.008341e+03,2.619436e+06
3.361113e-02,3.331500e+02,3.361113e-02,1.007826e+03,2.625387e+06
3.361113e-02,3.341500e+02,3.361113e-02,1.007306e+03,2.631290e+06
3.361113e-02,3.351500e+02,3.361113e-02,1.006782e+03,2.637146e+06
3.361113e-02,3.361500e+02,3.361113e-02,1.006252e+03,2.642955e+06
3.361113e-02,3.371500e+02,3.361113e-02,1.005718e+03,2.648718e+06
3.361113e-02,3.381500e+02,3.361113e-02,1.005178e+03,2.654434e+06
3.361113e-02,3.391500e+02,3.361113e-02,1.004634e+03,2.660103e+06
3.361113e-02,3.401500e+02,3.361113e-02,1.004085e+03,2.665726e+06
3.361113e-02,3.411500e+02,3.361113e-02,1.003531e+03,2.671303e+06
3.361113e-02,3.421500e+02,3.361113e-02,1.002972e+03,2.676834e+06
3.361113e-02,3.431500e+02,3.361113e-02,1.002408e+03,2.682319e+06
3.361113e-02,3.441500e+02,3.361113e-02,1.001840e+03,2.687758e+06
3.361113e-02,3.451500e+02,3.361113e-02,1.001267e+03,2.693151e+06
3.361113e-02,3.461500e+02,3.361113e-02,1.000690e+03,2.698499e+06
3.361113e-02,3.471500e+02,3.361113e-02,1.000108e+03,2.703800e+06
3.361113e-02,3.481500e+02,3.361113e-02,9.995216e+02,2.709057e+06
3.361113e-02,3.491500e+02,3.361113e-02,9.989306e+02,2.714268e+06
3.361113e-02,3.501500e+02,3.361113e-02,9.983351e+02,2.719433e+06
3.361113e-02,3.511500e+02,3.361113e-02,9.977352e+02,2.724553e+06
