# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.361113e-02,2.981500e+02,3.322284e+01,9.938623e+04,3.115605e+03,2.395903e+06,1.021670e+03
3.361113e-02,3.081500e+02,3.311618e+01,1.387415e+05,5.532618e+03,2.472619e+06,1.018390e+03
3.361113e-02,3.181500e+02,3.298550e+01,1.779543e+05,9.430939e+03,2.544252e+06,1.014372e+03
3.361113e-02,3.281500e+02,3.283355e+01,2.170069e+05,1.549311e+04,2.610670e+06,1.009699e+03
3.361113e-02,3.381500e+02,3.266275e+01,2.558817e+05,2.461514e+04,2.671775e+06,1.004446e+03
3.361113e-02,3.481500e+02,3.247511e+01,2.945607e+05,3.793952e+04,2.727503e+06,9.986763e+02
3.361113e-02,3.581500e+02,3.227233e+01,3.330264e+05,5.688567e+04,2.777819e+06,9.924403e+02
4.838276e-02,2.981500e+02,4.762935e+01,9.704655e+04,3.089426e+03,3.474719e+06,1.032058e+03
4.838276e-02,3.081500e+02,4.747120e+01,1.354811e+05,5.486130e+03,3.586802e+06,1.028631e+03
4.838276e-02,3.181500e+02,4.728065e+01,1.737220e+05,9.351695e+03,3.691328e+06,1.024502e+03
4.838276e-02,3.281500e+02,4.706152e+01,2.117339e+05,1.536293e+04,3.788075e+06,1.019754e+03
4.838276e-02,3.381500e+02,4.681710e+01,2.494816e+05,2.440831e+04,3.876878e+06,1.014457e+03
4.838276e-02,3.481500e+02,4.655016e+01,2.869299e+05,3.762073e+04,3.957619e+06,1.008673e+03
4.838276e-02,3.581500e+02,4.626296e+01,3.240435e+05,5.640769e+04,4.030220e+06,1.002450e+03
9.373868e-02,2.981500e+02,9.103545e+01,8.999066e+04,3.001764e+03,7.005536e+06,1.062197e+03
9.373868e-02,3.081500e+02,9.070518e+01,1.260643e+05,5.330461e+03,7.242250e+06,1.058344e+03
9.373868e-02,3.181500e+02,9.032396e+01,1.617913e+05,9.086341e+03,7.462244e+06,1.053896e+03
9.373868e-02,3.281500e+02,8.989822e+01,1.970856e+05,1.492701e+04,7.664840e+06,1.048928e+03
9.373868e-02,3.381500e+02,8.943345e+01,2.318613e+05,2.371573e+04,7.849479e+06,1.043505e+03
9.373868e-02,3.481500e+02,8.893418e+01,2.660323e+05,3.655325e+04,8.015703e+06,1.037680e+03
9.373868e-02,3.581500e+02,8.840400e+01,2.995127e+05,5.480712e+04,8.163152e+06,1.031494e+03
1.366460e-01,2.981500e+02,1.308575e+02,8.364832e+04,2.912050e+03,1.078707e+07,1.088496e+03
1.366460e-01,3.081500e+02,1.303495e+02,1.179769e+05,5.171150e+03,1.117521e+07,1.084270e+03
1.366460e-01,3.181500e+02,1.297812e+02,1.518205e+05,8.814777e+03,1.153506e+07,1.079544e+03
1.366460e-01,3.281500e+02,1.291610e+02,1.850487e+05,1.448088e+04,1.186515e+07,1.074385e+03
1.366460e-01,3.381500e+02,1.284958e+02,2.175313e+05,2.300693e+04,1.216422e+07,1.068851e+03
1.366460e-01,3.481500e+02,1.277912e+02,2.491379e+05,3.546078e+04,1.243115e+07,1.062990e+03
1.366460e-01,3.581500e+02,1.270514e+02,2.797382e+05,5.316910e+04,1.266503e+07,1.056836e+03
1.775197e-01,2.981500e+02,1.676068e+02,7.837589e+04,2.823418e+03,1.490369e+07,1.111766e+03
1.775197e-01,3.081500e+02,1.669201e+02,1.113475e+05,5.013758e+03,1.547582e+07,1.107211e+03
1.775197e-01,3.181500e+02,1.661704e+02,1.437078e+05,8.546486e+03,1.600541e+07,1.102238e+03
1.775197e-01,3.281500e+02,1.653671e+02,1.752872e+05,1.404014e+04,1.648984e+07,1.096909e+03
1.775197e-01,3.381500e+02,1.645181e+02,2.059162e+05,2.230668e+04,1.692678e+07,1.091278e+03
1.775197e-01,3.481500e+02,1.636297e+02,2.354254e+05,3.438147e+04,1.731415e+07,1.085385e+03
1.775197e-01,3.581500e+02,1.627062e+02,2.636451e+05,5.155082e+04,1.765013e+07,1.079259e+03
