# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.361113e-02,2.981500e+02,3.251816e+01,1.045500e+05,2.213599e+04,2.851490e+06,1.000000e+03
3.361113e-02,3.081500e+02,3.251816e+01,1.463700e+05,2.850437e+04,2.947130e+06,1.000000e+03
3.361113e-02,3.181500e+02,3.251816e+01,1.881900e+05,3.597937e+04,3.042769e+06,1.000000e+03
3.361113e-02,3.281500e+02,3.251816e+01,2.300100e+05,4.461830e+04,3.138409e+06,1.000000e+03
3.361113e-02,3.381500e+02,3.251816e+01,2.718300e+05,5.446696e+04,3.234048e+06,1.000000e+03
3.361113e-02,3.481500e+02,3.251816e+01,3.136500e+05,6.555990e+04,3.329688e+06,1.000000e+03
3.361113e-02,3.581500e+02,3.251816e+01,3.554700e+05,7.792089e+04,3.425327e+06,1.000000e+03
4.838276e-02,2.981500e+02,4.614990e+01,1.045500e+05,2.203667e+04,4.104681e+06,1.000000e+03
4.838276e-02,3.081500e+02,4.614990e+01,1.463700e+05,2.837648e+04,4.242353e+06,1.000000e+03
4.838276e-02,3.181500e+02,4.614990e+01,1.881900e+05,3.581794e+04,4.380025e+06,1.000000e+03
4.838276e-02,3.281500e+02,4.614990e+01,2.300100e+05,4.441811e+04,4.517696e+06,1.000000e+03
4.838276e-02,3.381500e+02,4.614990e+01,2.718300e+05,5.422259e+04,4.655368e+06,1.000000e+03
4.838276e-02,3.481500e+02,4.614990e+01,3.136500e+05,6.526576e+04,4.793040e+06,1.000000e+03
4.838276e-02,3.581500e+02,4.614990e+01,3.554700e+05,7.757128e+04,4.930711e+06,1.000000e+03
9.373868e-02,2.981500e+02,8.570482e+01,1.045500e+05,2.173721e+04,7.952572e+06,1.000000e+03
9.373868e-02,3.081500e+02,8.570482e+01,1.463700e+05,2.799087e+04,8.219303e+06,1.000000e+03
9.373868e-02,3.181500e+02,8.570482e+01,1.881900e+05,3.533120e+04,8.486033e+06,1.000000e+03
9.373868e-02,3.281500e+02,8.570482e+01,2.300100e+05,4.381450e+04,8.752764e+06,1.000000e+03
9.373868e-02,3.381500e+02,8.570482e+01,2.718300e+05,5.348575e+04,9.019495e+06,1.000000e+03
9.373868e-02,3.481500e+02,8.570482e+01,3.136500e+05,6.437885e+04,9.286225e+06,1.000000e+03
9.373868e-02,3.581500e+02,8.570482e+01,3.554700e+05,7.651715e+04,9.552956e+06,1.000000e+03
1.366460e-01,2.981500e+02,1.202186e+02,1.045500e+05,2.146131e+04,1.159273e+07,1.000000e+03
1.366460e-01,3.081500e+02,1.202186e+02,1.463700e+05,2.763559e+04,1.198155e+07,1.000000e+03
1.366460e-01,3.181500e+02,1.202186e+02,1.881900e+05,3.488276e+04,1.237037e+07,1.000000e+03
1.366460e-01,3.281500e+02,1.202186e+02,2.300100e+05,4.325839e+04,1.275920e+07,1.000000e+03
1.366460e-01,3.381500e+02,1.202186e+02,2.718300e+05,5.280688e+04,1.314802e+07,1.000000e+03
1.366460e-01,3.481500e+02,1.202186e+02,3.136500e+05,6.356173e+04,1.353684e+07,1.000000e+03
1.366460e-01,3.581500e+02,1.202186e+02,3.554700e+05,7.554596e+04,1.392566e+07,1.000000e+03
1.775197e-01,2.981500e+02,1.507573e+02,1.045500e+05,2.120493e+04,1.506036e+07,1.000000e+03
1.775197e-01,3.081500e+02,1.507573e+02,1.463700e+05,2.730545e+04,1.556549e+07,1.000000e+03
1.775197e-01,3.181500e+02,1.507573e+02,1.881900e+05,3.446604e+04,1.607061e+07,1.000000e+03
1.775197e-01,3.281500e+02,1.507573e+02,2.300100e+05,4.274161e+04,1.657574e+07,1.000000e+03
1.775197e-01,3.381500e+02,1.507573e+02,2.718300e+05,5.217603e+04,1.708087e+07,1.000000e+03
1.775197e-01,3.481500e+02,1.507573e+02,3.136500e+05,6.280240e+04,1.758599e+07,1.000000e+03
1.775197e-01,3.581500e+02,1.507573e+02,3.554700e+05,7.464346e+04,1.809112e+07,1.000000e+03
