# Feed Mass Frac,Temperature,Enthalpy,Vap Pressure
3.500000e-02,2.981500e+02,-9.956326e+04,3.071118e+03
3.500000e-02,3.081500e+02,-1.396273e+05,5.453082e+03
3.500000e-02,3.181500e+02,-1.797890e+05,9.291850e+03
3.500000e-02,3.281500e+02,-2.200408e+05,1.525379e+04
3.500000e-02,3.381500e+02,-2.603899e+05,2.420830e+04
3.500000e-02,3.481500e+02,-3.008599e+05,3.725471e+04
3.500000e-02,3.581500e+02,-3.414895e+05,5.574391e+04
3.500000e-02,3.681500e+02,-3.823313e+05,8.129274e+04
7.000000e-02,2.981500e+02,-9.476921e+04,3.010736e+03
7.000000e-02,3.081500e+02,-1.332093e+05,5.345840e+03
7.000000e-02,3.181500e+02,-1.717571e+05,9.109591e+03
7.000000e-02,3.281500e+02,-2.103683e+05,1.495605e+04
7.000000e-02,3.381500e+02,-2.490270e+05,2.373895e+04
7.000000e-02,3.481500e+02,-2.877389e+05,3.653840e+04
7.000000e-02,3.581500e+02,-3.265268e+05,5.468240e+04
7.000000e-02,3.681500e+02,-3.654266e+05,7.976142e+04
1.000000e-01,2.981500e+02,-9.080998e+04,2.955463e+03
1.000000e-01,3.081500e+02,-1.279016e+05,5.247772e+03
1.000000e-01,3.181500e+02,-1.651102e+05,8.943197e+03
1.000000e-01,3.281500e+02,-2.023626e+05,1.468477e+04
1.000000e-01,3.381500e+02,-2.396251e+05,2.331227e+04
1.000000e-01,3.481500e+02,-2.768894e+05,3.588871e+04
1.000000e-01,3.581500e+02,-3.141654e+05,5.372189e+04
1.000000e-01,3.681500e+02,-3.514760e+05,7.837907e+04
1.250000e-01,2.981500e+02,-8.762354e+04,2.907106e+03
1.250000e-01,3.081500e+02,-1.236227e+05,5.162112e+03
1.250000e-01,3.181500e+02,-1.597460e+05,8.798088e+03
1.250000e-01,3.281500e+02,-1.958980e+05,1.444856e+04
1.250000e-01,3.381500e+02,-2.320313e+05,2.294126e+04
1.250000e-01,3.481500e+02,-2.681267e+05,3.532451e+04
1.250000e-01,3.581500e+02,-3.041843e+05,5.288871e+04
1.250000e-01,3.681500e+02,-3.402166e+05,7.718112e+04
1.500000e-01,2.981500e+02,-8.453919e+04,2.856879e+03
1.500000e-01,3.081500e+02,-1.194735e+05,5.073297e+03
1.500000e-01,3.181500e+02,-1.545378e+05,8.647851e+03
1.500000e-01,3.281500e+02,-1.896164e+05,1.420427e+04
1.500000e-01,3.381500e+02,-2.246490e+05,2.255790e+04
1.500000e-01,3.481500e+02,-2.596064e+05,3.474189e+04
1.500000e-01,3.581500e+02,-2.944792e+05,5.202867e+04
1.500000e-01,3.681500e+02,-3.292702e+05,7.594478e+04
2.000000e-01,2.981500e+02,-7.865253e+04,2.751315e+03
2.000000e-01,3.081500e+02,-1.115318e+05,4.887234e+03
2.000000e-01,3.181500e+02,-1.445488e+05,8.333801e+03
2.000000e-01,3.281500e+02,-1.775520e+05,1.369433e+04
2.000000e-01,3.381500e+02,-2.104584e+05,2.175825e+04
2.000000e-01,3.481500e+02,-2.432208e+05,3.352690e+04
2.000000e-01,3.581500e+02,-2.758123e+05,5.023485e+04
2.000000e-01,3.681500e+02,-3.082176e+05,7.336488e+04
2.500000e-01,2.981500e+02,-7.308885e+04,2.639007e+03
2.500000e-01,3.081500e+02,-1.039959e+05,4.690257e+03
2.500000e-01,3.181500e+02,-1.350441e+05,8.002333e+03
2.500000e-01,3.281500e+02,-1.660516e+05,1.315699e+04
2.500000e-01,3.381500e+02,-1.969160e+05,2.091617e+04
2.500000e-01,3.481500e+02,-2.275745e+05,3.224729e+04
2.500000e-01,3.581500e+02,-2.579851e+05,4.834429e+04
2.500000e-01,3.681500e+02,-2.881157e+05,7.064271e+04
