# Feed Mass Frac,Temperature,Density,Osmotic Pressure
3.500000e-02,2.981500e+02,1.024394e+03,2.579482e+06
3.500000e-02,3.081500e+02,1.020987e+03,2.660537e+06
3.500000e-02,3.181500e+02,1.016924e+03,2.735522e+06
3.500000e-02,3.281500e+02,1.012279e+03,2.804880e+06
3.500000e-02,3.381500e+02,1.007108e+03,2.868911e+06
3.500000e-02,3.481500e+02,1.001456e+03,2.927808e+06
3.500000e-02,3.581500e+02,9.953571e+02,2.981675e+06
3.500000e-02,3.681500e+02,9.888403e+02,3.030542e+06
7.000000e-02,2.981500e+02,1.053290e+03,5.524833e+06
7.000000e-02,3.081500e+02,1.049449e+03,5.708554e+06
7.000000e-02,3.181500e+02,1.045124e+03,5.875473e+06
7.000000e-02,3.281500e+02,1.040347e+03,6.027092e+06
7.000000e-02,3.381500e+02,1.035152e+03,6.164480e+06
7.000000e-02,3.481500e+02,1.029570e+03,6.288362e+06
7.000000e-02,3.581500e+02,1.023628e+03,6.399194e+06
7.000000e-02,3.681500e+02,1.017351e+03,6.497211e+06
1.000000e-01,2.981500e+02,1.079388e+03,8.480744e+06
1.000000e-01,3.081500e+02,1.075140e+03,8.769959e+06
1.000000e-01,3.181500e+02,1.070571e+03,9.029613e+06
1.000000e-01,3.281500e+02,1.065675e+03,9.262607e+06
1.000000e-01,3.381500e+02,1.060464e+03,9.471024e+06
1.000000e-01,3.481500e+02,1.054956e+03,9.656306e+06
1.000000e-01,3.581500e+02,1.049171e+03,9.819383e+06
1.000000e-01,3.681500e+02,1.043131e+03,9.960783e+06
1.250000e-01,2.981500e+02,1.102146e+03,1.133264e+07
1.250000e-01,3.081500e+02,1.097532e+03,1.172088e+07
1.250000e-01,3.181500e+02,1.092744e+03,1.206652e+07
1.250000e-01,3.281500e+02,1.087745e+03,1.237397e+07
1.250000e-01,3.381500e+02,1.082524e+03,1.264642e+07
1.250000e-01,3.481500e+02,1.077088e+03,1.288607e+07
1.250000e-01,3.581500e+02,1.071451e+03,1.309435e+07
1.250000e-01,3.681500e+02,1.065634e+03,1.327209e+07
1.500000e-01,2.981500e+02,1.125885e+03,1.461388e+07
1.500000e-01,3.081500e+02,1.120877e+03,1.510893e+07
1.500000e-01,3.181500e+02,1.115857e+03,1.554631e+07
1.500000e-01,3.281500e+02,1.110749e+03,1.593229e+07
1.500000e-01,3.381500e+02,1.105522e+03,1.627137e+07
1.500000e-01,3.481500e+02,1.100169e+03,1.656661e+07
1.500000e-01,3.581500e+02,1.094698e+03,1.682003e+07
1.500000e-01,3.681500e+02,1.089127e+03,1.703276e+07
2.000000e-01,2.981500e+02,1.176578e+03,2.279763e+07
2.000000e-01,3.081500e+02,1.170687e+03,2.351263e+07
2.000000e-01,3.181500e+02,1.165152e+03,2.413524e+07
2.000000e-01,3.281500e+02,1.159812e+03,2.467621e+07
2.000000e-01,3.381500e+02,1.154584e+03,2.514307e+07
2.000000e-01,3.481500e+02,1.149434e+03,2.554082e+07
2.000000e-01,3.581500e+02,1.144354e+03,2.587254e+07
2.000000e-01,3.681500e+02,1.139359e+03,2.613979e+07
2.500000e-01,2.981500e+02,1.232072e+03,3.382732e+07
2.500000e-01,3.081500e+02,1.225151e+03,3.471936e+07
2.500000e-01,3.181500e+02,1.219024e+03,3.548247e+07
2.500000e-01,3.281500e+02,1.213424e+03,3.613228e+07
2.500000e-01,3.381500e+02,1.208212e+03,3.667918e+07
2.500000e-01,3.481500e+02,1.203318e+03,3.712956e+07
2.500000e-01,3.581500e+02,1.198718e+03,3.748670e+07
2.500000e-01,3.681500e+02,1.194421e+03,3.775157e+07
