# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-03,5.000000e-01,2.981500e+02,1.002443e+03,-1.034891e+05,3.118053e+03
5.000000e-03,1.000000e+00,2.981500e+02,1.002244e+03,-1.035278e+05,3.117672e+03
5.000000e-03,2.000000e+00,2.981500e+02,1.002045e+03,-1.035664e+05,3.117297e+03
1.000000e-02,5.000000e-01,2.981500e+02,1.007862e+03,-1.024568e+05,3.108402e+03
1.000000e-02,1.000000e+00,2.981500e+02,1.007462e+03,-1.025333e+05,3.107613e+03
1.000000e-02,2.000000e+00,2.981500e+02,1.007062e+03,-1.026096e+05,3.106847e+03
1.500000e-02,5.000000e-01,2.981500e+02,1.013310e+03,-1.014351e+05,3.098695e+03
1.500000e-02,1.000000e+00,2.981500e+02,1.012705e+03,-1.015487e+05,3.097498e+03
1.500000e-02,2.000000e+00,2.981500e+02,1.012101e+03,-1.016619e+05,3.096346e+03
2.000000e-02,5.000000e-01,2.981500e+02,1.018785e+03,-1.004243e+05,3.088881e+03
2.000000e-02,1.000000e+00,2.981500e+02,1.017973e+03,-1.005741e+05,3.087278e+03
2.000000e-02,2.000000e+00,2.981500e+02,1.017163e+03,-1.007232e+05,3.085748e+03
2.500000e-02,5.000000e-01,2.981500e+02,1.024287e+03,-9.942451e+04,3.078938e+03
2.500000e-02,1.000000e+00,2.981500e+02,1.023267e+03,-9.960972e+04,3.076936e+03
2.500000e-02,2.000000e+00,2.981500e+02,1.022248e+03,-9.979363e+04,3.075035e+03
3.000000e-02,5.000000e-01,2.981500e+02,1.029817e+03,-9.843623e+04,3.068858e+03
3.000000e-02,1.000000e+00,2.981500e+02,1.028584e+03,-9.865581e+04,3.066464e+03
3.000000e-02,2.000000e+00,2.981500e+02,1.027355e+03,-9.887336e+04,3.064201e+03
3.500000e-02,5.000000e-01,2.981500e+02,1.035373e+03,-9.745988e+04,3.058637e+03
3.500000e-02,1.000000e+00,2.981500e+02,1.033926e+03,-9.771273e+04,3.055859e+03
3.500000e-02,2.000000e+00,2.981500e+02,1.032485e+03,-9.796265e+04,3.053242e+03
4.000000e-02,5.000000e-01,2.981500e+02,1.040955e+03,-9.649592e+04,3.048277e+03
4.000000e-02,1.000000e+00,2.981500e+02,1.039292e+03,-9.678086e+04,3.045122e+03
4.000000e-02,2.000000e+00,2.981500e+02,1.037636e+03,-9.706178e+04,3.042159e+03
4.500000e-02,5.000000e-01,2.981500e+02,1.046562e+03,-9.554480e+04,3.037782e+03
4.500000e-02,1.000000e+00,2.981500e+02,1.044681e+03,-9.586049e+04,3.034261e+03
4.500000e-02,2.000000e+00,2.981500e+02,1.042809e+03,-9.617094e+04,3.030955e+03
5.000000e-02,5.000000e-01,2.981500e+02,1.052194e+03,-9.460685e+04,3.027163e+03
5.000000e-02,1.000000e+00,2.981500e+02,1.050092e+03,-9.495207e+04,3.023277e+03
5.000000e-02,2.000000e+00,2.981500e+02,1.048002e+03,-9.529048e+04,3.019633e+03
5.500000e-02,5.000000e-01,2.981500e+02,1.057850e+03,-9.368260e+04,3.016424e+03
5.500000e-02,1.000000e+00,2.981500e+02,1.055525e+03,-9.405585e+04,3.012180e+03
5.500000e-02,2.000000e+00,2.981500e+02,1.053216e+03,-9.442059e+04,3.008200e+03
6.000000e-02,5.000000e-01,2.981500e+02,1.063528e+03,-9.277226e+04,3.005580e+03
6.000000e-02,1.000000e+00,2.981500e+02,1.060979e+03,-9.317208e+04,3.000981e+03
6.000000e-02,2.000000e+00,2.981500e+02,1.058450e+03,-9.356146e+04,2.996662e+03
6.500000e-02,5.000000e-01,2.981500e+02,1.069229e+03,-9.187609e+04,2.994644e+03
6.500000e-02,1.000000e+00,2.981500e+02,1.066453e+03,-9.230095e+04,2.989689e+03
6.500000e-02,2.000000e+00,2.981500e+02,1.063703e+03,-9.271325e+04,2.985028e+03
7.000000e-02,5.000000e-01,2.981500e+02,1.074952e+03,-9.099423e+04,2.983627e+03
7.000000e-02,1.000000e+00,2.981500e+02,1.071949e+03,-9.144262e+04,2.978315e+03
7.000000e-02,2.000000e+00,2.981500e+02,1.068975e+03,-9.187609e+04,2.973305e+03
7.500000e-02,5.000000e-01,2.981500e+02,1.080697e+03,-9.012676e+04,2.972544e+03
7.500000e-02,1.000000e+00,2.981500e+02,1.077464e+03,-9.059713e+04,2.966871e+03
7.500000e-02,2.000000e+00,2.981500e+02,1.074267e+03,-9.105004e+04,2.961502e+03
8.000000e-02,5.000000e-01,2.981500e+02,1.086463e+03,-8.927365e+04,2.961406e+03
8.000000e-02,1.000000e+00,2.981500e+02,1.083000e+03,-8.976451e+04,2.955366e+03
8.000000e-02,2.000000e+00,2.981500e+02,1.079577e+03,-9.023513e+04,2.949627e+03
8.500000e-02,5.000000e-01,2.981500e+02,1.092251e+03,-8.843481e+04,2.950227e+03
8.500000e-02,1.000000e+00,2.981500e+02,1.088563e+03,-8.894408e+04,2.943827e+03
8.500000e-02,2.000000e+00,2.981500e+02,1.084913e+03,-8.943092e+04,2.937700e+03
9.000000e-02,5.000000e-01,2.981500e+02,1.098073e+03,-8.760908e+04,2.939038e+03
9.000000e-02,1.000000e+00,2.981500e+02,1.094139e+03,-8.813688e+04,2.932233e+03
9.000000e-02,2.000000e+00,2.981500e+02,1.090261e+03,-8.863813e+04,2.925706e+03
9.500000e-02,5.000000e-01,2.981500e+02,1.103906e+03,-8.679811e+04,2.927808e+03
