# Feed Mass Frac,# Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
2.000000e-03,2.500000e-01,2.981500e+02,1.000089e+03,-1.039271e+05,3.122165e+03
2.000000e-03,2.500000e-01,3.081500e+02,9.970488e+02,-1.454631e+05,5.543733e+03
2.000000e-03,2.500000e-01,3.181500e+02,9.932156e+02,-1.870898e+05,9.446079e+03
2.000000e-03,2.500000e-01,3.281500e+02,9.886931e+02,-2.288342e+05,1.550625e+04
2.000000e-03,2.500000e-01,3.381500e+02,9.835566e+02,-2.707260e+05,2.460735e+04
2.000000e-03,2.500000e-01,3.481500e+02,9.778618e+02,-3.128062e+05,3.786576e+04
2.000000e-03,2.500000e-01,3.581500e+02,9.716501e+02,-3.551297e+05,5.665288e+04
2.000000e-03,2.500000e-01,3.681500e+02,9.649525e+02,-3.977655e+05,8.260948e+04
2.000000e-03,5.000000e-01,2.981500e+02,9.998886e+02,-1.039684e+05,3.122354e+03
2.000000e-03,5.000000e-01,3.081500e+02,9.968471e+02,-1.455187e+05,5.544059e+03
2.000000e-03,5.000000e-01,3.181500e+02,9.930122e+02,-1.871597e+05,9.446620e+03
2.000000e-03,5.000000e-01,3.281500e+02,9.884878e+02,-2.289190e+05,1.550712e+04
2.000000e-03,5.000000e-01,3.381500e+02,9.833491e+02,-2.708265e+05,2.460870e+04
2.000000e-03,5.000000e-01,3.481500e+02,9.776518e+02,-3.129234e+05,3.786780e+04
2.000000e-03,5.000000e-01,3.581500e+02,9.714374e+02,-3.552649e+05,5.665587e+04
2.000000e-03,5.000000e-01,3.681500e+02,9.647368e+02,-3.979200e+05,8.261375e+04
2.000000e-03,1.000000e+00,2.981500e+02,9.996381e+02,-1.040202e+05,3.122592e+03
2.000000e-03,1.000000e+00,3.081500e+02,9.965948e+02,-1.455882e+05,5.544470e+03
2.000000e-03,1.000000e+00,3.181500e+02,9.927579e+02,-1.872471e+05,9.447306e+03
2.000000e-03,1.000000e+00,3.281500e+02,9.882312e+02,-2.290251e+05,1.550822e+04
2.000000e-03,1.000000e+00,3.381500e+02,9.830898e+02,-2.709522e+05,2.461042e+04
2.000000e-03,1.000000e+00,3.481500e+02,9.773894e+02,-3.130701e+05,3.787039e+04
2.000000e-03,1.000000e+00,3.581500e+02,9.711716e+02,-3.554341e+05,5.665966e+04
2.000000e-03,1.000000e+00,3.681500e+02,9.644673e+02,-3.981134e+05,8.261916e+04
2.000000e-03,2.000000e+00,2.981500e+02,9.993875e+02,-1.040721e+05,3.122833e+03
2.000000e-03,2.000000e+00,3.081500e+02,9.963426e+02,-1.456579e+05,5.544888e+03
2.000000e-03,2.000000e+00,3.181500e+02,9.925036e+02,-1.873347e+05,9.448003e+03
2.000000e-03,2.000000e+00,3.281500e+02,9.879745e+02,-2.291313e+05,1.550934e+04
2.000000e-03,2.000000e+00,3.381500e+02,9.828304e+02,-2.710782e+05,2.461217e+04
2.000000e-03,2.000000e+00,3.481500e+02,9.771270e+02,-3.132170e+05,3.787303e+04
2.000000e-03,2.000000e+00,3.581500e+02,9.709058e+02,-3.556035e+05,5.666353e+04
2.000000e-03,2.000000e+00,3.681500e+02,9.641978e+02,-3.983071e+05,8.262470e+04
2.000000e-03,4.000000e+00,2.981500e+02,9.991870e+02,-1.041136e+05,3.123029e+03
2.000000e-03,4.000000e+00,3.081500e+02,9.961408e+02,-1.457136e+05,5.545228e+03
2.000000e-03,4.000000e+00,3.181500e+02,9.923002e+02,-1.874049e+05,9.448570e+03
2.000000e-03,4.000000e+00,3.281500e+02,9.877692e+02,-2.292164e+05,1.551026e+04
2.000000e-03,4.000000e+00,3.381500e+02,9.826229e+02,-2.711790e+05,2.461359e+04
2.000000e-03,4.000000e+00,3.481500e+02,9.769170e+02,-3.133346e+05,3.787518e+04
2.000000e-03,4.000000e+00,3.581500e+02,9.706932e+02,-3.557391e+05,5.666669e+04
2.000000e-03,4.000000e+00,3.681500e+02,9.639822e+02,-3.984621e+05,8.262921e+04
3.500000e-02,2.500000e-01,2.981500e+02,1.055546e+03,-9.457885e+04,3.034486e+03
