# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Osmotic Pressure
5.000000e-03,5.000000e-01,2.981500e+02,1.003263e+03,3.739958e+05
5.000000e-03,1.000000e+00,2.981500e+02,1.002849e+03,4.070130e+05
5.000000e-03,2.000000e+00,2.981500e+02,1.002435e+03,4.395916e+05
1.000000e-02,5.000000e-01,2.981500e+02,1.009533e+03,7.366892e+05
1.000000e-02,1.000000e+00,2.981500e+02,1.008699e+03,8.055552e+05
1.000000e-02,2.000000e+00,2.981500e+02,1.007866e+03,8.728378e+05
1.500000e-02,5.000000e-01,2.981500e+02,1.015854e+03,1.100889e+06
1.500000e-02,1.000000e+00,2.981500e+02,1.014595e+03,1.207808e+06
1.500000e-02,2.000000e+00,2.981500e+02,1.013338e+03,1.311337e+06
2.000000e-02,5.000000e-01,2.981500e+02,1.022228e+03,1.469782e+06
2.000000e-02,1.000000e+00,2.981500e+02,1.020537e+03,1.616563e+06
2.000000e-02,2.000000e+00,2.981500e+02,1.018849e+03,1.757607e+06
2.500000e-02,5.000000e-01,2.981500e+02,1.028654e+03,1.845278e+06
2.500000e-02,1.000000e+00,2.981500e+02,1.026525e+03,2.033450e+06
2.500000e-02,2.000000e+00,2.981500e+02,1.024401e+03,2.213067e+06
3.000000e-02,5.000000e-01,2.981500e+02,1.035133e+03,2.228869e+06
3.000000e-02,1.000000e+00,2.981500e+02,1.032561e+03,2.459737e+06
3.000000e-02,2.000000e+00,2.981500e+02,1.029995e+03,2.678811e+06
3.500000e-02,5.000000e-01,2.981500e+02,1.041666e+03,2.621852e+06
3.500000e-02,1.000000e+00,2.981500e+02,1.038643e+03,2.896535e+06
3.500000e-02,2.000000e+00,2.981500e+02,1.035629e+03,3.155805e+06
4.000000e-02,5.000000e-01,2.981500e+02,1.048254e+03,3.025413e+06
4.000000e-02,1.000000e+00,2.981500e+02,1.044774e+03,3.344873e+06
4.000000e-02,2.000000e+00,2.981500e+02,1.041306e+03,3.644950e+06
4.500000e-02,5.000000e-01,2.981500e+02,1.054897e+03,3.440652e+06
4.500000e-02,1.000000e+00,2.981500e+02,1.050954e+03,3.805720e+06
4.500000e-02,2.000000e+00,2.981500e+02,1.047026e+03,4.147112e+06
5.000000e-02,5.000000e-01,2.981500e+02,1.061596e+03,3.868601e+06
5.000000e-02,1.000000e+00,2.981500e+02,1.057183e+03,4.280000e+06
5.000000e-02,2.000000e+00,2.981500e+02,1.052789e+03,4.663130e+06
5.500000e-02,5.000000e-01,2.981500e+02,1.068352e+03,4.310233e+06
5.500000e-02,1.000000e+00,2.981500e+02,1.063462e+03,4.768597e+06
5.500000e-02,2.000000e+00,2.981500e+02,1.058595e+03,5.193822e+06
6.000000e-02,5.000000e-01,2.981500e+02,1.075165e+03,4.766469e+06
6.000000e-02,1.000000e+00,2.981500e+02,1.069791e+03,5.272362e+06
6.000000e-02,2.000000e+00,2.981500e+02,1.064445e+03,5.739989e+06
6.500000e-02,5.000000e-01,2.981500e+02,1.082037e+03,5.238186e+06
6.500000e-02,1.000000e+00,2.981500e+02,1.076171e+03,5.792117e+06
6.500000e-02,2.000000e+00,2.981500e+02,1.070339e+03,6.302417e+06
7.000000e-02,5.000000e-01,2.981500e+02,1.088967e+03,5.726216e+06
7.000000e-02,1.000000e+00,2.981500e+02,1.082603e+03,6.328656e+06
7.000000e-02,2.000000e+00,2.981500e+02,1.076279e+03,6.881883e+06
7.500000e-02,5.000000e-01,2.981500e+02,1.095957e+03,6.231358e+06
7.500000e-02,1.000000e+00,2.981500e+02,1.089088e+03,6.882750e+06
7.500000e-02,2.000000e+00,2.981500e+02,1.082264e+03,7.479151e+06
8.000000e-02,5.000000e-01,2.981500e+02,1.103007e+03,6.754378e+06
8.000000e-02,1.000000e+00,2.981500e+02,1.095625e+03,7.455148e+06
8.000000e-02,2.000000e+00,2.981500e+02,1.088296e+03,8.094978e+06
8.500000e-02,5.000000e-01,2.981500e+02,1.110118e+03,7.296011e+06
8.500000e-02,1.000000e+00,2.981500e+02,1.102216e+03,8.046582e+06
8.500000e-02,2.000000e+00,2.981500e+02,1.094374e+03,8.730114e+06
9.000000e-02,5.000000e-01,2.981500e+02,1.117292e+03,7.856969e+06
9.000000e-02,1.000000e+00,2.981500e+02,1.108861e+03,8.657767e+06
9.000000e-02,2.000000e+00,2.981500e+02,1.100499e+03,9.385307e+06
9.500000e-02,5.000000e-01,2.981500e+02,1.124528e+03,8.437937e+06
9.500000e-02,1.000000e+00,2.981500e+02,1.115562e+03,9.289402e+06
9.500000e-02,2.000000e+00,2.981500e+02,1.106671e+03,1.006130e+07
1.000000e-01,5.000000e-01,2.981500e+02,1.131828e+03,9.039583e+06
1.000000e-01,1.000000e+00,2.981500e+02,1.122317e+03,9.942176e+06
1.000000e-01,2.000000e+00,2.981500e+02,1.112892e+03,1.075883e+07
