# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.500000e-02,2.981500e+02,3.574364e+01,1.010922e+05,2.932428e+03,2.851045e+06,1.021247e+03
3.500000e-02,3.081500e+02,3.562150e+01,1.411359e+05,5.591752e+03,2.930100e+06,1.017757e+03
3.500000e-02,3.181500e+02,3.547772e+01,1.812465e+05,9.636944e+03,3.005186e+06,1.013649e+03
3.500000e-02,3.281500e+02,3.531388e+01,2.214175e+05,1.568978e+04,3.076295e+06,1.008968e+03
3.500000e-02,3.381500e+02,3.513141e+01,2.616456e+05,2.466257e+04,3.143417e+06,1.003755e+03
3.500000e-02,3.481500e+02,3.493158e+01,3.019311e+05,3.775814e+04,3.206530e+06,9.980450e+02
3.500000e-02,3.581500e+02,3.471547e+01,3.422774e+05,5.646988e+04,3.265601e+06,9.918707e+02
3.500000e-02,3.681500e+02,3.448404e+01,3.826912e+05,8.258167e+04,3.320579e+06,9.852584e+02
7.000000e-02,2.981500e+02,7.324858e+01,9.709502e+04,2.866050e+03,6.038981e+06,1.046408e+03
7.000000e-02,3.081500e+02,7.297321e+01,1.356035e+05,5.463025e+03,6.225988e+06,1.042474e+03
7.000000e-02,3.181500e+02,7.266265e+01,1.741799e+05,9.412579e+03,6.402282e+06,1.038038e+03
7.000000e-02,3.281500e+02,7.231914e+01,2.128174e+05,1.532192e+04,6.567624e+06,1.033131e+03
7.000000e-02,3.381500e+02,7.194468e+01,2.515121e+05,2.408216e+04,6.721795e+06,1.027781e+03
7.000000e-02,3.481500e+02,7.154104e+01,2.902623e+05,3.686834e+04,6.864591e+06,1.022015e+03
7.000000e-02,3.581500e+02,7.110971e+01,3.290692e+05,5.513938e+04,6.995809e+06,1.015853e+03
7.000000e-02,3.681500e+02,7.065198e+01,3.679364e+05,8.063814e+04,7.115234e+06,1.009314e+03
1.000000e-01,2.981500e+02,1.068371e+02,9.319404e+04,2.801312e+03,9.174834e+06,1.068371e+03
1.000000e-01,3.081500e+02,1.064112e+02,1.305220e+05,5.338846e+03,9.479707e+06,1.064112e+03
1.000000e-01,3.181500e+02,1.059427e+02,1.679162e+05,9.196562e+03,9.765717e+06,1.059427e+03
1.000000e-01,3.281500e+02,1.054341e+02,2.053690e+05,1.496728e+04,1.003227e+07,1.054341e+03
1.000000e-01,3.381500e+02,1.048875e+02,2.428751e+05,2.352167e+04,1.027885e+07,1.048875e+03
1.000000e-01,3.481500e+02,1.043048e+02,2.804314e+05,3.600821e+04,1.050500e+07,1.043048e+03
1.000000e-01,3.581500e+02,1.036877e+02,3.180371e+05,5.385324e+04,1.071027e+07,1.036877e+03
1.000000e-01,3.681500e+02,1.030374e+02,3.556935e+05,7.876093e+04,1.089427e+07,1.030374e+03
1.250000e-01,2.981500e+02,1.358741e+02,8.964069e+04,2.740508e+03,1.217141e+07,1.086993e+03
1.250000e-01,3.081500e+02,1.353127e+02,1.260724e+05,5.223389e+03,1.259232e+07,1.082501e+03
1.250000e-01,3.181500e+02,1.347044e+02,1.625654e+05,8.996359e+03,1.298585e+07,1.077636e+03
1.250000e-01,3.281500e+02,1.340520e+02,1.991113e+05,1.463877e+04,1.335103e+07,1.072416e+03
1.250000e-01,3.381500e+02,1.333575e+02,2.357041e+05,2.300242e+04,1.368703e+07,1.066860e+03
1.250000e-01,3.481500e+02,1.326229e+02,2.723395e+05,3.521150e+04,1.399314e+07,1.060984e+03
1.250000e-01,3.581500e+02,1.318499e+02,3.090156e+05,5.266265e+04,1.426871e+07,1.054799e+03
1.250000e-01,3.681500e+02,1.310395e+02,3.457324e+05,7.702492e+04,1.451314e+07,1.048316e+03
1.500000e-01,2.981500e+02,1.658909e+02,8.586341e+04,2.672369e+03,1.560429e+07,1.105939e+03
1.500000e-01,3.081500e+02,1.651868e+02,1.214713e+05,5.095351e+03,1.615538e+07,1.101245e+03
1.500000e-01,3.181500e+02,1.644332e+02,1.571313e+05,8.775248e+03,1.666899e+07,1.096222e+03
1.500000e-01,3.281500e+02,1.636327e+02,1.928352e+05,1.427652e+04,1.714376e+07,1.090885e+03
1.500000e-01,3.381500e+02,1.627873e+02,2.285763e+05,2.243030e+04,1.757854e+07,1.085249e+03
1.500000e-01,3.481500e+02,1.618990e+02,2.643501e+05,3.433442e+04,1.797236e+07,1.079327e+03
1.500000e-01,3.581500e+02,1.609693e+02,3.001538e+05,5.135340e+04,1.832435e+07,1.073129e+03
1.500000e-01,3.681500e+02,1.599993e+02,3.359868e+05,7.511844e+04,1.863375e+07,1.066662e+03
2.000000e-01,2.981500e+02,2.289875e+02,7.793468e+04,2.509845e+03,2.411670e+07,1.144938e+03
2.000000e-01,3.081500e+02,2.279799e+02,1.120801e+05,4.795565e+03,2.494731e+07,1.139900e+03
2.000000e-01,3.181500e+02,2.269221e+02,1.462490e+05,8.261800e+03,2.571596e+07,1.134610e+03
2.000000e-01,3.281500e+02,2.258157e+02,1.804345e+05,1.343863e+04,2.642066e+07,1.129078e+03
2.000000e-01,3.381500e+02,2.246622e+02,2.146313e+05,2.111050e+04,2.705979e+07,1.123311e+03
2.000000e-01,3.481500e+02,2.234628e+02,2.488355e+05,3.231622e+04,2.763204e+07,1.117314e+03
2.000000e-01,3.581500e+02,2.222187e+02,2.830449e+05,4.834896e+04,2.813631e+07,1.111094e+03
2.000000e-01,3.681500e+02,2.209307e+02,3.172586e+05,7.075627e+04,2.857169e+07,1.104654e+03
2.500000e-01,2.981500e+02,2.964104e+02,7.020696e+04,2.305015e+03,3.528465e+07,1.185642e+03
2.500000e-01,3.081500e+02,2.950651e+02,1.030758e+05,4.428326e+03,3.632636e+07,1.180260e+03
2.500000e-01,3.181500e+02,2.936790e+02,1.359350e+05,7.641259e+03,3.727799e+07,1.174716e+03
2.500000e-01,3.281500e+02,2.922505e+02,1.687809e+05,1.243322e+04,3.813782e+07,1.169002e+03
2.500000e-01,3.381500e+02,2.907784e+02,2.016111e+05,1.953507e+04,3.890459e+07,1.163114e+03
2.500000e-01,3.481500e+02,2.892616e+02,2.344239e+05,2.991912e+04,3.957737e+07,1.157046e+03
2.500000e-01,3.581500e+02,2.876992e+02,2.672187e+05,4.479914e+04,4.015550e+07,1.150797e+03
2.500000e-01,3.681500e+02,2.860909e+02,2.999959e+05,6.563034e+04,4.063850e+07,1.144363e+03
