# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.500000e-02,2.981500e+02,3.582465e+01,9.896291e+04,3.110999e+03,2.588270e+06,1.023562e+03
3.500000e-02,3.081500e+02,3.570892e+01,1.381460e+05,5.524438e+03,2.671227e+06,1.020255e+03
3.500000e-02,3.181500e+02,3.556756e+01,1.771775e+05,9.416995e+03,2.748670e+06,1.016216e+03
3.500000e-02,3.281500e+02,3.540354e+01,2.160363e+05,1.547021e+04,2.820452e+06,1.011530e+03
3.500000e-02,3.381500e+02,3.521941e+01,2.547015e+05,2.457874e+04,2.886465e+06,1.006269e+03
3.500000e-02,3.481500e+02,3.501737e+01,2.931523e+05,3.788343e+04,2.946636e+06,1.000496e+03
3.500000e-02,3.581500e+02,3.479919e+01,3.313676e+05,5.680156e+04,3.000925e+06,9.942627e+02
3.500000e-02,3.681500e+02,3.456627e+01,3.693266e+05,8.305353e+04,3.049318e+06,9.876078e+02
7.000000e-02,2.981500e+02,7.351615e+01,9.284115e+04,3.038593e+03,5.519687e+06,1.050231e+03
7.000000e-02,3.081500e+02,7.325826e+01,1.298008e+05,5.395862e+03,5.702056e+06,1.046547e+03
7.000000e-02,3.181500e+02,7.295577e+01,1.664752e+05,9.197824e+03,5.871764e+06,1.042225e+03
7.000000e-02,3.281500e+02,7.261414e+01,2.027986e+05,1.511015e+04,6.028360e+06,1.037345e+03
7.000000e-02,3.381500e+02,7.223806e+01,2.387051e+05,2.400670e+04,6.171483e+06,1.031972e+03
7.000000e-02,3.481500e+02,7.183142e+01,2.741289e+05,3.700173e+04,6.300851e+06,1.026163e+03
7.000000e-02,3.581500e+02,7.139736e+01,3.090040e+05,5.547956e+04,6.416253e+06,1.019962e+03
7.000000e-02,3.681500e+02,7.093821e+01,3.432647e+05,8.112055e+04,6.517540e+06,1.013403e+03
1.000000e-01,2.981500e+02,1.073090e+02,8.735993e+04,2.966027e+03,8.476597e+06,1.073090e+03
1.000000e-01,3.081500e+02,1.069082e+02,1.226795e+05,5.267001e+03,8.770016e+06,1.069082e+03
1.000000e-01,3.181500e+02,1.064519e+02,1.575956e+05,8.978166e+03,9.042413e+06,1.064519e+03
1.000000e-01,3.281500e+02,1.059472e+02,1.920041e+05,1.474930e+04,9.292841e+06,1.059472e+03
1.000000e-01,3.381500e+02,1.054003e+02,2.258004e+05,2.343338e+04,9.520493e+06,1.054003e+03
1.000000e-01,3.481500e+02,1.048163e+02,2.588802e+05,3.611807e+04,9.724699e+06,1.048163e+03
1.000000e-01,3.581500e+02,1.041990e+02,2.911392e+05,5.415463e+04,9.904903e+06,1.041990e+03
1.000000e-01,3.681500e+02,1.035513e+02,3.224730e+05,7.918326e+04,1.006066e+07,1.035513e+03
1.250000e-01,2.981500e+02,1.365174e+02,8.278499e+04,2.898721e+03,1.137809e+07,1.092139e+03
1.250000e-01,3.081500e+02,1.359828e+02,1.168909e+05,5.147480e+03,1.179151e+07,1.087862e+03
1.250000e-01,3.181500e+02,1.353871e+02,1.504922e+05,8.774431e+03,1.217469e+07,1.083097e+03
1.250000e-01,3.281500e+02,1.347389e+02,1.834525e+05,1.441460e+04,1.252601e+07,1.077911e+03
1.250000e-01,3.381500e+02,1.340453e+02,2.156353e+05,2.290163e+04,1.284407e+07,1.072363e+03
1.250000e-01,3.481500e+02,1.333120e+02,2.469042e+05,3.529847e+04,1.312764e+07,1.066496e+03
1.250000e-01,3.581500e+02,1.325433e+02,2.771227e+05,5.292574e+04,1.337567e+07,1.060347e+03
1.250000e-01,3.681500e+02,1.317422e+02,3.061544e+05,7.738641e+04,1.358727e+07,1.053937e+03
1.500000e-01,2.981500e+02,1.666783e+02,7.849723e+04,2.825713e+03,1.479109e+07,1.111189e+03
1.500000e-01,3.081500e+02,1.659963e+02,1.115008e+05,5.017834e+03,1.535795e+07,1.106642e+03
1.500000e-01,3.181500e+02,1.652512e+02,1.438962e+05,8.553434e+03,1.588269e+07,1.101675e+03
1.500000e-01,3.281500e+02,1.644526e+02,1.755148e+05,1.405155e+04,1.636271e+07,1.096351e+03
1.500000e-01,3.381500e+02,1.636083e+02,2.061882e+05,2.232482e+04,1.679571e+07,1.090722e+03
1.500000e-01,3.481500e+02,1.627244e+02,2.357478e+05,3.440942e+04,1.717966e+07,1.084829e+03
1.500000e-01,3.581500e+02,1.618055e+02,2.640251e+05,5.159272e+04,1.751274e+07,1.078703e+03
1.500000e-01,3.681500e+02,1.608543e+02,2.908514e+05,7.543733e+04,1.779338e+07,1.072362e+03
2.000000e-01,2.981500e+02,2.298575e+02,7.258978e+04,2.664660e+03,2.364807e+07,1.149288e+03
2.000000e-01,3.081500e+02,2.288403e+02,1.036185e+05,4.731840e+03,2.465910e+07,1.144201e+03
2.000000e-01,3.181500e+02,2.277661e+02,1.338246e+05,8.065927e+03,2.559353e+07,1.138830e+03
2.000000e-01,3.281500e+02,2.266458e+02,1.629753e+05,1.325067e+04,2.644556e+07,1.133229e+03
2.000000e-01,3.381500e+02,2.254880e+02,1.908378e+05,2.105240e+04,2.720992e+07,1.127440e+03
2.000000e-01,3.481500e+02,2.242990e+02,2.171794e+05,3.244824e+04,2.788183e+07,1.121495e+03
2.000000e-01,3.581500e+02,2.230831e+02,2.417675e+05,4.865217e+04,2.845695e+07,1.115415e+03
2.000000e-01,3.681500e+02,2.218420e+02,2.643693e+05,7.113774e+04,2.893135e+07,1.109210e+03
2.500000e-01,2.981500e+02,2.968466e+02,7.460644e+04,2.487232e+03,3.620592e+07,1.187386e+03
2.500000e-01,3.081500e+02,2.954402e+02,1.037932e+05,4.416768e+03,3.791806e+07,1.181761e+03
2.500000e-01,3.181500e+02,2.939965e+02,1.319330e+05,7.528854e+03,3.949945e+07,1.175986e+03
2.500000e-01,3.281500e+02,2.925267e+02,1.587291e+05,1.236837e+04,4.093873e+07,1.170107e+03
2.500000e-01,3.381500e+02,2.910394e+02,1.838843e+05,1.965062e+04,4.222545e+07,1.164158e+03
2.500000e-01,3.481500e+02,2.895401e+02,2.071020e+05,3.028766e+04,4.335002e+07,1.158160e+03
2.500000e-01,3.581500e+02,2.880318e+02,2.280850e+05,4.541265e+04,4.430363e+07,1.152127e+03
2.500000e-01,3.681500e+02,2.865145e+02,2.465366e+05,6.640100e+04,4.507820e+07,1.146058e+03
