# Feed Mass Frac,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-03,2.981500e+02,1.000889e+03,-1.038101e+05,3.119764e+03
1.000000e-02,2.981500e+02,1.004746e+03,-1.030930e+05,3.111763e+03
1.500000e-02,2.981500e+02,1.008623e+03,-1.023800e+05,3.103755e+03
2.000000e-02,2.981500e+02,1.012522e+03,-1.016707e+05,3.095701e+03
2.500000e-02,2.981500e+02,1.016444e+03,-1.009648e+05,3.087583e+03
3.000000e-02,2.981500e+02,1.020389e+03,-1.002623e+05,3.079391e+03
3.500000e-02,2.981500e+02,1.024357e+03,-9.956326e+04,3.071118e+03
4.000000e-02,2.981500e+02,1.028350e+03,-9.886764e+04,3.062761e+03
4.500000e-02,2.981500e+02,1.032366e+03,-9.817550e+04,3.054317e+03
5.000000e-02,2.981500e+02,1.036406e+03,-9.748690e+04,3.045783e+03
5.500000e-02,2.981500e+02,1.040471e+03,-9.680190e+04,3.037159e+03
6.000000e-02,2.981500e+02,1.044560e+03,-9.612057e+04,3.028443e+03
6.500000e-02,2.981500e+02,1.048674e+03,-9.544298e+04,3.019635e+03
7.000000e-02,2.981500e+02,1.052812e+03,-9.476921e+04,3.010736e+03
7.500000e-02,2.981500e+02,1.056975e+03,-9.409932e+04,3.001745e+03
8.000000e-02,2.981500e+02,1.061163e+03,-9.343337e+04,2.992664e+03
8.500000e-02,2.981500e+02,1.065376e+03,-9.277142e+04,2.983494e+03
9.000000e-02,2.981500e+02,1.069614e+03,-9.211351e+04,2.974236e+03
9.500000e-02,2.981500e+02,1.073877e+03,-9.145969e+04,2.964892e+03
1.000000e-01,2.981500e+02,1.078165e+03,-9.080998e+04,2.955463e+03
