# Feed Mass Frac,Temperature,Density,Osmotic Pressure
5.000000e-03,2.981500e+02,1.000861e+03,3.622108e+05
1.000000e-02,2.981500e+02,1.004707e+03,7.190272e+05
1.500000e-02,2.981500e+02,1.008584e+03,1.079113e+06
2.000000e-02,2.981500e+02,1.012491e+03,1.444373e+06
2.500000e-02,2.981500e+02,1.016428e+03,1.815763e+06
3.000000e-02,2.981500e+02,1.020396e+03,2.193948e+06
3.500000e-02,2.981500e+02,1.024394e+03,2.579482e+06
4.000000e-02,2.981500e+02,1.028425e+03,2.972868e+06
4.500000e-02,2.981500e+02,1.032487e+03,3.374590e+06
5.000000e-02,2.981500e+02,1.036582e+03,3.785122e+06
5.500000e-02,2.981500e+02,1.040709e+03,4.204937e+06
6.000000e-02,2.981500e+02,1.044869e+03,4.634508e+06
6.500000e-02,2.981500e+02,1.049062e+03,5.074313e+06
7.000000e-02,2.981500e+02,1.053290e+03,5.524833e+06
7.500000e-02,2.981500e+02,1.057551e+03,5.986555e+06
8.000000e-02,2.981500e+02,1.061848e+03,6.459972e+06
8.500000e-02,2.981500e+02,1.066179e+03,6.945587e+06
9.000000e-02,2.981500e+02,1.070546e+03,7.443907e+06
9.500000e-02,2.981500e+02,1.074948e+03,7.955450e+06
1.000000e-01,2.981500e+02,1.079388e+03,8.480744e+06
