# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Osmotic Pressure
2.000000e-03,1.000000e+00,2.981500e+02,9.985665e+02,1.474018e+05
2.000000e-03,1.000000e+00,3.081500e+02,9.955302e+02,1.517244e+05
2.000000e-03,1.000000e+00,3.181500e+02,9.916960e+02,1.558489e+05
2.000000e-03,1.000000e+00,3.281500e+02,9.871688e+02,1.597807e+05
2.000000e-03,1.000000e+00,3.381500e+02,9.820246e+02,1.635219e+05
2.000000e-03,1.000000e+00,3.481500e+02,9.763200e+02,1.670719e+05
2.000000e-03,1.000000e+00,3.581500e+02,9.700966e+02,1.704282e+05
2.000000e-03,1.000000e+00,3.681500e+02,9.633854e+02,1.735859e+05
3.500000e-02,1.000000e+00,2.981500e+02,1.024394e+03,2.579482e+06
3.500000e-02,1.000000e+00,3.081500e+02,1.020987e+03,2.660537e+06
3.500000e-02,1.000000e+00,3.181500e+02,1.016924e+03,2.735522e+06
3.500000e-02,1.000000e+00,3.281500e+02,1.012279e+03,2.804880e+06
3.500000e-02,1.000000e+00,3.381500e+02,1.007108e+03,2.868911e+06
3.500000e-02,1.000000e+00,3.481500e+02,1.001456e+03,2.927808e+06
3.500000e-02,1.000000e+00,3.581500e+02,9.953571e+02,2.981675e+06
3.500000e-02,1.000000e+00,3.681500e+02,9.888403e+02,3.030542e+06
5.000000e-02,1.000000e+00,2.981500e+02,1.036582e+03,3.785122e+06
5.000000e-02,1.000000e+00,3.081500e+02,1.032993e+03,3.907436e+06
5.000000e-02,1.000000e+00,3.181500e+02,1.028821e+03,4.019635e+06
5.000000e-02,1.000000e+00,3.281500e+02,1.024120e+03,4.122542e+06
5.000000e-02,1.000000e+00,3.381500e+02,1.018939e+03,4.216730e+06
5.000000e-02,1.000000e+00,3.481500e+02,1.013314e+03,4.302582e+06
5.000000e-02,1.000000e+00,3.581500e+02,1.007280e+03,4.380323e+06
5.000000e-02,1.000000e+00,3.681500e+02,1.000861e+03,4.450051e+06
1.000000e-01,1.000000e+00,2.981500e+02,1.079388e+03,8.480744e+06
1.000000e-01,1.000000e+00,3.081500e+02,1.075140e+03,8.769959e+06
1.000000e-01,1.000000e+00,3.181500e+02,1.070571e+03,9.029613e+06
1.000000e-01,1.000000e+00,3.281500e+02,1.065675e+03,9.262607e+06
1.000000e-01,1.000000e+00,3.381500e+02,1.060464e+03,9.471024e+06
1.000000e-01,1.000000e+00,3.481500e+02,1.054956e+03,9.656306e+06
1.000000e-01,1.000000e+00,3.581500e+02,1.049171e+03,9.819383e+06
1.000000e-01,1.000000e+00,3.681500e+02,1.043131e+03,9.960783e+06
