# Feed Mass Frac,# Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
2.000000e-03,1.000000e+00,2.981500e+02,9.985833e+02,-1.042427e+05,3.124615e+03
2.000000e-03,1.000000e+00,3.081500e+02,9.955447e+02,-1.458862e+05,5.548031e+03
2.000000e-03,1.000000e+00,3.181500e+02,9.917081e+02,-1.876212e+05,9.453327e+03
2.000000e-03,1.000000e+00,3.281500e+02,9.871782e+02,-2.294777e+05,1.551804e+04
2.000000e-03,1.000000e+00,3.381500e+02,9.820307e+02,-2.714875e+05,2.462589e+04
2.000000e-03,1.000000e+00,3.481500e+02,9.763216e+02,-3.136932e+05,3.789404e+04
2.000000e-03,1.000000e+00,3.581500e+02,9.700926e+02,-3.561513e+05,5.669479e+04
2.000000e-03,1.000000e+00,3.681500e+02,9.633748e+02,-3.989319e+05,8.267000e+04
3.500000e-02,1.000000e+00,2.981500e+02,1.024357e+03,-9.956326e+04,3.071118e+03
3.500000e-02,1.000000e+00,3.081500e+02,1.020896e+03,-1.396273e+05,5.453082e+03
3.500000e-02,1.000000e+00,3.181500e+02,1.016774e+03,-1.797890e+05,9.291850e+03
3.500000e-02,1.000000e+00,3.281500e+02,1.012061e+03,-2.200408e+05,1.525379e+04
3.500000e-02,1.000000e+00,3.381500e+02,1.006813e+03,-2.603899e+05,2.420830e+04
3.500000e-02,1.000000e+00,3.481500e+02,1.001071e+03,-3.008599e+05,3.725471e+04
3.500000e-02,1.000000e+00,3.581500e+02,9.948677e+02,-3.414895e+05,5.574391e+04
3.500000e-02,1.000000e+00,3.681500e+02,9.882298e+02,-3.823313e+05,8.129274e+04
5.000000e-02,1.000000e+00,2.981500e+02,1.036406e+03,-9.748690e+04,3.045783e+03
5.000000e-02,1.000000e+00,3.081500e+02,1.032736e+03,-1.368484e+05,5.408081e+03
5.000000e-02,1.000000e+00,3.181500e+02,1.028471e+03,-1.763117e+05,9.215340e+03
5.000000e-02,1.000000e+00,3.281500e+02,1.023663e+03,-2.158530e+05,1.512873e+04
5.000000e-02,1.000000e+00,3.381500e+02,1.018361e+03,-2.554690e+05,2.401104e+04
5.000000e-02,1.000000e+00,3.481500e+02,1.012595e+03,-2.951758e+05,3.695341e+04
5.000000e-02,1.000000e+00,3.581500e+02,1.006396e+03,-3.350049e+05,5.529704e+04
5.000000e-02,1.000000e+00,3.681500e+02,9.997872e+02,-3.750015e+05,8.064753e+04
1.000000e-01,1.000000e+00,2.981500e+02,1.078165e+03,-9.080994e+04,2.955464e+03
1.000000e-01,1.000000e+00,3.081500e+02,1.073716e+03,-1.279015e+05,5.247775e+03
1.000000e-01,1.000000e+00,3.181500e+02,1.068910e+03,-1.651101e+05,8.943205e+03
1.000000e-01,1.000000e+00,3.281500e+02,1.063738e+03,-2.023624e+05,1.468479e+04
1.000000e-01,1.000000e+00,3.381500e+02,1.058206e+03,-2.396248e+05,2.331231e+04
1.000000e-01,1.000000e+00,3.481500e+02,1.052325e+03,-2.768889e+05,3.588879e+04
1.000000e-01,1.000000e+00,3.581500e+02,1.046108e+03,-3.141647e+05,5.372205e+04
1.000000e-01,1.000000e+00,3.681500e+02,1.039567e+03,-3.514751e+05,7.837937e+04
