# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
3.500000e-02,2.981500e+02,3.500000e+01,1.045500e+05,2.211805e+04,3.077014e+06,1.000000e+03
3.500000e-02,3.081500e+02,3.500000e+01,1.463700e+05,2.848127e+04,3.180218e+06,1.000000e+03
3.500000e-02,3.181500e+02,3.500000e+01,1.881900e+05,3.595021e+04,3.283421e+06,1.000000e+03
3.500000e-02,3.281500e+02,3.500000e+01,2.300100e+05,4.458214e+04,3.386625e+06,1.000000e+03
3.500000e-02,3.381500e+02,3.500000e+01,2.718300e+05,5.442282e+04,3.489829e+06,1.000000e+03
3.500000e-02,3.481500e+02,3.500000e+01,3.136500e+05,6.550677e+04,3.593032e+06,1.000000e+03
3.500000e-02,3.581500e+02,3.500000e+01,3.554700e+05,7.785774e+04,3.696236e+06,1.000000e+03
3.500000e-02,3.681500e+02,3.500000e+01,3.972900e+05,9.148940e+04,3.799439e+06,1.000000e+03
7.000000e-02,2.981500e+02,7.000000e+01,1.045500e+05,2.185817e+04,6.385632e+06,1.000000e+03
7.000000e-02,3.081500e+02,7.000000e+01,1.463700e+05,2.814662e+04,6.599807e+06,1.000000e+03
7.000000e-02,3.181500e+02,7.000000e+01,1.881900e+05,3.552780e+04,6.813982e+06,1.000000e+03
7.000000e-02,3.281500e+02,7.000000e+01,2.300100e+05,4.405831e+04,7.028157e+06,1.000000e+03
7.000000e-02,3.381500e+02,7.000000e+01,2.718300e+05,5.378337e+04,7.242332e+06,1.000000e+03
7.000000e-02,3.481500e+02,7.000000e+01,3.136500e+05,6.473709e+04,7.456508e+06,1.000000e+03
7.000000e-02,3.581500e+02,7.000000e+01,3.554700e+05,7.694293e+04,7.670683e+06,1.000000e+03
7.000000e-02,3.681500e+02,7.000000e+01,3.972900e+05,9.041442e+04,7.884858e+06,1.000000e+03
1.000000e-01,2.981500e+02,1.000000e+02,1.045500e+05,2.162465e+04,9.426409e+06,1.000000e+03
1.000000e-01,3.081500e+02,1.000000e+02,1.463700e+05,2.784593e+04,9.742572e+06,1.000000e+03
1.000000e-01,3.181500e+02,1.000000e+02,1.881900e+05,3.514825e+04,1.005874e+07,1.000000e+03
1.000000e-01,3.281500e+02,1.000000e+02,2.300100e+05,4.358763e+04,1.037490e+07,1.000000e+03
1.000000e-01,3.381500e+02,1.000000e+02,2.718300e+05,5.320879e+04,1.069106e+07,1.000000e+03
1.000000e-01,3.481500e+02,1.000000e+02,3.136500e+05,6.404549e+04,1.100723e+07,1.000000e+03
1.000000e-01,3.581500e+02,1.000000e+02,3.554700e+05,7.612094e+04,1.132339e+07,1.000000e+03
1.000000e-01,3.681500e+02,1.000000e+02,3.972900e+05,8.944851e+04,1.163955e+07,1.000000e+03
1.250000e-01,2.981500e+02,1.250000e+02,1.045500e+05,2.142195e+04,1.211967e+07,1.000000e+03
1.250000e-01,3.081500e+02,1.250000e+02,1.463700e+05,2.758491e+04,1.252616e+07,1.000000e+03
1.250000e-01,3.181500e+02,1.250000e+02,1.881900e+05,3.481879e+04,1.293266e+07,1.000000e+03
1.250000e-01,3.281500e+02,1.250000e+02,2.300100e+05,4.317906e+04,1.333916e+07,1.000000e+03
1.250000e-01,3.381500e+02,1.250000e+02,2.718300e+05,5.271004e+04,1.374565e+07,1.000000e+03
1.250000e-01,3.481500e+02,1.250000e+02,3.136500e+05,6.344516e+04,1.415215e+07,1.000000e+03
1.250000e-01,3.581500e+02,1.250000e+02,3.554700e+05,7.540742e+04,1.455864e+07,1.000000e+03
1.250000e-01,3.681500e+02,1.250000e+02,3.972900e+05,8.861006e+04,1.496514e+07,1.000000e+03
1.500000e-01,2.981500e+02,1.500000e+02,1.045500e+05,2.121143e+04,1.497136e+07,1.000000e+03
1.500000e-01,3.081500e+02,1.500000e+02,1.463700e+05,2.731382e+04,1.547350e+07,1.000000e+03
1.500000e-01,3.181500e+02,1.500000e+02,1.881900e+05,3.447661e+04,1.597564e+07,1.000000e+03
1.500000e-01,3.281500e+02,1.500000e+02,2.300100e+05,4.275472e+04,1.647778e+07,1.000000e+03
1.500000e-01,3.381500e+02,1.500000e+02,2.718300e+05,5.219204e+04,1.697992e+07,1.000000e+03
1.500000e-01,3.481500e+02,1.500000e+02,3.136500e+05,6.282166e+04,1.748206e+07,1.000000e+03
1.500000e-01,3.581500e+02,1.500000e+02,3.554700e+05,7.466636e+04,1.798421e+07,1.000000e+03
1.500000e-01,3.681500e+02,1.500000e+02,3.972900e+05,8.773926e+04,1.848635e+07,1.000000e+03
2.000000e-01,2.981500e+02,2.000000e+02,1.045500e+05,2.076504e+04,2.120942e+07,1.000000e+03
2.000000e-01,3.081500e+02,2.000000e+02,1.463700e+05,2.673901e+04,2.192079e+07,1.000000e+03
2.000000e-01,3.181500e+02,2.000000e+02,1.881900e+05,3.375105e+04,2.263216e+07,1.000000e+03
2.000000e-01,3.281500e+02,2.000000e+02,2.300100e+05,4.185495e+04,2.334352e+07,1.000000e+03
2.000000e-01,3.381500e+02,2.000000e+02,2.718300e+05,5.109366e+04,2.405489e+07,1.000000e+03
