# Feed TDS,Temperature,TDS mg/L,Enthalpy
3.361113e-02,2.981500e+02,3.433892e+04,-1.558942e+07
3.361113e-02,3.081500e+02,3.420956e+04,-1.554664e+07
3.361113e-02,3.181500e+02,3.406031e+04,-1.550631e+07
3.361113e-02,3.281500e+02,3.391105e+04,-1.546598e+07
3.361113e-02,3.381500e+02,3.373550e+04,-1.542588e+07
3.361113e-02,3.481500e+02,3.354323e+04,-1.538570e+07
3.361113e-02,3.581500e+02,3.333540e+04,-1.534544e+07
3.361113e-02,3.681500e+02,3.311287e+04,-1.530510e+07
4.838276e-02,2.981500e+02,4.990533e+04,-1.546804e+07
4.838276e-02,3.081500e+02,4.973102e+04,-1.542912e+07
4.838276e-02,3.181500e+02,4.952730e+04,-1.538999e+07
4.838276e-02,3.281500e+02,4.929693e+04,-1.535071e+07
4.838276e-02,3.381500e+02,4.904214e+04,-1.531131e+07
4.838276e-02,3.481500e+02,4.875411e+04,-1.527178e+07
4.838276e-02,3.581500e+02,4.846609e+04,-1.523224e+07
4.838276e-02,3.681500e+02,4.814739e+04,-1.519258e+07
9.373868e-02,2.981500e+02,9.959182e+04,-1.512653e+07
9.373868e-02,3.081500e+02,9.919995e+04,-1.508988e+07
9.373868e-02,3.181500e+02,9.876830e+04,-1.505285e+07
9.373868e-02,3.281500e+02,9.829778e+04,-1.501558e+07
9.373868e-02,3.381500e+02,9.778994e+04,-1.497814e+07
9.373868e-02,3.481500e+02,9.724646e+04,-1.494056e+07
9.373868e-02,3.581500e+02,9.666894e+04,-1.490288e+07
9.373868e-02,3.681500e+02,9.605884e+04,-1.486512e+07
1.366460e-01,2.981500e+02,1.490274e+05,-1.482801e+07
1.366460e-01,3.081500e+02,1.483791e+05,-1.479321e+07
1.366460e-01,3.181500e+02,1.476967e+05,-1.475791e+07
1.366460e-01,3.281500e+02,1.469751e+05,-1.472230e+07
1.366460e-01,3.381500e+02,1.462128e+05,-1.468647e+07
1.366460e-01,3.481500e+02,1.454096e+05,-1.465048e+07
1.366460e-01,3.581500e+02,1.445664e+05,-1.461438e+07
1.366460e-01,3.681500e+02,1.436842e+05,-1.457820e+07
1.775197e-01,2.981500e+02,1.981933e+05,-1.456341e+07
1.775197e-01,3.081500e+02,1.972542e+05,-1.453015e+07
1.775197e-01,3.181500e+02,1.963003e+05,-1.449631e+07
1.775197e-01,3.281500e+02,1.953173e+05,-1.446210e+07
1.775197e-01,3.381500e+02,1.942981e+05,-1.442764e+07
1.775197e-01,3.481500e+02,1.932396e+05,-1.439300e+07
1.775197e-01,3.581500e+02,1.921407e+05,-1.435825e+07
1.775197e-01,3.681500e+02,1.910016e+05,-1.432341e+07
