# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,3.000000e-01,9.258708e-01,6.078516e+00,7.065864e+01,5.295801e+06
3.500000e-02,4.000000e-01,7.876382e-01,5.157062e+00,8.162150e+01,5.977356e+06
3.500000e-02,5.000000e-01,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
3.500000e-02,6.000000e-01,7.037670e-01,4.673162e+00,9.902769e+01,8.088449e+06
3.500000e-02,7.000000e-01,7.528425e-01,5.128757e+00,9.953852e+01,1.032825e+07
5.000000e-02,3.000000e-01,1.226651e+00,8.482418e+00,5.919935e+01,7.312572e+06
5.000000e-02,4.000000e-01,1.048915e+00,7.230933e+00,6.985846e+01,8.297737e+06
5.000000e-02,5.000000e-01,9.754528e-01,6.771526e+00,7.501248e+01,9.695905e+06
5.000000e-02,6.000000e-01,9.858853e-01,6.951310e+00,7.400402e+01,1.192051e+07
5.000000e-02,7.000000e-01,1.117698e+00,8.052640e+00,6.616821e+01,1.607503e+07
7.000000e-02,3.000000e-01,1.743693e+00,1.261127e+01,4.010472e+01,1.074377e+07
7.000000e-02,4.000000e-01,1.503230e+00,1.086105e+01,4.725758e+01,1.232193e+07
7.000000e-02,5.000000e-01,1.428407e+00,1.036280e+01,5.059147e+01,1.467632e+07
7.000000e-02,6.000000e-01,1.497813e+00,1.095542e+01,4.967912e+01,1.859151e+07
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.811043e+00,2.082324e+01,2.571002e+01,1.746378e+07
1.000000e-01,4.000000e-01,nan,nan,nan,nan
1.000000e-01,5.000000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
