# Feed Mass Frac,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
4.000000e-02,7.993329e-01,5.322961e+00,9.155737e+01,7.669888e+06
4.500000e-02,8.833206e-01,6.007588e+00,8.446130e+01,8.628558e+06
5.000000e-02,9.754528e-01,6.771526e+00,7.501248e+01,9.695905e+06
5.500000e-02,1.075833e+00,7.584862e+00,6.726190e+01,1.082899e+07
6.000000e-02,1.184549e+00,8.451385e+00,6.078910e+01,1.203269e+07
6.500000e-02,1.301910e+00,9.375619e+00,5.530207e+01,1.331286e+07
7.000000e-02,1.428407e+00,1.036280e+01,5.059147e+01,1.467632e+07
7.500000e-02,1.564679e+00,1.141892e+01,4.650319e+01,1.613083e+07
8.000000e-02,1.711510e+00,1.255071e+01,4.292117e+01,1.768518e+07
8.500000e-02,1.869817e+00,1.376575e+01,3.975629e+01,1.934920e+07
9.000000e-02,2.040659e+00,1.507255e+01,3.693891e+01,2.113392e+07
9.500000e-02,2.225242e+00,1.648057e+01,3.441383e+01,2.305160e+07
1.000000e-01,2.424927e+00,1.800039e+01,3.213661e+01,2.511592e+07
