# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
1.000000e-02,3.000000e-01,4.879651e-01,2.828360e+00,6.759267e+01,2.537737e+06
1.000000e-02,3.500000e-01,4.461246e-01,2.571082e+00,7.347575e+01,2.685241e+06
1.000000e-02,4.000000e-01,4.139185e-01,2.374744e+00,7.905615e+01,2.828865e+06
1.000000e-02,4.500000e-01,3.885634e-01,2.221807e+00,8.438754e+01,2.972193e+06
1.000000e-02,5.000000e-01,3.684001e-01,2.102014e+00,8.949898e+01,3.119193e+06
1.000000e-02,5.500000e-01,3.524427e-01,2.009546e+00,9.439297e+01,3.274950e+06
1.000000e-02,6.000000e-01,3.401807e-01,1.941871e+00,9.903275e+01,3.446873e+06
1.000000e-02,6.500000e-01,3.315381e-01,1.899739e+00,1.033099e+02,3.647041e+06
1.000000e-02,7.000000e-01,3.270060e-01,1.888550e+00,1.069740e+02,3.897307e+06
3.500000e-02,3.000000e-01,9.258708e-01,6.078516e+00,7.065864e+01,5.295801e+06
3.500000e-02,3.500000e-01,8.452905e-01,5.537616e+00,7.636131e+01,5.622263e+06
3.500000e-02,4.000000e-01,7.876382e-01,5.157062e+00,8.162150e+01,5.977356e+06
3.500000e-02,4.500000e-01,7.468553e-01,4.895153e+00,8.645985e+01,6.376140e+06
3.500000e-02,5.000000e-01,7.198074e-01,4.730651e+00,9.089520e+01,6.839064e+06
3.500000e-02,5.500000e-01,7.052939e-01,4.655648e+00,9.500008e+01,7.395364e+06
3.500000e-02,6.000000e-01,7.037670e-01,4.673162e+00,9.902769e+01,8.088449e+06
3.500000e-02,6.500000e-01,7.175780e-01,4.797879e+00,1.037034e+02,8.985071e+06
3.500000e-02,7.000000e-01,7.528425e-01,5.128757e+00,9.953852e+01,1.032825e+07
5.000000e-02,3.000000e-01,1.226651e+00,8.482418e+00,5.919935e+01,7.312572e+06
5.000000e-02,3.500000e-01,1.121081e+00,7.730086e+00,6.517869e+01,7.768261e+06
5.000000e-02,4.000000e-01,1.048915e+00,7.230933e+00,6.985846e+01,8.297737e+06
5.000000e-02,4.500000e-01,1.001681e+00,6.921242e+00,7.316323e+01,8.927367e+06
5.000000e-02,5.000000e-01,9.754528e-01,6.771526e+00,7.501248e+01,9.695905e+06
5.000000e-02,5.500000e-01,9.694517e-01,6.775992e+00,7.532149e+01,1.066232e+07
5.000000e-02,6.000000e-01,9.858853e-01,6.951310e+00,7.400402e+01,1.192051e+07
5.000000e-02,6.500000e-01,1.030935e+00,7.344019e+00,7.097702e+01,1.362880e+07
5.000000e-02,7.000000e-01,1.117698e+00,8.052640e+00,6.616821e+01,1.607503e+07
7.000000e-02,3.000000e-01,1.743693e+00,1.261127e+01,4.010472e+01,1.074377e+07
7.000000e-02,3.500000e-01,1.597524e+00,1.154029e+01,4.413137e+01,1.146309e+07
7.000000e-02,4.000000e-01,1.503230e+00,1.086105e+01,4.725758e+01,1.232193e+07
7.000000e-02,4.500000e-01,1.448557e+00,1.048134e+01,4.942912e+01,1.336886e+07
7.000000e-02,5.000000e-01,1.428407e+00,1.036280e+01,5.059147e+01,1.467632e+07
7.000000e-02,5.500000e-01,1.442950e+00,1.050673e+01,5.069130e+01,1.635648e+07
7.000000e-02,6.000000e-01,1.497813e+00,1.095542e+01,4.967912e+01,1.859151e+07
7.000000e-02,6.500000e-01,nan,nan,nan,nan
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.811043e+00,2.082324e+01,2.571002e+01,1.746378e+07
1.000000e-01,3.500000e-01,2.596189e+00,1.922573e+01,2.824093e+01,1.880351e+07
1.000000e-01,4.000000e-01,2.470125e+00,1.829729e+01,3.017850e+01,2.044308e+07
1.000000e-01,4.500000e-01,2.414833e+00,1.790236e+01,3.148828e+01,2.249186e+07
1.000000e-01,5.000000e-01,2.424927e+00,1.800039e+01,3.213661e+01,2.511592e+07
1.000000e-01,5.500000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
