# Feed Mass Frac,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,6.809725e-01,4.446473e+00,9.307938e+01,6.434355e+06
4.000000e-02,7.554975e-01,5.002248e+00,9.377732e+01,7.213920e+06
4.500000e-02,8.344365e-01,5.637878e+00,8.807408e+01,8.103864e+06
5.000000e-02,9.215028e-01,6.363857e+00,7.836469e+01,9.118374e+06
5.500000e-02,1.016993e+00,7.140528e+00,7.039884e+01,1.020066e+07
6.000000e-02,1.120927e+00,7.971167e+00,6.374634e+01,1.135487e+07
6.500000e-02,1.233544e+00,8.859769e+00,5.810774e+01,1.258612e+07
7.000000e-02,1.355264e+00,9.811055e+00,5.326796e+01,1.390049e+07
7.500000e-02,1.486663e+00,1.083052e+01,4.906842e+01,1.530508e+07
8.000000e-02,1.628468e+00,1.192450e+01,4.538957e+01,1.680810e+07
8.500000e-02,1.781558e+00,1.310028e+01,4.213957e+01,1.841900e+07
9.000000e-02,1.946979e+00,1.436626e+01,3.924666e+01,2.014868e+07
9.500000e-02,2.125965e+00,1.573213e+01,3.665391e+01,2.200973e+07
1.000000e-01,2.319962e+00,1.720911e+01,3.431559e+01,2.401673e+07
